OpdrachtID;Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate;Adres
774400;ANTWERPEN-WEST - FH09;Schermersstraat;39;;2000;Antwerpen;152630,22;211392,24;NB-Antw3926a921;NB-Antw3926a921;BUILDING template;Schermersstraat 39 2000 Antwerpen
774145;ANTWERPEN-WEST - FH09;Frankrijklei;96;B;2000;Antwerpen;153074,19;211708,43;NB-Antw96Bd263;NB-Antw96Bd263;BUILDING template;Frankrijklei 96 B 2000 Antwerpen
774402;ANTWERPEN-WEST - FH09;Schuttershofstraat;2;;2000;Antwerpen;152600,23;211825,55;NB-Antw23beb36;NB-Antw23beb36;BUILDING template;Schuttershofstraat 2 2000 Antwerpen
774147;ANTWERPEN-WEST - FH09;Frankrijklei;96;;2000;Antwerpen;153079,19;211708,43;NB-Antw965f9386;NB-Antw965f9386;BUILDING template;Frankrijklei 96 2000 Antwerpen
774149;ANTWERPEN-WEST - FH09;Frankrijklei;104;A;2000;Antwerpen;153028,78;211672,06;NB-Antw104A6700;NB-Antw104A6700;BUILDING template;Frankrijklei 104 A 2000 Antwerpen
774151;ANTWERPEN-WEST - FH09;Frankrijklei;118;;2000;Antwerpen;152989,05;211619,97;NB-Antw118894927;NB-Antw118894927;BUILDING template;Frankrijklei 118 2000 Antwerpen
774407;ANTWERPEN-WEST - FH09;Schuttershofstraat;12;;2000;Antwerpen;152658,5;211824,94;NB-Antw12510361;NB-Antw12510361;BUILDING template;Schuttershofstraat 12 2000 Antwerpen
774153;ANTWERPEN-WEST - FH09;Frankrijklei;120;A;2000;Antwerpen;152980,18;211614,43;NB-Antw120A1043;NB-Antw120A1043;BUILDING template;Frankrijklei 120 A 2000 Antwerpen
774409;ANTWERPEN-WEST - FH09;Schuttershofstraat;24;;2000;Antwerpen;152697,25;211822,62;NB-Antw246a1074;NB-Antw246a1074;BUILDING template;Schuttershofstraat 24 2000 Antwerpen
774155;ANTWERPEN-WEST - FH09;Frankrijklei;122;A;2000;Antwerpen;152973,65;211606,8;NB-Antw122A5266;NB-Antw122A5266;BUILDING template;Frankrijklei 122 A 2000 Antwerpen
774411;ANTWERPEN-WEST - FH09;Schuttershofstraat;34;;2000;Antwerpen;152755,87;211826,13;NB-Antw347e0292;NB-Antw347e0292;BUILDING template;Schuttershofstraat 34 2000 Antwerpen
774157;ANTWERPEN-WEST - FH09;Frankrijklei;128;A;2000;Antwerpen;152942,54;211546,73;NB-Antw128Af482;NB-Antw128Af482;BUILDING template;Frankrijklei 128 A 2000 Antwerpen
774413;ANTWERPEN-WEST - FH09;Schuttershofstraat;48;A;2000;Antwerpen;152800,02;211835,34;NB-Antw48Aff13;NB-Antw48Aff13;BUILDING template;Schuttershofstraat 48 A 2000 Antwerpen
774159;ANTWERPEN-WEST - FH09;Frankrijklei;158;;2000;Antwerpen;152853,47;211459,28;NB-Antw158ebb206;NB-Antw158ebb206;BUILDING template;Frankrijklei 158 2000 Antwerpen
774415;ANTWERPEN-WEST - FH09;Sint-Jorispoort;6;;2000;Antwerpen;152564,01;211412,42;NB-Antw6ac2735;NB-Antw6ac2735;BUILDING template;Sint-Jorispoort 6 2000 Antwerpen
774161;ANTWERPEN-WEST - FH09;Frankrijklei;162;;2000;Antwerpen;152795,33;211391,76;NB-Antw162001820;NB-Antw162001820;BUILDING template;Frankrijklei 162 2000 Antwerpen
774417;ANTWERPEN-WEST - FH09;Sint-Jorispoort;37;A;2000;Antwerpen;152639,77;211422,95;NB-Antw37Aa552;NB-Antw37Aa552;BUILDING template;Sint-Jorispoort 37 A 2000 Antwerpen
774163;ANTWERPEN-WEST - FH09;Graanmarkt;6;;2000;Antwerpen;152814,48;211747,93;NB-Antw618e543;NB-Antw618e543;BUILDING template;Graanmarkt 6 2000 Antwerpen
774419;ANTWERPEN-WEST - FH09;Sint-Jorispoort;39;A;2000;Antwerpen;152645,49;211421,72;NB-Antw39Ae776;NB-Antw39Ae776;BUILDING template;Sint-Jorispoort 39 A 2000 Antwerpen
774165;ANTWERPEN-WEST - FH09;Graanmarkt;11;;2000;Antwerpen;152778,05;211806,86;NB-Antw112ec163;NB-Antw112ec163;BUILDING template;Graanmarkt 11 2000 Antwerpen
774421;ANTWERPEN-WEST - FH09;Sint-Maartenstraat;1;;2000;Antwerpen;152732,53;211733,23;NB-Antw1f01d87;NB-Antw1f01d87;BUILDING template;Sint-Maartenstraat 1 2000 Antwerpen
774167;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;1;;2000;Antwerpen;152692,54;211554,78;NB-Antw1493f05;NB-Antw1493f05;BUILDING template;Henri Van Heurckstraat 1 2000 Antwerpen
774423;ANTWERPEN-WEST - FH09;Tabakvest;13;;2000;Antwerpen;153070,2;211754,72;NB-Antw1302a014;NB-Antw1302a014;BUILDING template;Tabakvest 13 2000 Antwerpen
774169;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;2;;2000;Antwerpen;152701,23;211541,43;NB-Antw2f03754;NB-Antw2f03754;BUILDING template;Henri Van Heurckstraat 2 2000 Antwerpen
774425;ANTWERPEN-WEST - FH09;Tabakvest;19;;2000;Antwerpen;153057,88;211733,98;NB-Antw191cdf33;NB-Antw191cdf33;BUILDING template;Tabakvest 19 2000 Antwerpen
774171;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;4;;2000;Antwerpen;152719,37;211540,26;NB-Antw4081955;NB-Antw4081955;BUILDING template;Henri Van Heurckstraat 4 2000 Antwerpen
774173;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;6;;2000;Antwerpen;152718,6;211539,42;NB-Antw61cbb95;NB-Antw61cbb95;BUILDING template;Henri Van Heurckstraat 6 2000 Antwerpen
774175;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;8;;2000;Antwerpen;152719,18;211540,1;NB-Antw834ef96;NB-Antw834ef96;BUILDING template;Henri Van Heurckstraat 8 2000 Antwerpen
774432;ANTWERPEN-WEST - FH09;Tabakvest;21;;2000;Antwerpen;153035,47;211703,2;NB-Antw2139f955;NB-Antw2139f955;BUILDING template;Tabakvest 21 2000 Antwerpen
774434;ANTWERPEN-WEST - FH09;Tabakvest;23;;2000;Antwerpen;153029,4;211695,81;NB-Antw234d9068;NB-Antw234d9068;BUILDING template;Tabakvest 23 2000 Antwerpen
774436;ANTWERPEN-WEST - FH09;Tabakvest;25;;2000;Antwerpen;153034,4;211695,81;NB-Antw2561eb85;NB-Antw2561eb85;BUILDING template;Tabakvest 25 2000 Antwerpen
774438;ANTWERPEN-WEST - FH09;Tabakvest;30;A;2000;Antwerpen;153030,22;211752,78;NB-Antw30A7705;NB-Antw30A7705;BUILDING template;Tabakvest 30 A 2000 Antwerpen
774184;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;12;;2000;Antwerpen;152745,77;211535,31;NB-Antw124b0506;NB-Antw124b0506;BUILDING template;Henri Van Heurckstraat 12 2000 Antwerpen
774440;ANTWERPEN-WEST - FH09;Tabakvest;30;E;2000;Antwerpen;153035,22;211752,78;NB-Antw30E5929;NB-Antw30E5929;BUILDING template;Tabakvest 30 E 2000 Antwerpen
774186;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;14;;2000;Antwerpen;152750,77;211535,31;NB-Antw14659025;NB-Antw14659025;BUILDING template;Henri Van Heurckstraat 14 2000 Antwerpen
774442;ANTWERPEN-WEST - FH09;Tabakvest;31;;2000;Antwerpen;153022,16;211662,72;NB-Antw31a4da41;NB-Antw31a4da41;BUILDING template;Tabakvest 31 2000 Antwerpen
774188;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;16;;2000;Antwerpen;152750,77;211535,31;NB-Antw167d8049;NB-Antw167d8049;BUILDING template;Henri Van Heurckstraat 16 2000 Antwerpen
774444;ANTWERPEN-WEST - FH09;Tabakvest;32;;2000;Antwerpen;153035,22;211752,78;NB-Antw32b83b65;NB-Antw32b83b65;BUILDING template;Tabakvest 32 2000 Antwerpen
774190;ANTWERPEN-WEST - FH09;Henri Van Heurckstraat;18;;2000;Antwerpen;152750,77;211535,31;NB-Antw18937e61;NB-Antw18937e61;BUILDING template;Henri Van Heurckstraat 18 2000 Antwerpen
774446;ANTWERPEN-WEST - FH09;Tabakvest;35;;2000;Antwerpen;153007,57;211646,75;NB-Antw35cec680;NB-Antw35cec680;BUILDING template;Tabakvest 35 2000 Antwerpen
774192;ANTWERPEN-WEST - FH09;Hopland;6;;2000;Antwerpen;152866,17;211832,22;NB-Antw6a84d83;NB-Antw6a84d83;BUILDING template;Hopland 6 2000 Antwerpen
774448;ANTWERPEN-WEST - FH09;Tabakvest;41;;2000;Antwerpen;152973,37;211620,17;NB-Antw41e59405;NB-Antw41e59405;BUILDING template;Tabakvest 41 2000 Antwerpen
774194;ANTWERPEN-WEST - FH09;Hopland;18;;2000;Antwerpen;152947,24;211841,55;NB-Antw18bc6d00;NB-Antw18bc6d00;BUILDING template;Hopland 18 2000 Antwerpen
774450;ANTWERPEN-WEST - FH09;Tabakvest;43;;2000;Antwerpen;152965,48;211613,68;NB-Antw43facb20;NB-Antw43facb20;BUILDING template;Tabakvest 43 2000 Antwerpen
774196;ANTWERPEN-WEST - FH09;Hopland;30;;2000;Antwerpen;152954,29;211847,35;NB-Antw30f1ae43;NB-Antw30f1ae43;BUILDING template;Hopland 30 2000 Antwerpen
774198;ANTWERPEN-WEST - FH09;Hopland;40;;2000;Antwerpen;153043,72;211834,05;NB-Antw40061b67;NB-Antw40061b67;BUILDING template;Hopland 40 2000 Antwerpen
774455;ANTWERPEN-WEST - FH09;Tabakvest;47;;2000;Antwerpen;152954,03;211598,6;NB-Antw47134138;NB-Antw47134138;BUILDING template;Tabakvest 47 2000 Antwerpen
774200;ANTWERPEN-WEST - FH09;Huidevettersstraat;53;A;2000;Antwerpen;152574,64;211816,54;NB-Antw53A9084;NB-Antw53A9084;BUILDING template;Huidevettersstraat 53 A 2000 Antwerpen
774457;ANTWERPEN-WEST - FH09;Tabakvest;47;A;2000;Antwerpen;152959,03;211598,6;NB-Antw47Aa455;NB-Antw47Aa455;BUILDING template;Tabakvest 47 A 2000 Antwerpen
774202;ANTWERPEN-WEST - FH09;Huidevettersstraat;57;;2000;Antwerpen;152551,43;211807,64;NB-Antw5736f706;NB-Antw5736f706;BUILDING template;Huidevettersstraat 57 2000 Antwerpen
774459;ANTWERPEN-WEST - FH09;Tabakvest;49;;2000;Antwerpen;152959,03;211598,6;NB-Antw493f7579;NB-Antw493f7579;BUILDING template;Tabakvest 49 2000 Antwerpen
774204;ANTWERPEN-WEST - FH09;Huidevettersstraat;59;;2000;Antwerpen;152545,51;211804,19;NB-Antw594c2d20;NB-Antw594c2d20;BUILDING template;Huidevettersstraat 59 2000 Antwerpen
774461;ANTWERPEN-WEST - FH09;Tabakvest;50;;2000;Antwerpen;153003,97;211690,19;NB-Antw50532113;NB-Antw50532113;BUILDING template;Tabakvest 50 2000 Antwerpen
774206;ANTWERPEN-WEST - FH09;Kelderstraat;8;;2000;Antwerpen;152709,34;211814,04;NB-Antw8604a42;NB-Antw8604a42;BUILDING template;Kelderstraat 8 2000 Antwerpen
774463;ANTWERPEN-WEST - FH09;Tabakvest;50;A;2000;Antwerpen;153008,97;211690,19;NB-Antw50A8935;NB-Antw50A8935;BUILDING template;Tabakvest 50 A 2000 Antwerpen
774465;ANTWERPEN-WEST - FH09;Tabakvest;50;C;2000;Antwerpen;153008,97;211690,19;NB-Antw50C1458;NB-Antw50C1458;BUILDING template;Tabakvest 50 C 2000 Antwerpen
774210;ANTWERPEN-WEST - FH09;Kelderstraat;11;;2000;Antwerpen;152730,21;211815,63;NB-Antw11794562;NB-Antw11794562;BUILDING template;Kelderstraat 11 2000 Antwerpen
774467;ANTWERPEN-WEST - FH09;Tabakvest;52;;2000;Antwerpen;152988,79;211672,32;NB-Antw52b4e776;NB-Antw52b4e776;BUILDING template;Tabakvest 52 2000 Antwerpen
774213;ANTWERPEN-WEST - FH09;Komedieplaats;8;;2000;Antwerpen;152601,85;211791,22;NB-Antw894a784;NB-Antw894a784;BUILDING template;Komedieplaats 8 2000 Antwerpen
774469;ANTWERPEN-WEST - FH09;Tabakvest;54;;2000;Antwerpen;152984,17;211666,31;NB-Antw54c8e390;NB-Antw54c8e390;BUILDING template;Tabakvest 54 2000 Antwerpen
774215;ANTWERPEN-WEST - FH09;Komedieplaats;11;;2000;Antwerpen;152614,84;211812,67;NB-Antw11aa8c04;NB-Antw11aa8c04;BUILDING template;Komedieplaats 11 2000 Antwerpen
774471;ANTWERPEN-WEST - FH09;Tabakvest;54;A;2000;Antwerpen;152989,17;211666,31;NB-Antw54A2f14;NB-Antw54A2f14;BUILDING template;Tabakvest 54 A 2000 Antwerpen
