OpdrachtID;Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate;Adres
516865;ANTWERPEN-WEST - FH07;Prekersstraat;10;;2000;Antwerpen;151881,04;211566,15;NB-200010d9f738;NB-200010d9f738;BUILDING template;Prekersstraat 10 2000 Antwerpen
516877;ANTWERPEN-WEST - FH07;Kloosterstraat;143;;2000;Antwerpen;151792,92;211576,84;NB-200014319ac20;NB-200014319ac20;BUILDING template;Kloosterstraat 143 2000 Antwerpen
549693;ANTWERPEN-WEST - FH07;Scheldestraat;38;;2000;Antwerpen;151751,1;211336,94;NB-200038c3b088;NB-200038c3b088;BUILDING template;Scheldestraat 38 2000 Antwerpen
463444;ANTWERPEN-WEST - FH07;Lange Vlierstraat;1;B;2000;Antwerpen;151966,71;211637,14;NB-20001B0905;NB-20001B0905;BUILDING template;Lange Vlierstraat 1 B 2000 Antwerpen
550275;ANTWERPEN-WEST - FH07;Scheldestraat;47;;2000;Antwerpen;151807,83;211333,1;NB-200047b3ba63;NB-200047b3ba63;BUILDING template;Scheldestraat 47 2000 Antwerpen
549256;ANTWERPEN-WEST - FH07;Korte Riddersstraat;15;1;2000;Antwerpen;152058,55;211938,91;NB-20001512840;NB-20001512840;BUILDING template;Korte Riddersstraat 15 1 2000 Antwerpen
549258;ANTWERPEN-WEST - FH07;Korte Riddersstraat;17;1;2000;Antwerpen;152059,86;211914,64;NB-20001714835;NB-20001714835;BUILDING template;Korte Riddersstraat 17 1 2000 Antwerpen
549260;ANTWERPEN-WEST - FH07;Korte Riddersstraat;23;3;2000;Antwerpen;152043,64;211900,89;NB-2000233c912;NB-2000233c912;BUILDING template;Korte Riddersstraat 23 3 2000 Antwerpen
549262;ANTWERPEN-WEST - FH07;Korte Riddersstraat;21;;2000;Antwerpen;152020,2;211917,28;NB-20002101ea51;NB-20002101ea51;BUILDING template;Korte Riddersstraat 21 2000 Antwerpen
549268;ANTWERPEN-WEST - FH07;Korte Riddersstraat;11;;2000;Antwerpen;152050,92;211966,53;NB-200011c89138;NB-200011c89138;BUILDING template;Korte Riddersstraat 11 2000 Antwerpen
549275;ANTWERPEN-WEST - FH07;Korte Riddersstraat;13;;2000;Antwerpen;152045,76;211952,89;NB-200013a23e73;NB-200013a23e73;BUILDING template;Korte Riddersstraat 13 2000 Antwerpen
467106;ANTWERPEN-WEST - FH07;Kronenburgstraat;17;;2000;Antwerpen;151837,82;211398,36;NB-200017fb7d57;NB-200017fb7d57;BUILDING template;Kronenburgstraat 17 2000 Antwerpen
550312;ANTWERPEN-WEST - FH07;Scheldestraat;51;;2000;Antwerpen;151822,56;211327,48;NB-20005180e102;NB-20005180e102;BUILDING template;Scheldestraat 51 2000 Antwerpen
375731;ANTWERPEN-WEST - FH07;Drukkerijstraat;12;;2000;Antwerpen;152113,71;211945,32;NB-200012742441;NB-200012742441;BUILDING template;Drukkerijstraat 12 2000 Antwerpen
478399;ANTWERPEN-WEST - FH07;Prekersstraat;51;;2000;Antwerpen;151967,58;211581,05;NB-200051b2fd48;NB-200051b2fd48;BUILDING template;Prekersstraat 51 2000 Antwerpen
478403;ANTWERPEN-WEST - FH07;Lange Riddersstraat;73;;2000;Antwerpen;151942,0;211725,27;NB-200073d1cf70;NB-200073d1cf70;BUILDING template;Lange Riddersstraat 73 2000 Antwerpen
478407;ANTWERPEN-WEST - FH07;Lange Riddersstraat;65;;2000;Antwerpen;151939,66;211739,86;NB-200065fa2c36;NB-200065fa2c36;BUILDING template;Lange Riddersstraat 65 2000 Antwerpen
516819;ANTWERPEN-WEST - FH07;Prekersstraat;2;;2000;Antwerpen;151825,19;211578,44;NB-200024ab474;NB-200024ab474;BUILDING template;Prekersstraat 2 2000 Antwerpen
516831;ANTWERPEN-WEST - FH07;Prekersstraat;4;;2000;Antwerpen;151836,99;211548,3;NB-20004b26f58;NB-20004b26f58;BUILDING template;Prekersstraat 4 2000 Antwerpen
516842;ANTWERPEN-WEST - FH07;Prekersstraat;6;;2000;Antwerpen;151841,99;211548,3;NB-20006fa5627;NB-20006fa5627;BUILDING template;Prekersstraat 6 2000 Antwerpen
516853;ANTWERPEN-WEST - FH07;Prekersstraat;8;;2000;Antwerpen;151886,04;211566,15;NB-20008dbda69;NB-20008dbda69;BUILDING template;Prekersstraat 8 2000 Antwerpen
