OpdrachtID;Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate;Adres
795395;EVERE - FH03;Friulilaan - Avenue du Frioul;10;;1140;Evere;152594,17;172526,02;NB-11401000062;NB-11401000062;BUILDING template;Friulilaan - Avenue du Frioul 10 1140 Evere
794891;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;25;;1140;Evere;152144,66;173052,65;NB-11402500044;NB-11402500044;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 25 1140 Evere
794646;EVERE - FH03;Andalusielaan - Avenue de l Andalousie;16;;1140;Evere;152521,49;172549,1;NB-11401600037;NB-11401600037;BUILDING template;Andalusielaan - Avenue de l Andalousie 16 1140 Evere
795160;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;68;A;1140;Evere;152149,66;173052,65;NB-114068A00053;NB-114068A00053;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 68 A 1140 Evere
795672;EVERE - FH03;Godfroid Kurthstraat - Rue Godfroid Kurth;16;;1140;Evere;152084,19;173117,81;NB-11401600073;NB-11401600073;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth 16 1140 Evere
794914;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;33;;1140;Evere;152149,66;173052,65;NB-11403300045;NB-11403300045;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 33 1140 Evere
795431;EVERE - FH03;Genevestraat - Rue de Geneve;1;;1140;Evere;152568,63;172413,35;NB-1140100063;NB-1140100063;BUILDING template;Genevestraat - Rue de Geneve 1 1140 Evere
794156;EVERE - FH03;A. Vanden Bosschestraat - Rue A. Vanden Bossche;65;;1140;Evere;152373,73;173377,18;NB-11406500028;NB-11406500028;BUILDING template;A. Vanden Bosschestraat - Rue A. Vanden Bossche 65 1140 Evere
794675;EVERE - FH03;Andalusielaan - Avenue de l Andalousie;17;;1140;Evere;152526,49;172549,1;NB-11401700038;NB-11401700038;BUILDING template;Andalusielaan - Avenue de l Andalousie 17 1140 Evere
795699;EVERE - FH03;Godfroid Kurthstraat - Rue Godfroid Kurth;22;;1140;Evere;152089,19;173117,81;NB-11402200074;NB-11402200074;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth 22 1140 Evere
795191;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;68;B;1140;Evere;152149,66;173052,65;NB-114068B00054;NB-114068B00054;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 68 B 1140 Evere
795455;EVERE - FH03;Genevestraat - Rue de Geneve;3;;1140;Evere;152573,63;172413,35;NB-1140300064;NB-1140300064;BUILDING template;Genevestraat - Rue de Geneve 3 1140 Evere
794693;EVERE - FH03;Andalusielaan - Avenue de l Andalousie;18;;1140;Evere;152526,49;172549,1;NB-11401800039;NB-11401800039;BUILDING template;Andalusielaan - Avenue de l Andalousie 18 1140 Evere
794958;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;45;A;1140;Evere;152149,66;173052,65;NB-114045A00046;NB-114045A00046;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 45 A 1140 Evere
795726;EVERE - FH03;Godfroid Kurthstraat - Rue Godfroid Kurth;23;;1140;Evere;152089,19;173117,81;NB-11402300075;NB-11402300075;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth 23 1140 Evere
795218;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;68;C;1140;Evere;152149,66;173052,65;NB-114068C00055;NB-114068C00055;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 68 C 1140 Evere
795482;EVERE - FH03;Genevestraat - Rue de Geneve;5;;1140;Evere;152573,63;172413,35;NB-1140500065;NB-1140500065;BUILDING template;Genevestraat - Rue de Geneve 5 1140 Evere
795744;EVERE - FH03;Godfroid Kurthstraat - Rue Godfroid Kurth;27;;1140;Evere;152089,19;173117,81;NB-11402700076;NB-11402700076;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth 27 1140 Evere
794467;EVERE - FH03;Adolf De Brandtstraat - Rue Adolphe De Brandt;63;;1140;Evere;152112,75;173337,73;NB-11406300031;NB-11406300031;BUILDING template;Adolf De Brandtstraat - Rue Adolphe De Brandt 63 1140 Evere
795494;EVERE - FH03;Genevestraat - Rue de Geneve;8;;1140;Evere;152573,63;172413,35;NB-1140800066;NB-1140800066;BUILDING template;Genevestraat - Rue de Geneve 8 1140 Evere
795751;EVERE - FH03;Godfroid Kurthstraat - Rue Godfroid Kurth;45;;1140;Evere;152089,19;173117,81;NB-11404500077;NB-11404500077;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth 45 1140 Evere
795752;EVERE - FH03;Godfroid Kurthstraat - Rue Godfroid Kurth;72;;1140;Evere;152089,19;173117,81;NB-11407200078;NB-11407200078;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth 72 1140 Evere
795753;EVERE - FH03;Godfroid Kurthstraat - Rue Godfroid Kurth;74;;1140;Evere;152089,19;173117,81;NB-11407400079;NB-11407400079;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth 74 1140 Evere
795498;EVERE - FH03;Genevestraat - Rue de Geneve;9;;1140;Evere;152573,63;172413,35;NB-1140900067;NB-1140900067;BUILDING template;Genevestraat - Rue de Geneve 9 1140 Evere
795754;EVERE - FH03;Godfroid Kurthstraat - Rue Godfroid Kurth;92;;1140;Evere;152089,19;173117,81;NB-11409200080;NB-11409200080;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth 92 1140 Evere
795755;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;7;;1140;Evere;152239,05;173354,35;NB-1140700081;NB-1140700081;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 7 1140 Evere
794732;EVERE - FH03;Andalusielaan - Avenue de l Andalousie;19;;1140;Evere;152526,49;172549,1;NB-11401900040;NB-11401900040;BUILDING template;Andalusielaan - Avenue de l Andalousie 19 1140 Evere
795756;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;20;;1140;Evere;152526,49;172549,1;NB-11402000082;NB-11402000082;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 20 1140 Evere
795245;EVERE - FH03;Edward Deknoopstraat - Rue Edouard Deknoop;6;;1140;Evere;152034,43;173455,2;NB-1140600056;NB-1140600056;BUILDING template;Edward Deknoopstraat - Rue Edouard Deknoop 6 1140 Evere
795757;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;26;;1140;Evere;152244,05;173354,35;NB-11402600083;NB-11402600083;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 26 1140 Evere
795758;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;47;B;1140;Evere;152244,05;173354,35;NB-114047B00084;NB-114047B00084;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 47 B 1140 Evere
795759;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;55;;1140;Evere;152244,05;173354,35;NB-11405500085;NB-11405500085;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 55 1140 Evere
795760;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;70;;1140;Evere;152244,05;173354,35;NB-11407000086;NB-11407000086;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 70 1140 Evere
795761;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;72;;1140;Evere;152244,05;173354,35;NB-11407200087;NB-11407200087;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 72 1140 Evere
795762;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;119;;1140;Evere;152244,05;173354,35;NB-114011900088;NB-114011900088;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 119 1140 Evere
795763;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;121;;1140;Evere;152244,05;173354,35;NB-114012100089;NB-114012100089;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 121 1140 Evere
795764;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;141;;1140;Evere;152244,05;173354,35;NB-114014100090;NB-114014100090;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 141 1140 Evere
795765;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;165;;1140;Evere;152244,05;173354,35;NB-114016500091;NB-114016500091;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 165 1140 Evere
795510;EVERE - FH03;Genevestraat - Rue de Geneve;11;;1140;Evere;152573,63;172413,35;NB-11401100068;NB-11401100068;BUILDING template;Genevestraat - Rue de Geneve 11 1140 Evere
795766;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;166;;1140;Evere;152244,05;173354,35;NB-114016600092;NB-114016600092;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 166 1140 Evere
794489;EVERE - FH03;Andalusielaan - Avenue de l Andalousie;11;;1140;Evere;152526,49;172549,1;NB-11401100032;NB-11401100032;BUILDING template;Andalusielaan - Avenue de l Andalousie 11 1140 Evere
795001;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;46;;1140;Evere;152149,66;173052,65;NB-11404600047;NB-11404600047;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 46 1140 Evere
795270;EVERE - FH03;Edward Deknoopstraat - Rue Edouard Deknoop;80;;1140;Evere;152039,43;173455,2;NB-11408000057;NB-11408000057;BUILDING template;Edward Deknoopstraat - Rue Edouard Deknoop 80 1140 Evere
795784;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;171;;1140;Evere;152244,05;173354,35;NB-114017100093;NB-114017100093;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 171 1140 Evere
795785;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;172;;1140;Evere;152244,05;173354,35;NB-114017200094;NB-114017200094;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 172 1140 Evere
795786;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;184;;1140;Evere;152244,05;173354,35;NB-114018400095;NB-114018400095;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 184 1140 Evere
795787;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;223;;1140;Evere;152244,05;173354,35;NB-114022300096;NB-114022300096;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 223 1140 Evere
795788;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;232;;1140;Evere;152244,05;173354,35;NB-114023200097;NB-114023200097;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 232 1140 Evere
795789;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;236;;1140;Evere;152244,05;173354,35;NB-114023600098;NB-114023600098;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 236 1140 Evere
795790;EVERE - FH03;H. Consciencelaan - Avenue Henri Conscience;236;A;1140;Evere;152244,05;173354,35;NB-1140236A00099;NB-1140236A00099;BUILDING template;H. Consciencelaan - Avenue Henri Conscience 236 A 1140 Evere
795791;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;934;;1140;Evere;152371,1;173821,92;NB-114093400100;NB-114093400100;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 934 1140 Evere
795536;EVERE - FH03;Genevestraat - Rue de Geneve;13;;1140;Evere;152573,63;172413,35;NB-11401300069;NB-11401300069;BUILDING template;Genevestraat - Rue de Geneve 13 1140 Evere
795792;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;952;;1140;Evere;152376,1;173821,92;NB-114095200101;NB-114095200101;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 952 1140 Evere
795793;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;954;;1140;Evere;152376,1;173821,92;NB-114095400102;NB-114095400102;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 954 1140 Evere
795794;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;956;;1140;Evere;152376,1;173821,92;NB-114095600103;NB-114095600103;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 956 1140 Evere
795027;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;48;;1140;Evere;152149,66;173052,65;NB-11404800048;NB-11404800048;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 48 1140 Evere
795795;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;970;;1140;Evere;152376,1;173821,92;NB-114097000104;NB-114097000104;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 970 1140 Evere
795796;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;976;A;1140;Evere;152376,1;173821,92;NB-1140976A00105;NB-1140976A00105;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 976 A 1140 Evere
795797;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;1058;;1140;Evere;152030,62;173540,39;NB-1140105800106;NB-1140105800106;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 1058 1140 Evere
795798;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;1080;;1140;Evere;152035,62;173540,39;NB-1140108000107;NB-1140108000107;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 1080 1140 Evere
795799;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;1194;;1140;Evere;152035,62;173540,39;NB-1140119400108;NB-1140119400108;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 1194 1140 Evere
794520;EVERE - FH03;Andalusielaan - Avenue de l Andalousie;12;;1140;Evere;152526,49;172549,1;NB-11401200033;NB-11401200033;BUILDING template;Andalusielaan - Avenue de l Andalousie 12 1140 Evere
795800;EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;1198;;1140;Evere;152035,62;173540,39;NB-1140119800109;NB-1140119800109;BUILDING template;Haachtsesteenweg - Chaussee de Haecht 1198 1140 Evere
794265;EVERE - FH03;A. Vanden Bosschestraat - Rue A. Vanden Bossche;81;;1140;Evere;152321,57;173482,81;NB-11408100029;NB-11408100029;BUILDING template;A. Vanden Bosschestraat - Rue A. Vanden Bossche 81 1140 Evere
795801;EVERE - FH03;J. B. Bauwensstraat - Rue J. B. Bauwens;4;;1140;Evere;124806,4;190832,37;NB-1140400110;NB-1140400110;BUILDING template;J. B. Bauwensstraat - Rue J. B. Bauwens 4 1140 Evere
795802;EVERE - FH03;J. B. Bauwensstraat - Rue J. B. Bauwens;8;;1140;Evere;124947,15;190884,38;NB-1140800111;NB-1140800111;BUILDING template;J. B. Bauwensstraat - Rue J. B. Bauwens 8 1140 Evere
795803;EVERE - FH03;J. B. Bauwensstraat - Rue J. B. Bauwens;23;B;1140;Evere;124952,15;190884,38;NB-114023B00112;NB-114023B00112;BUILDING template;J. B. Bauwensstraat - Rue J. B. Bauwens 23 B 1140 Evere
795804;EVERE - FH03;J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans;1;;1140;Evere;152047,34;173284,9;NB-1140100113;NB-1140100113;BUILDING template;J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans 1 1140 Evere
795805;EVERE - FH03;J. Houtmeyersstraat - Rue J. Houtmeyers;23;;1140;Evere;152106,54;173250,44;NB-11402300114;NB-11402300114;BUILDING template;J. Houtmeyersstraat - Rue J. Houtmeyers 23 1140 Evere
795294;EVERE - FH03;F. Vande Maelestraat - Rue F. Vande Maele;20;;1140;Evere;152175,8;173583,76;NB-11402000058;NB-11402000058;BUILDING template;F. Vande Maelestraat - Rue F. Vande Maele 20 1140 Evere
795806;EVERE - FH03;J. Houtmeyersstraat - Rue J. Houtmeyers;1;;1140;Evere;152111,54;173250,44;NB-1140100115;NB-1140100115;BUILDING template;J. Houtmeyersstraat - Rue J. Houtmeyers 1 1140 Evere
795807;EVERE - FH03;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;8;;1140;Evere;152322,38;173327,82;NB-1140800116;NB-1140800116;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck 8 1140 Evere
795808;EVERE - FH03;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;109;;1140;Evere;152327,38;173327,82;NB-114010900117;NB-114010900117;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck 109 1140 Evere
795809;EVERE - FH03;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;1;;1140;Evere;152536,1;173810,02;NB-1140100118;NB-1140100118;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth 1 1140 Evere
795810;EVERE - FH03;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;7;;1140;Evere;152541,1;173810,02;NB-1140700119;NB-1140700119;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth 7 1140 Evere
795811;EVERE - FH03;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;8;;1140;Evere;152541,1;173810,02;NB-1140800120;NB-1140800120;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth 8 1140 Evere
795556;EVERE - FH03;Genevestraat - Rue de Geneve;15;A;1140;Evere;152573,63;172413,35;NB-114015A00070;NB-114015A00070;BUILDING template;Genevestraat - Rue de Geneve 15 A 1140 Evere
795812;EVERE - FH03;Languedocwandelwegen - Allees du Languedoc;1;A;1140;Evere;152684,03;173625,26;NB-11401A00121;NB-11401A00121;BUILDING template;Languedocwandelwegen - Allees du Languedoc 1 A 1140 Evere
795813;EVERE - FH03;Languedocwandelwegen - Allees du Languedoc;1;B;1140;Evere;152689,03;173625,26;NB-11401B00122;NB-11401B00122;BUILDING template;Languedocwandelwegen - Allees du Languedoc 1 B 1140 Evere
795814;EVERE - FH03;Languedocwandelwegen - Allees du Languedoc;1;C;1140;Evere;152689,03;173625,26;NB-11401C00123;NB-11401C00123;BUILDING template;Languedocwandelwegen - Allees du Languedoc 1 C 1140 Evere
795815;EVERE - FH03;Languedocwandelwegen - Allees du Languedoc;1;D;1140;Evere;152689,03;173625,26;NB-11401D00124;NB-11401D00124;BUILDING template;Languedocwandelwegen - Allees du Languedoc 1 D 1140 Evere
794792;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;2;;1140;Evere;152149,66;173052,65;NB-1140200041;NB-1140200041;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 2 1140 Evere
795816;EVERE - FH03;Languedocwandelwegen - Allees du Languedoc;1;E;1140;Evere;152689,03;173625,26;NB-11401E00125;NB-11401E00125;BUILDING template;Languedocwandelwegen - Allees du Languedoc 1 E 1140 Evere
795817;EVERE - FH03;Languedocwandelwegen - Allees du Languedoc;1;G;1140;Evere;152689,03;173625,26;NB-11401G00126;NB-11401G00126;BUILDING template;Languedocwandelwegen - Allees du Languedoc 1 G 1140 Evere
795818;EVERE - FH03;Leekaertsstraat - Rue Leekaerts;20;;1140;Evere;152406,57;173703,18;NB-11402000127;NB-11402000127;BUILDING template;Leekaertsstraat - Rue Leekaerts 20 1140 Evere
795819;EVERE - FH03;Lindestraat - Rue du Tilleul;265;;1140;Evere;151818,48;173520,1;NB-114026500128;NB-114026500128;BUILDING template;Lindestraat - Rue du Tilleul 265 1140 Evere
795820;EVERE - FH03;Lindestraat - Rue du Tilleul;301;;1140;Evere;151823,48;173520,1;NB-114030100129;NB-114030100129;BUILDING template;Lindestraat - Rue du Tilleul 301 1140 Evere
795053;EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;56;;1140;Evere;152149,66;173052,65;NB-11405600049;NB-11405600049;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck 56 1140 Evere
795821;EVERE - FH03;Lindestraat - Rue du Tilleul;349;;1140;Evere;151823,48;173520,1;NB-114034900130;NB-114034900130;BUILDING template;Lindestraat - Rue du Tilleul 349 1140 Evere
795822;EVERE - FH03;Lindestraat - Rue du Tilleul;411;;1140;Evere;151823,48;173520,1;NB-114041100131;NB-114041100131;BUILDING template;Lindestraat - Rue du Tilleul 411 1140 Evere
794287;EVERE - FH03;Adolf De Brandtstraat - Rue Adolphe De Brandt;35;;1140;Evere;152117,75;173337,73;NB-11403500030;NB-11403500030;BUILDING template;Adolf De Brandtstraat - Rue Adolphe De Brandt 35 1140 Evere
795823;EVERE - FH03;Lindestraat - Rue du Tilleul;413;;1140;Evere;151823,48;173520,1;NB-114041300132;NB-114041300132;BUILDING template;Lindestraat - Rue du Tilleul 413 1140 Evere
795824;EVERE - FH03;Lindestraat - Rue du Tilleul;417;;1140;Evere;151823,48;173520,1;NB-114041700133;NB-114041700133;BUILDING template;Lindestraat - Rue du Tilleul 417 1140 Evere
795825;EVERE - FH03;Louis Pierardlaan - Avenue Louis Pierard;20;;1140;Evere;152644,2;173853,05;NB-11402000134;NB-11402000134;BUILDING template;Louis Pierardlaan - Avenue Louis Pierard 20 1140 Evere
795826;EVERE - FH03;Louis Pierardlaan - Avenue Louis Pierard;39;;1140;Evere;152649,2;173853,05;NB-11403900135;NB-11403900135;BUILDING template;Louis Pierardlaan - Avenue Louis Pierard 39 1140 Evere
795827;EVERE - FH03;Louis Pierardlaan - Avenue Louis Pierard;44;;1140;Evere;152649,2;173853,05;NB-11404400136;NB-11404400136;BUILDING template;Louis Pierardlaan - Avenue Louis Pierard 44 1140 Evere
