OpdrachtID;Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate;Adres
830030;HASSELT - FH08;Acaciastraat;3;;3500;Hasselt;217314,09;180128,03;NB-3500300697;NB-3500300697;BUILDING template;Acaciastraat 3 3500 Hasselt
830031;HASSELT - FH08;Acaciastraat;5;;3500;Hasselt;217305,8;180126,87;NB-3500500698;NB-3500500698;BUILDING template;Acaciastraat 5 3500 Hasselt
830032;HASSELT - FH08;Acaciastraat;10;;3500;Hasselt;217296,22;180100,04;NB-35001000699;NB-35001000699;BUILDING template;Acaciastraat 10 3500 Hasselt
830033;HASSELT - FH08;Acaciastraat;19;;3500;Hasselt;217262,7;180141,01;NB-35001900700;NB-35001900700;BUILDING template;Acaciastraat 19 3500 Hasselt
830034;HASSELT - FH08;Acaciastraat;86;;3500;Hasselt;217053,54;180155,46;NB-35008600701;NB-35008600701;BUILDING template;Acaciastraat 86 3500 Hasselt
830035;HASSELT - FH08;Acaciastraat;86;A;3500;Hasselt;217058,54;180155,46;NB-350086A00702;NB-350086A00702;BUILDING template;Acaciastraat 86 A 3500 Hasselt
830036;HASSELT - FH08;Bertold-Brechtstraat;3;;3500;Hasselt;216715,08;180362,18;NB-3500300703;NB-3500300703;BUILDING template;Bertold-Brechtstraat 3 3500 Hasselt
830037;HASSELT - FH08;Beukenstraat;3;;3500;Hasselt;217258,44;180051,89;NB-3500300704;NB-3500300704;BUILDING template;Beukenstraat 3 3500 Hasselt
830038;HASSELT - FH08;Beukenstraat;36;;3500;Hasselt;217135,96;180019,6;NB-35003600705;NB-35003600705;BUILDING template;Beukenstraat 36 3500 Hasselt
830039;HASSELT - FH08;Boekstraat;86;;3500;Hasselt;216723,13;180268,41;NB-35008600706;NB-35008600706;BUILDING template;Boekstraat 86 3500 Hasselt
830040;HASSELT - FH08;Boekstraat;104;;3500;Hasselt;216668,84;180243,15;NB-350010400707;NB-350010400707;BUILDING template;Boekstraat 104 3500 Hasselt
830041;HASSELT - FH08;Djef Swennenstraat;8;;3500;Hasselt;216988,07;179947,62;NB-3500800708;NB-3500800708;BUILDING template;Djef Swennenstraat 8 3500 Hasselt
830042;HASSELT - FH08;Djef Swennenstraat;17;;3500;Hasselt;216783,18;180027,17;NB-35001700709;NB-35001700709;BUILDING template;Djef Swennenstraat 17 3500 Hasselt
830043;HASSELT - FH08;Djef Swennenstraat;35;;3500;Hasselt;216959,2;180007,2;NB-35003500710;NB-35003500710;BUILDING template;Djef Swennenstraat 35 3500 Hasselt
830044;HASSELT - FH08;Kapellekensbampdstraat;30;;3500;Hasselt;216683,08;180130,71;NB-35003000711;NB-35003000711;BUILDING template;Kapellekensbampdstraat 30 3500 Hasselt
830045;HASSELT - FH08;Lucien Nolensstraat;10;;3500;Hasselt;216900,41;179889,29;NB-35001000712;NB-35001000712;BUILDING template;Lucien Nolensstraat 10 3500 Hasselt
830046;HASSELT - FH08;Runkstersteenweg;245;;3500;Hasselt;216890,9;179866,92;NB-350024500713;NB-350024500713;BUILDING template;Runkstersteenweg 245 3500 Hasselt
830047;HASSELT - FH08;Monseigneur Kerkhofsstraat;15;;3500;Hasselt;217457,07;180246,84;NB-35001500714;NB-35001500714;BUILDING template;Monseigneur Kerkhofsstraat 15 3500 Hasselt
830048;HASSELT - FH08;Monseigneur Kerkhofsstraat;16;;3500;Hasselt;217449,32;180219,57;NB-35001600715;NB-35001600715;BUILDING template;Monseigneur Kerkhofsstraat 16 3500 Hasselt
830049;HASSELT - FH08;Monseigneur Kerkhofsstraat;18;;3500;Hasselt;217442,6;180224,33;NB-35001800716;NB-35001800716;BUILDING template;Monseigneur Kerkhofsstraat 18 3500 Hasselt
830050;HASSELT - FH08;Runkstersteenweg;19;;3500;Hasselt;217597,89;180321,93;NB-35001900717;NB-35001900717;BUILDING template;Runkstersteenweg 19 3500 Hasselt
830051;HASSELT - FH08;Runkstersteenweg;19;;3500;Hasselt;217602,89;180321,93;NB-35001900718;NB-35001900718;BUILDING template;Runkstersteenweg 19 3500 Hasselt
830052;HASSELT - FH08;Spoorwegstraat;77;;3500;Hasselt;217313,74;180410,83;NB-35007700719;NB-35007700719;BUILDING template;Spoorwegstraat 77 3500 Hasselt
830053;HASSELT - FH08;Spoorwegstraat;80;;3500;Hasselt;217250,39;180373,38;NB-35008000720;NB-35008000720;BUILDING template;Spoorwegstraat 80 3500 Hasselt
830054;HASSELT - FH08;Spoorwegstraat;161;;3500;Hasselt;216658,82;180592,86;NB-350016100721;NB-350016100721;BUILDING template;Spoorwegstraat 161 3500 Hasselt
830055;HASSELT - FH08;Spoorwegstraat;163;;3500;Hasselt;216637,66;180604,75;NB-350016300722;NB-350016300722;BUILDING template;Spoorwegstraat 163 3500 Hasselt
830056;HASSELT - FH08;Spoorwegstraat;165;;3500;Hasselt;216621,61;180608,71;NB-350016500723;NB-350016500723;BUILDING template;Spoorwegstraat 165 3500 Hasselt
830057;HASSELT - FH08;Spoorwegstraat;166;;3500;Hasselt;216617,21;180615,27;NB-350016600724;NB-350016600724;BUILDING template;Spoorwegstraat 166 3500 Hasselt
830058;HASSELT - FH08;Spoorwegstraat;167;;3500;Hasselt;216610,52;180617,07;NB-350016700725;NB-350016700725;BUILDING template;Spoorwegstraat 167 3500 Hasselt
830059;HASSELT - FH08;Spoorwegstraat;168;;3500;Hasselt;216605,71;180619,62;NB-350016800726;NB-350016800726;BUILDING template;Spoorwegstraat 168 3500 Hasselt
830060;HASSELT - FH08;Vredestraat;2;A;3500;Hasselt;217242,55;180334,7;NB-35002A00727;NB-35002A00727;BUILDING template;Vredestraat 2 A 3500 Hasselt
830061;HASSELT - FH08;Vredestraat;2;;3500;Hasselt;217247,55;180334,7;NB-3500200728;NB-3500200728;BUILDING template;Vredestraat 2 3500 Hasselt
