OpdrachtID;Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate;Adres
816650;KNOKKE-HEIST - FH03;Dumortierlaan;21;;8300;Knokke-Heist;74824,38;227303,75;NB-83002100204;NB-83002100204;BUILDING template;Dumortierlaan 21 8300 Knokke-Heist
816651;KNOKKE-HEIST - FH03;Dumortierlaan;23;;8300;Knokke-Heist;74816,66;227312,09;NB-83002300205;NB-83002300205;BUILDING template;Dumortierlaan 23 8300 Knokke-Heist
816652;KNOKKE-HEIST - FH03;Dumortierlaan;25;;8300;Knokke-Heist;74821,66;227312,09;NB-83002500206;NB-83002500206;BUILDING template;Dumortierlaan 25 8300 Knokke-Heist
816653;KNOKKE-HEIST - FH03;Dumortierlaan;27;;8300;Knokke-Heist;74805,31;227321,32;NB-83002700207;NB-83002700207;BUILDING template;Dumortierlaan 27 8300 Knokke-Heist
817683;KNOKKE-HEIST - FH03;Ferdinand Mosselmanstraat;5;;8300;Knokke-Heist;74818,0;227205,0;NB-8300500241;NB-8300500241;BUILDING template;Ferdinand Mosselmanstraat 5 8300 Knokke-Heist
817684;KNOKKE-HEIST - FH03;Ferdinand Mosselmanstraat;3;;8300;Knokke-Heist;74812,0;227211,0;NB-8300300240;NB-8300300240;BUILDING template;Ferdinand Mosselmanstraat 3 8300 Knokke-Heist
817685;KNOKKE-HEIST - FH03;Jozef Mommenstraat;9;;8300;Knokke-Heist;74783,6;226985,89;NB-8300900242;NB-8300900242;BUILDING template;Jozef Mommenstraat 9 8300 Knokke-Heist
817686;KNOKKE-HEIST - FH03;Jozef Mommenstraat;15;;8300;Knokke-Heist;74800,92;226979,38;NB-83001500243;NB-83001500243;BUILDING template;Jozef Mommenstraat 15 8300 Knokke-Heist
817687;KNOKKE-HEIST - FH03;Jozef Nellenslaan;132;;8300;Knokke-Heist;74001,0;227006,0;NB-830013200244;NB-830013200244;BUILDING template;Jozef Nellenslaan 132 8300 Knokke-Heist
817688;KNOKKE-HEIST - FH03;Jozef Nellenslaan;134;;8300;Knokke-Heist;74029,0;227020,0;NB-830013400245;NB-830013400245;BUILDING template;Jozef Nellenslaan 134 8300 Knokke-Heist
