OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,"LAM MK",Opdrachttemplate
774400,"ANTWERPEN-WEST - FH09",Schermersstraat,39,,2000,Antwerpen,,,NB-Antw3926a921,NB-Antw3926a921,"BUILDING template"
774145,"ANTWERPEN-WEST - FH09",Frankrijklei,96,B,2000,Antwerpen,,,NB-Antw96Bd263,NB-Antw96Bd263,"BUILDING template"
774402,"ANTWERPEN-WEST - FH09",Schuttershofstraat,2,,2000,Antwerpen,,,NB-Antw23beb36,NB-Antw23beb36,"BUILDING template"
774147,"ANTWERPEN-WEST - FH09",Frankrijklei,96,,2000,Antwerpen,,,NB-Antw965f9386,NB-Antw965f9386,"BUILDING template"
774149,"ANTWERPEN-WEST - FH09",Frankrijklei,104,A,2000,Antwerpen,,,NB-Antw104A6700,NB-Antw104A6700,"BUILDING template"
774151,"ANTWERPEN-WEST - FH09",Frankrijklei,118,,2000,Antwerpen,,,NB-Antw118894927,NB-Antw118894927,"BUILDING template"
774407,"ANTWERPEN-WEST - FH09",Schuttershofstraat,12,,2000,Antwerpen,,,NB-Antw12510361,NB-Antw12510361,"BUILDING template"
774153,"ANTWERPEN-WEST - FH09",Frankrijklei,120,A,2000,Antwerpen,,,NB-Antw120A1043,NB-Antw120A1043,"BUILDING template"
774409,"ANTWERPEN-WEST - FH09",Schuttershofstraat,24,,2000,Antwerpen,,,NB-Antw246a1074,NB-Antw246a1074,"BUILDING template"
774155,"ANTWERPEN-WEST - FH09",Frankrijklei,122,A,2000,Antwerpen,,,NB-Antw122A5266,NB-Antw122A5266,"BUILDING template"
774411,"ANTWERPEN-WEST - FH09",Schuttershofstraat,34,,2000,Antwerpen,,,NB-Antw347e0292,NB-Antw347e0292,"BUILDING template"
774157,"ANTWERPEN-WEST - FH09",Frankrijklei,128,A,2000,Antwerpen,,,NB-Antw128Af482,NB-Antw128Af482,"BUILDING template"
774413,"ANTWERPEN-WEST - FH09",Schuttershofstraat,48,A,2000,Antwerpen,,,NB-Antw48Aff13,NB-Antw48Aff13,"BUILDING template"
774159,"ANTWERPEN-WEST - FH09",Frankrijklei,158,,2000,Antwerpen,,,NB-Antw158ebb206,NB-Antw158ebb206,"BUILDING template"
774415,"ANTWERPEN-WEST - FH09",Sint-Jorispoort,6,,2000,Antwerpen,,,NB-Antw6ac2735,NB-Antw6ac2735,"BUILDING template"
774161,"ANTWERPEN-WEST - FH09",Frankrijklei,162,,2000,Antwerpen,,,NB-Antw162001820,NB-Antw162001820,"BUILDING template"
774417,"ANTWERPEN-WEST - FH09",Sint-Jorispoort,37,A,2000,Antwerpen,,,NB-Antw37Aa552,NB-Antw37Aa552,"BUILDING template"
774163,"ANTWERPEN-WEST - FH09",Graanmarkt,6,,2000,Antwerpen,,,NB-Antw618e543,NB-Antw618e543,"BUILDING template"
774419,"ANTWERPEN-WEST - FH09",Sint-Jorispoort,39,A,2000,Antwerpen,,,NB-Antw39Ae776,NB-Antw39Ae776,"BUILDING template"
774165,"ANTWERPEN-WEST - FH09",Graanmarkt,11,,2000,Antwerpen,,,NB-Antw112ec163,NB-Antw112ec163,"BUILDING template"
774421,"ANTWERPEN-WEST - FH09",Sint-Maartenstraat,1,,2000,Antwerpen,,,NB-Antw1f01d87,NB-Antw1f01d87,"BUILDING template"
774167,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",1,,2000,Antwerpen,,,NB-Antw1493f05,NB-Antw1493f05,"BUILDING template"
774423,"ANTWERPEN-WEST - FH09",Tabakvest,13,,2000,Antwerpen,,,NB-Antw1302a014,NB-Antw1302a014,"BUILDING template"
774169,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",2,,2000,Antwerpen,,,NB-Antw2f03754,NB-Antw2f03754,"BUILDING template"
774425,"ANTWERPEN-WEST - FH09",Tabakvest,19,,2000,Antwerpen,,,NB-Antw191cdf33,NB-Antw191cdf33,"BUILDING template"
774171,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",4,,2000,Antwerpen,,,NB-Antw4081955,NB-Antw4081955,"BUILDING template"
774173,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",6,,2000,Antwerpen,,,NB-Antw61cbb95,NB-Antw61cbb95,"BUILDING template"
774175,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",8,,2000,Antwerpen,,,NB-Antw834ef96,NB-Antw834ef96,"BUILDING template"
774432,"ANTWERPEN-WEST - FH09",Tabakvest,21,,2000,Antwerpen,,,NB-Antw2139f955,NB-Antw2139f955,"BUILDING template"
774434,"ANTWERPEN-WEST - FH09",Tabakvest,23,,2000,Antwerpen,,,NB-Antw234d9068,NB-Antw234d9068,"BUILDING template"
774436,"ANTWERPEN-WEST - FH09",Tabakvest,25,,2000,Antwerpen,,,NB-Antw2561eb85,NB-Antw2561eb85,"BUILDING template"
774438,"ANTWERPEN-WEST - FH09",Tabakvest,30,A,2000,Antwerpen,,,NB-Antw30A7705,NB-Antw30A7705,"BUILDING template"
774184,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",12,,2000,Antwerpen,,,NB-Antw124b0506,NB-Antw124b0506,"BUILDING template"
774440,"ANTWERPEN-WEST - FH09",Tabakvest,30,E,2000,Antwerpen,,,NB-Antw30E5929,NB-Antw30E5929,"BUILDING template"
774186,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",14,,2000,Antwerpen,,,NB-Antw14659025,NB-Antw14659025,"BUILDING template"
774442,"ANTWERPEN-WEST - FH09",Tabakvest,31,,2000,Antwerpen,,,NB-Antw31a4da41,NB-Antw31a4da41,"BUILDING template"
774188,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",16,,2000,Antwerpen,,,NB-Antw167d8049,NB-Antw167d8049,"BUILDING template"
774444,"ANTWERPEN-WEST - FH09",Tabakvest,32,,2000,Antwerpen,,,NB-Antw32b83b65,NB-Antw32b83b65,"BUILDING template"
774190,"ANTWERPEN-WEST - FH09","Henri Van Heurckstraat",18,,2000,Antwerpen,,,NB-Antw18937e61,NB-Antw18937e61,"BUILDING template"
774446,"ANTWERPEN-WEST - FH09",Tabakvest,35,,2000,Antwerpen,,,NB-Antw35cec680,NB-Antw35cec680,"BUILDING template"
774192,"ANTWERPEN-WEST - FH09",Hopland,6,,2000,Antwerpen,,,NB-Antw6a84d83,NB-Antw6a84d83,"BUILDING template"
774448,"ANTWERPEN-WEST - FH09",Tabakvest,41,,2000,Antwerpen,,,NB-Antw41e59405,NB-Antw41e59405,"BUILDING template"
774194,"ANTWERPEN-WEST - FH09",Hopland,18,,2000,Antwerpen,,,NB-Antw18bc6d00,NB-Antw18bc6d00,"BUILDING template"
774450,"ANTWERPEN-WEST - FH09",Tabakvest,43,,2000,Antwerpen,,,NB-Antw43facb20,NB-Antw43facb20,"BUILDING template"
774196,"ANTWERPEN-WEST - FH09",Hopland,30,,2000,Antwerpen,,,NB-Antw30f1ae43,NB-Antw30f1ae43,"BUILDING template"
774198,"ANTWERPEN-WEST - FH09",Hopland,40,,2000,Antwerpen,,,NB-Antw40061b67,NB-Antw40061b67,"BUILDING template"
774455,"ANTWERPEN-WEST - FH09",Tabakvest,47,,2000,Antwerpen,,,NB-Antw47134138,NB-Antw47134138,"BUILDING template"
774200,"ANTWERPEN-WEST - FH09",Huidevettersstraat,53,A,2000,Antwerpen,,,NB-Antw53A9084,NB-Antw53A9084,"BUILDING template"
774457,"ANTWERPEN-WEST - FH09",Tabakvest,47,A,2000,Antwerpen,,,NB-Antw47Aa455,NB-Antw47Aa455,"BUILDING template"
774202,"ANTWERPEN-WEST - FH09",Huidevettersstraat,57,,2000,Antwerpen,,,NB-Antw5736f706,NB-Antw5736f706,"BUILDING template"
774459,"ANTWERPEN-WEST - FH09",Tabakvest,49,,2000,Antwerpen,,,NB-Antw493f7579,NB-Antw493f7579,"BUILDING template"
774204,"ANTWERPEN-WEST - FH09",Huidevettersstraat,59,,2000,Antwerpen,,,NB-Antw594c2d20,NB-Antw594c2d20,"BUILDING template"
774461,"ANTWERPEN-WEST - FH09",Tabakvest,50,,2000,Antwerpen,,,NB-Antw50532113,NB-Antw50532113,"BUILDING template"
774206,"ANTWERPEN-WEST - FH09",Kelderstraat,8,,2000,Antwerpen,,,NB-Antw8604a42,NB-Antw8604a42,"BUILDING template"
774463,"ANTWERPEN-WEST - FH09",Tabakvest,50,A,2000,Antwerpen,,,NB-Antw50A8935,NB-Antw50A8935,"BUILDING template"
774465,"ANTWERPEN-WEST - FH09",Tabakvest,50,C,2000,Antwerpen,,,NB-Antw50C1458,NB-Antw50C1458,"BUILDING template"
774210,"ANTWERPEN-WEST - FH09",Kelderstraat,11,,2000,Antwerpen,,,NB-Antw11794562,NB-Antw11794562,"BUILDING template"
774467,"ANTWERPEN-WEST - FH09",Tabakvest,52,,2000,Antwerpen,,,NB-Antw52b4e776,NB-Antw52b4e776,"BUILDING template"
774213,"ANTWERPEN-WEST - FH09",Komedieplaats,8,,2000,Antwerpen,,,NB-Antw894a784,NB-Antw894a784,"BUILDING template"
774469,"ANTWERPEN-WEST - FH09",Tabakvest,54,,2000,Antwerpen,,,NB-Antw54c8e390,NB-Antw54c8e390,"BUILDING template"
774215,"ANTWERPEN-WEST - FH09",Komedieplaats,11,,2000,Antwerpen,,,NB-Antw11aa8c04,NB-Antw11aa8c04,"BUILDING template"
774471,"ANTWERPEN-WEST - FH09",Tabakvest,54,A,2000,Antwerpen,,,NB-Antw54A2f14,NB-Antw54A2f14,"BUILDING template"
774217,"ANTWERPEN-WEST - FH09",Komedieplaats,15,,2000,Antwerpen,,,NB-Antw15c36330,NB-Antw15c36330,"BUILDING template"
774473,"ANTWERPEN-WEST - FH09",Tabakvest,54,C,2000,Antwerpen,,,NB-Antw54Cee26,NB-Antw54Cee26,"BUILDING template"
774219,"ANTWERPEN-WEST - FH09",Komedieplaats,16,,2000,Antwerpen,,,NB-Antw16dc1b43,NB-Antw16dc1b43,"BUILDING template"
774475,"ANTWERPEN-WEST - FH09",Tabakvest,54,D,2000,Antwerpen,,,NB-Antw54D6748,NB-Antw54D6748,"BUILDING template"
774221,"ANTWERPEN-WEST - FH09","Lange Gasthuisstraat",3,,2000,Antwerpen,,,NB-Antw3f19966,NB-Antw3f19966,"BUILDING template"
774477,"ANTWERPEN-WEST - FH09",Tabakvest,59,A,2000,Antwerpen,,,NB-Antw59A1f63,NB-Antw59A1f63,"BUILDING template"
774223,"ANTWERPEN-WEST - FH09","Lange Gasthuisstraat",11,,2000,Antwerpen,,,NB-Antw1109e182,NB-Antw1109e182,"BUILDING template"
774225,"ANTWERPEN-WEST - FH09","Lange Gasthuisstraat",15,A,2000,Antwerpen,,,NB-Antw15A9b99,NB-Antw15A9b99,"BUILDING template"
774481,"ANTWERPEN-WEST - FH09",Tabakvest,63,,2000,Antwerpen,,,NB-Antw63313687,NB-Antw63313687,"BUILDING template"
774227,"ANTWERPEN-WEST - FH09","Lange Gasthuisstraat",15,B,2000,Antwerpen,,,NB-Antw15B9617,NB-Antw15B9617,"BUILDING template"
774483,"ANTWERPEN-WEST - FH09",Tabakvest,67,,2000,Antwerpen,,,NB-Antw67435700,NB-Antw67435700,"BUILDING template"
