OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,"LAM MK",Opdrachttemplate
742415,"KNOKKE-HEIST - FH05",Dumortierlaan,88,,8300,Knokke-Heist,,,NB-8300888c1640,NB-8300888c1640,"BUILDING template"
742417,"KNOKKE-HEIST - FH05","Van Bunnenlaan",58,,8300,Knokke-Heist,,,NB-830058952c65,NB-830058952c65,"BUILDING template"
742419,"KNOKKE-HEIST - FH05",Dumortierlaan,92,,8300,Knokke-Heist,,,NB-830092ad3d81,NB-830092ad3d81,"BUILDING template"
742421,"KNOKKE-HEIST - FH05","Van Bunnenlaan",56,,8300,Knokke-Heist,,,NB-830056c86607,NB-830056c86607,"BUILDING template"
742423,"KNOKKE-HEIST - FH05",Dumortierlaan,94,A,8300,Knokke-Heist,,,NB-830094Aa218,NB-830094Aa218,"BUILDING template"
742429,"KNOKKE-HEIST - FH05","Van Bunnenlaan",56,,8300,Knokke-Heist,,,NB-830056fbcc01,NB-830056fbcc01,"BUILDING template"
742431,"KNOKKE-HEIST - FH05",Dumortierlaan,94,B,8300,Knokke-Heist,,,NB-830094Bbe16,NB-830094Bbe16,"BUILDING template"
742433,"KNOKKE-HEIST - FH05",Dumortierlaan,95,,8300,Knokke-Heist,,,NB-8300957a6338,NB-8300957a6338,"BUILDING template"
742438,"KNOKKE-HEIST - FH05","Winston Churchilllaan",32,,8300,Knokke-Heist,,,NB-830032697a50,NB-830032697a50,"BUILDING template"
742440,"KNOKKE-HEIST - FH05",Dumortierlaan,98,,8300,Knokke-Heist,,,NB-83009895bf60,NB-83009895bf60,"BUILDING template"
742186,"KNOKKE-HEIST - FH05",Bevrijdingslaan,1,,8300,Knokke-Heist,,,NB-83001982741,NB-83001982741,"BUILDING template"
742190,"KNOKKE-HEIST - FH05",Diksmuidestraat,29,,8300,Knokke-Heist,,,NB-8300292cf724,NB-8300292cf724,"BUILDING template"
742193,"KNOKKE-HEIST - FH05",Diksmuidestraat,40,,8300,Knokke-Heist,,,NB-830040634155,NB-830040634155,"BUILDING template"
742455,"KNOKKE-HEIST - FH05",Dumortierlaan,100,,8300,Knokke-Heist,,,NB-8300100b13e85,NB-8300100b13e85,"BUILDING template"
742457,"KNOKKE-HEIST - FH05","Winston Churchilllaan",30,,8300,Knokke-Heist,,,NB-830030a02f93,NB-830030a02f93,"BUILDING template"
742459,"KNOKKE-HEIST - FH05",Dumortierlaan,104,A,8300,Knokke-Heist,,,NB-8300104Ace08,NB-8300104Ace08,"BUILDING template"
742466,"KNOKKE-HEIST - FH05",Dumortierlaan,107,,8300,Knokke-Heist,,,NB-8300107e77c30,NB-8300107e77c30,"BUILDING template"
742211,"KNOKKE-HEIST - FH05",Diksmuidestraat,47,,8300,Knokke-Heist,,,NB-8300479f9e82,NB-8300479f9e82,"BUILDING template"
742213,"KNOKKE-HEIST - FH05",Diksmuidestraat,51,,8300,Knokke-Heist,,,NB-830051bf6d05,NB-830051bf6d05,"BUILDING template"
742221,"KNOKKE-HEIST - FH05",Driehoeksplein,3,,8300,Knokke-Heist,,,NB-83003db1249,NB-83003db1249,"BUILDING template"
742477,"KNOKKE-HEIST - FH05","Van Bunnenlaan",53,,8300,Knokke-Heist,,,NB-830053df6957,NB-830053df6957,"BUILDING template"
