OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,"LAM MK",Opdrachttemplate
626232,"SINT-NIKLAAS - FH01",Broodstraat,9,,9100,Sint-Niklaas,,,NB-9100983f853,NB-9100983f853,"BUILDING template"
626235,"SINT-NIKLAAS - FH01",Broodstraat,11,,9100,Sint-Niklaas,,,NB-910011ba9114,NB-910011ba9114,"BUILDING template"
626238,"SINT-NIKLAAS - FH01",Collegestraat,2,,9100,Sint-Niklaas,,,NB-91002064775,NB-91002064775,"BUILDING template"
626241,"SINT-NIKLAAS - FH01","Grote Markt",36,A,9100,Sint-Niklaas,,,NB-910036A7d33,NB-910036A7d33,"BUILDING template"
626244,"SINT-NIKLAAS - FH01","Grote Markt",36,B,9100,Sint-Niklaas,,,NB-910036B8610,NB-910036B8610,"BUILDING template"
626247,"SINT-NIKLAAS - FH01",Kasteelstraat,77,,9100,Sint-Niklaas,,,NB-910077e8f591,NB-910077e8f591,"BUILDING template"
626249,"SINT-NIKLAAS - FH01",Hoveniersstraat,44,,9100,Sint-Niklaas,,,NB-910044523482,NB-910044523482,"BUILDING template"
626252,"SINT-NIKLAAS - FH01",Plezantstraat,2,B,9100,Sint-Niklaas,,,NB-91002Bfe41,NB-91002Bfe41,"BUILDING template"
626258,"SINT-NIKLAAS - FH01",Stationsstraat,113,B,9100,Sint-Niklaas,,,NB-9100113Bb876,NB-9100113Bb876,"BUILDING template"
626261,"SINT-NIKLAAS - FH01",Stationsstraat,106,,9100,Sint-Niklaas,,,NB-9100106969971,NB-9100106969971,"BUILDING template"
626264,"SINT-NIKLAAS - FH01",Stationsstraat,113,A,9100,Sint-Niklaas,,,NB-9100113A2f04,NB-9100113A2f04,"BUILDING template"
595826,"SINT-NIKLAAS - FH01",Dalstraat,13,B,9100,Sint-Niklaas,"133686,75","206170,91",NB-910013B6030,NB-910013B6030,"BUILDING template"
222634,"SINT-NIKLAAS - FH01",Collegestraat,2,B,9100,Sint-Niklaas,,,NB-910026-7-4797,NB-910026-7-4797,"BUILDING template"
222635,"SINT-NIKLAAS - FH01",Collegestraat,2,A,9100,Sint-Niklaas,,,NB-910021-2-fd78,NB-910026-7-4797,"BUILDING template"
626120,"SINT-NIKLAAS - FH01",Casinostraat,3,A,9100,Sint-Niklaas,,,NB-91003Ad756,NB-91003Ad756,"BUILDING template"
