LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
3969052;DELETE;11345893;DELETE;;
;;11345398;DELETE;;
;;1887533;DELETE;;
;;11345392;DELETE;;
;;11345391;DELETE;;
;;11345429;DELETE;;
;;11344993;DELETE;;
;;11344984;DELETE;;
;;11344982;DELETE;;
;;11345425;DELETE;;
;;11344749;DELETE;;
;;11345303;DELETE;;
;;11344985;DELETE;;
;;11345759;DELETE;;
;;11344995;DELETE;;
;;11345760;DELETE;;
;;11345430;DELETE;;
;;1882109;DELETE;;
;;11344998;DELETE;;
;;11345299;DELETE;;
;;11344987;DELETE;;
;;11344983;DELETE;;
;;11344994;DELETE;;
;;11345428;DELETE;;
;;11345395;DELETE;;
;;11098515;DELETE;;
;;11345758;DELETE;;
;;11345556;DELETE;;
;;10877989;DELETE;;
;;11344996;DELETE;;
;;1887532;DELETE;;
;;11345427;DELETE;;
;;10878017;DELETE;;
;;11345300;DELETE;;
;;11345298;DELETE;;
;;11345301;DELETE;;
;;11345397;DELETE;;
;;10877676;DELETE;;
;;11344781;DELETE;;
;;11344992;DELETE;;
;;11345394;DELETE;;
;;11344779;DELETE;;
;;11344986;DELETE;;
;;11345424;DELETE;;
;;11344988;DELETE;;
;;NB-30001A5315---0;DELETE;;
;;11345393;DELETE;;
;;11344991;DELETE;;
;;11344997;DELETE;;
;;11345423;DELETE;;
;;11345000;DELETE;;
;;1882108;DELETE;;
;;11345426;DELETE;;
;;11345396;DELETE;;
;;10878912;DELETE;;
;;1899576;DELETE;;
;;10980150;DELETE;;
;;11346085;DELETE;;
;;11344990;DELETE;;
;;11345390;DELETE;;
;;11344999;DELETE;;
;;10523142;DELETE;;
;;11345302;DELETE;;
;;11345399;DELETE;;
;;11344780;DELETE;;
