LU_Key;SSV_Action_LU;LAM_MK;SSV_Action;Opdrachtnummer
NB-8300195f04993---5;DELETE;;;
NB-8300679624c94---1;DELETE;;;
NB-830019e37970---0;DELETE;;;
NB-8300667f07470---2;DELETE;;;
NB-8300118bb816---4;DELETE;;;
NB-830047626b86---23;DELETE;;;
NB-8300686e4d793---2;DELETE;;;
NB-8300688350d56---0;DELETE;;;
NB-830067143d985---0;DELETE;;;
NB-83004d6e305---5;DELETE;;;
NB-830013321fc61---12;DELETE;;;
NB-8300694cb5588---0;DELETE;;;
NB-830011935300---14;DELETE;;;
NB-83002Ac730---0;DELETE;;;
NB-83006981b9b87---0;DELETE;;;
NB-8300129f9ce30---1;DELETE;;;
NB-8300765b3dd79---13;DELETE;;;
NB-8300667f07470---8;DELETE;;;
NB-83006819a5625---6;DELETE;;;
NB-830011935300---7;DELETE;;;
NB-8300694cb5588---4;DELETE;;;
NB-830072724b517---11;DELETE;;;
NB-8300113890c35---3;DELETE;;;
NB-8300784f43370---1;DELETE;;;
NB-830010806555---10;DELETE;;;
NB-83006645ca697---18;DELETE;;;
NB-8300654f42159---0;DELETE;;;
NB-8300697B8604---0;DELETE;;;
NB-830016c25325---16;DELETE;;;
NB-8300711fcfc45---20;DELETE;;;
NB-830065cf1278---1;DELETE;;;
NB-8300118bb816---2;DELETE;;;
NB-8300711fcfc45---14;DELETE;;;
NB-830033b7027---11;DELETE;;;
NB-83006645ca697---3;DELETE;;;
NB-830011935300---28;DELETE;;;
NB-830011935300---2;DELETE;;;
NB-8300247192867---0;DELETE;;;
NB-8300350b190---0;DELETE;;;
NB-830047626b86---21;DELETE;;;
NB-830067143d985---18;DELETE;;;
NB-8300667f07470---17;DELETE;;;
NB-8300684beab57---2;DELETE;;;
NB-830011fc8099---4;DELETE;;;
NB-830011935300---43;DELETE;;;
NB-830072724b517---0;DELETE;;;
NB-83006645ca697---10;DELETE;;;
NB-8300350b190---1;DELETE;;;
NB-8300113890c35---4;DELETE;;;
NB-8300199148a68---0;DELETE;;;
NB-8300742464d80---9;DELETE;;;
NB-830017af742---1;DELETE;;;
NB-8300686e4d793---10;DELETE;;;
NB-830067510a819---1;DELETE;;;
NB-830011fc8099---19;DELETE;;;
NB-830047626b86---22;DELETE;;;
NB-8300434cc38---0;DELETE;;;
NB-830011fc8099---30;DELETE;;;
NB-83002054c2469---2;DELETE;;;
NB-830047626b86---2;DELETE;;;
NB-830011fc8099---13;DELETE;;;
NB-83007062a1a60---6;DELETE;;;
NB-83006Bbc82---0;DELETE;;;
NB-8300199148a68---5;DELETE;;;
NB-830061affc41---0;DELETE;;;
NB-8300765b3dd79---9;DELETE;;;
NB-830013A9438---5;DELETE;;;
NB-830015911ce95---0;DELETE;;;
NB-830011935300---17;DELETE;;;
NB-8300118bb816---12;DELETE;;;
NB-8300904e463---1;DELETE;;;
NB-830011935300---26;DELETE;;;
NB-83001795a590---0;DELETE;;;
NB-83006645ca697---6;DELETE;;;
NB-83007401f3045---6;DELETE;;;
NB-8300784f43370---26;DELETE;;;
NB-83007628d2549---0;DELETE;;;
NB-8300129f9ce30---0;DELETE;;;
NB-8300784f43370---3;DELETE;;;
NB-830011fc8099---27;DELETE;;;
NB-830013A9438---6;DELETE;;;
NB-830030c5e89---0;DELETE;;;
NB-830015199467---12;DELETE;;;
NB-83002279bb248---0;DELETE;;;
NB-830050a4257---2;DELETE;;;
NB-83006a83093---1;DELETE;;;
NB-8300129f9ce30---3;DELETE;;;
NB-8300667f07470---5;DELETE;;;
NB-830067483f505---0;DELETE;;;
NB-830047626b86---10;DELETE;;;
NB-8300784f43370---8;DELETE;NB-830017af742;DELETE;
NB-830010ec792---4;DELETE;;;
NB-830016c25325---8;DELETE;;;
NB-83007334e5512---7;DELETE;;;
NB-83009486f16---5;DELETE;;;
NB-830011935300---12;DELETE;;;
NB-83004fbce11---1;DELETE;;;
NB-8300163cce317---0;DELETE;;;
NB-830011935300---56;DELETE;;;
NB-8300742464d80---5;DELETE;;;
NB-830072724b517---9;DELETE;;;
NB-83002878c6380---4;DELETE;;;
NB-8300800286190---0;DELETE;;;
NB-830070999a964---1;DELETE;;;
NB-830047626b86---15;DELETE;;;
NB-830047626b86---12;DELETE;;;
NB-8300350b190---6;DELETE;;;
NB-8300710c88908---0;DELETE;;;
NB-830017f98f88---5;DELETE;;;
NB-830015cfcc22---7;DELETE;;;
NB-8300765b3dd79---10;DELETE;;;
NB-83006645ca697---16;DELETE;;;
NB-830067510a819---5;DELETE;;;
NB-8300765b3dd79---4;DELETE;;;
NB-8300690583a25---5;DELETE;;;
NB-830010b06382---15;DELETE;;;
NB-83002835fb250---0;DELETE;;;
NB-830015cfcc22---3;DELETE;;;
NB-830013A9438---13;DELETE;;;
NB-830080568dd22---0;DELETE;;;
NB-8300784f43370---19;DELETE;;;
NB-8300690583a25---4;DELETE;;;
NB-830033b7027---10;DELETE;;;
NB-830012aa8057---0;DELETE;;;
NB-830011fc8099---31;DELETE;;;
NB-83007334e5512---12;DELETE;;;
NB-83007062a1a60---5;DELETE;;;
NB-830013321fc61---4;DELETE;;;
NB-830011935300---1;DELETE;;;
NB-830011fc8099---33;DELETE;;;
NB-8300694cb5588---1;DELETE;;;
NB-830025b35132---3;DELETE;;;
NB-83004641f54---4;DELETE;;;
NB-830010b06382---5;DELETE;;;
NB-830050a4257---25;DELETE;;;
NB-830013321fc61---16;DELETE;;;
NB-8300129f9ce30---2;DELETE;;;
NB-83007401f3045---2;DELETE;;;
NB-830016c25325---1;DELETE;;;
NB-830011935300---18;DELETE;;;
NB-83007742d573---12;DELETE;NB-83006645ca697;DELETE;
NB-8300791538f74---0;DELETE;;;
NB-830013A9438---9;DELETE;;;
NB-830016c25325---5;DELETE;;;
NB-8300686e4d793---3;DELETE;;;
NB-83001547b425---1;DELETE;;;
NB-8300722a62e04---1;DELETE;;;
NB-8300684beab57---1;DELETE;;;
NB-830033b7027---18;DELETE;;;
NB-830031952d748---6;DELETE;;;
NB-830011935300---4;DELETE;;;
NB-8300711fcfc45---38;DELETE;;;
NB-8300755158745---1;DELETE;;;
NB-83006645ca697---25;DELETE;;;
NB-8300350b190---4;DELETE;;;
NB-8300117b26468---1;DELETE;;;
NB-8300686e4d793---0;DELETE;;;
NB-830015cfcc22---8;DELETE;;;
NB-83007062a1a60---10;DELETE;;;
NB-83007628d2549---3;DELETE;;;
NB-8300667f07470---6;DELETE;;;
NB-83001675c2882---5;DELETE;;;
NB-830016fe7755---8;DELETE;;;
NB-83007334e5512---13;DELETE;;;
NB-830013321fc61---2;DELETE;;;
NB-83006645ca697---4;DELETE;;;
NB-830065cf1278---8;DELETE;;;
NB-83006645ca697---19;DELETE;;;
NB-8300711fcfc45---6;DELETE;;;
NB-8300651ab1a86---9;DELETE;;;
NB-830036a5726---0;DELETE;;;
NB-83006645ca697---13;DELETE;;;
NB-830020499d95---0;DELETE;;;
NB-83004641f54---9;DELETE;;;
NB-83002878c6380---1;DELETE;;;
NB-8300667f07470---16;DELETE;;;
NB-8300153d2f009---1;DELETE;;;
NB-830011fc8099---14;DELETE;;;
NB-83004641f54---0;DELETE;;;
NB-830047626b86---24;DELETE;;;
NB-83006645ca697---8;DELETE;;;
NB-8300667f07470---9;DELETE;;;
NB-830011ae3f87---0;DELETE;;;
NB-8300651ab1a86---2;DELETE;NB-830016aa907;DELETE;
NB-830016c25325---10;DELETE;;;
NB-830015ea7e99---0;DELETE;;;
NB-8300784f43370---16;DELETE;;;
NB-8300686e4d793---12;DELETE;;;
NB-83006645ca697---5;DELETE;;;
NB-830013A9438---4;DELETE;;;
NB-8300769d64d09---12;DELETE;;;
NB-830013A9438---14;DELETE;;;
NB-83004a36754---0;DELETE;;;
NB-830010806555---13;DELETE;;;
NB-8300784f43370---23;DELETE;;;
NB-830011fc8099---17;DELETE;;;
NB-8300253400105---0;DELETE;;;
NB-830031952d748---3;DELETE;;;
NB-83007334e5512---4;DELETE;;;
NB-8300697C6336---0;DELETE;;;
NB-830015cfcc22---11;DELETE;;;
NB-8300769d64d09---1;DELETE;;;
NB-8300769d64d09---8;DELETE;;;
NB-83007628d2549---1;DELETE;;;
NB-830025b35132---0;DELETE;;;
NB-830011935300---23;DELETE;;;
NB-8300742464d80---2;DELETE;;;
NB-8300784f43370---7;DELETE;;;
NB-8300784f43370---17;DELETE;NB-830015a7e72;DELETE;
NB-830011fc8099---32;DELETE;;;
NB-8300756392577---0;DELETE;;;
NB-8300796091223---0;DELETE;;;
NB-83007334e5512---11;DELETE;;;
NB-83007765a4a17---0;DELETE;;;
NB-830015199467---1;DELETE;;;
NB-8300784f43370---5;DELETE;;;
NB-8300651ab1a86---3;DELETE;;;
NB-830017f98f88---3;DELETE;;;
NB-8300769d64d09---9;DELETE;;;
NB-83006645ca697---15;DELETE;;;
NB-8300651ab1a86---8;DELETE;;;
NB-830011935300---46;DELETE;;;
NB-8300769d64d09---0;DELETE;;;
NB-8300350b190---7;DELETE;;;
NB-830011935300---31;DELETE;;;
NB-830017f98f88---2;DELETE;;;
NB-830067143d985---19;DELETE;;;
NB-830070999a964---0;DELETE;;;
NB-83009486f16---1;DELETE;;;
NB-830016c25325---9;DELETE;;;
NB-8300239eef634---1;DELETE;;;
NB-8300784f43370---4;DELETE;;;
NB-8300694cb5588---8;DELETE;;;
NB-830047626b86---0;DELETE;;;
NB-8300795e69c96---4;DELETE;;;
NB-8300227cab185---4;DELETE;;;
NB-83006645ca697---17;DELETE;;;
NB-8300692a88b54---2;DELETE;;;
NB-830015199467---16;DELETE;;;
NB-830033b7027---3;DELETE;;;
NB-830010b06382---7;DELETE;;;
NB-8300711fcfc45---26;DELETE;;;
NB-830016cb6855---5;DELETE;;;
NB-830011fc8099---28;DELETE;;;
NB-8300679624c94---5;DELETE;;;
NB-8300679624c94---3;DELETE;;;
NB-8300692a88b54---6;DELETE;;;
NB-8300648Af046---0;DELETE;;;
NB-830016fe7755---6;DELETE;;;
NB-830067510a819---7;DELETE;;;
NB-8300307f36166---0;DELETE;;;
NB-8300448ad48---0;DELETE;;;
NB-8300784f43370---15;DELETE;;;
NB-8300199148a68---4;DELETE;;;
NB-8300686e4d793---9;DELETE;;;
NB-830016fe7755---9;DELETE;;;
NB-830016fe7755---7;DELETE;;;
NB-830015199467---3;DELETE;;;
NB-8300769d64d09---13;DELETE;;;
NB-8300692a88b54---0;DELETE;;;
NB-83007319b940---0;DELETE;;;
NB-830067510a819---0;DELETE;;;
NB-830010ec792---5;DELETE;;;
NB-8300765b3dd79---11;DELETE;;;
NB-8300904e463---9;DELETE;;;
NB-83007852ec266---0;DELETE;;;
NB-83006819a5625---5;DELETE;;;
NB-83007334e5512---9;DELETE;;;
NB-83006819a5625---2;DELETE;;;
NB-8300904e463---7;DELETE;;;
NB-83004d6e305---8;DELETE;;;
NB-8300742464d80---3;DELETE;;;
NB-830015199467---4;DELETE;;;
NB-830016c25325---18;DELETE;;;
NB-8300711fcfc45---7;DELETE;;;
NB-83007031cf065---0;DELETE;;;
NB-8300795e69c96---7;DELETE;;;
NB-8300113890c35---1;DELETE;;;
NB-8300684beab57---3;DELETE;;;
NB-83007062a1a60---8;DELETE;;;
NB-830031952d748---1;DELETE;;;
NB-8300753d1ee85---0;DELETE;;;
NB-830067143d985---15;DELETE;;;
NB-830011fc8099---11;DELETE;;;
NB-8300117b26468---0;DELETE;;;
NB-830050a4257---24;DELETE;;;
NB-83007742d573---1;DELETE;;;
NB-830010b06382---1;DELETE;;;
NB-830033b7027---12;DELETE;;;
NB-83004641f54---3;DELETE;;;
NB-8300742464d80---0;DELETE;;;
NB-8300189c04c87---0;DELETE;;;
NB-83007401f3045---1;DELETE;;;
NB-83007062a1a60---2;DELETE;;;
NB-830072724b517---1;DELETE;;;
NB-830011fc8099---8;DELETE;;;
NB-830015199467---13;DELETE;;;
NB-83007401f3045---3;DELETE;;;
NB-830033b7027---8;DELETE;;;
NB-8300711fcfc45---32;DELETE;;;
NB-83002279bb248---4;DELETE;;;
NB-8300711fcfc45---37;DELETE;;;
NB-830072724b517---5;DELETE;;;
NB-8300651ab1a86---13;DELETE;;;
NB-8300765b3dd79---5;DELETE;;;
NB-83009486f16---9;DELETE;;;
NB-8300667f07470---4;DELETE;;;
NB-8300726cc2682---0;DELETE;;;
NB-830015cfcc22---1;DELETE;;;
NB-8300711fcfc45---43;DELETE;;;
NB-8300745953465---0;DELETE;;;
NB-830015199467---7;DELETE;;;
NB-83002878c6380---3;DELETE;;;
NB-830067143d985---14;DELETE;;;
NB-83004d6e305---4;DELETE;;;
NB-830031952d748---2;DELETE;;;
NB-8300711fcfc45---33;DELETE;;;
NB-830072724b517---3;DELETE;;;
NB-83002878c6380---9;DELETE;;;
NB-830011fc8099---23;DELETE;;;
NB-8300742464d80---4;DELETE;;;
NB-830033b7027---9;DELETE;;;
NB-8300904e463---11;DELETE;;;
NB-8300227cab185---2;DELETE;;;
NB-830033b7027---5;DELETE;;;
NB-830013A9438---15;DELETE;;;
NB-830010b06382---6;DELETE;;;
NB-830013A9438---10;DELETE;;;
NB-830030914c193---0;DELETE;;;
NB-830010b06382---2;DELETE;;;
NB-830072724b517---2;DELETE;;;
NB-8300904e463---0;DELETE;;;
NB-830010b06382---10;DELETE;;;
NB-83007401f3045---9;DELETE;;;
NB-8300117b26468---5;DELETE;;;
NB-8300904e463---6;DELETE;;;
NB-830011fc8099---34;DELETE;;;
NB-8300129f9ce30---4;DELETE;;;
NB-83007334e5512---5;DELETE;;;
NB-830050a4257---16;DELETE;;;
NB-83007742d573---4;DELETE;;;
NB-830013A9438---8;DELETE;;;
NB-830067510a819---4;DELETE;;;
NB-8300315b913---1;DELETE;;;
NB-83002878c6380---8;DELETE;;;
NB-83009486f16---8;DELETE;;;
NB-830047626b86---9;DELETE;;;
NB-830067143d985---8;DELETE;;;
NB-83007742d573---6;DELETE;;;
NB-830011935300---53;DELETE;;;
NB-83007628d2549---6;DELETE;;;
NB-830050a4257---15;DELETE;;;
NB-8300227cab185---1;DELETE;;;
NB-830011935300---3;DELETE;;;
NB-830067510a819---13;DELETE;;;
NB-8300794c31966---0;DELETE;;;
NB-8300711fcfc45---22;DELETE;;;
NB-8300651ab1a86---11;DELETE;;;
NB-8300303ae2e12---0;DELETE;;;
NB-83004fbce11---6;DELETE;;;
NB-830016c25325---0;DELETE;;;
NB-830047626b86---13;DELETE;;;
NB-830016fe7755---2;DELETE;;;
NB-830047626b86---20;DELETE;;;
NB-830077878ec48---0;DELETE;;;
NB-8300651ab1a86---14;DELETE;;;
NB-830067143d985---12;DELETE;;;
NB-83002054c2469---3;DELETE;;;
NB-830072724b517---6;DELETE;;;
NB-83004fbce11---2;DELETE;;;
NB-830010c0c982---0;DELETE;;;
NB-830011935300---55;DELETE;;;
NB-83007334e5512---0;DELETE;;;
NB-830025b35132---1;DELETE;;;
NB-8300651ab1a86---6;DELETE;;;
NB-8300199148a68---1;DELETE;;;
NB-8300667f07470---7;DELETE;;;
NB-830025b35132---2;DELETE;;;
NB-83004641f54---8;DELETE;;;
NB-8300749adfa56---0;DELETE;;;
NB-830011fc8099---18;DELETE;;;
NB-83006819a5625---0;DELETE;;;
NB-8300350b190---5;DELETE;;;
NB-830047626b86---4;DELETE;;;
NB-830010806555---8;DELETE;;;
NB-830010b06382---0;DELETE;;;
NB-830047626b86---11;DELETE;;;
NB-8300135456a89---0;DELETE;;;
NB-830010c6a594---0;DELETE;;;
NB-8300118bb816---10;DELETE;;;
NB-8300177205d78---0;DELETE;;;
NB-8300323748476---0;DELETE;;;
NB-830014370d89---0;DELETE;;;
NB-8300795e69c96---6;DELETE;;;
NB-8300195f04993---4;DELETE;;;
NB-830016cb6855---4;DELETE;;;
NB-830016fe7755---1;DELETE;;;
NB-8300711fcfc45---0;DELETE;;;
NB-8300784f43370---12;DELETE;;;
NB-8300694cb5588---7;DELETE;;;
NB-8300679624c94---0;DELETE;;;
NB-8300237f5ac97---0;DELETE;;;
NB-8300754f20014---0;DELETE;;;
NB-8300679624c94---4;DELETE;;;
NB-8300273337312---0;DELETE;;;
NB-8300667f07470---13;DELETE;;;
NB-830011fc8099---26;DELETE;;;
NB-83004d6e305---9;DELETE;;;
NB-8300784f43370---21;DELETE;;;
NB-830016cb6855---2;DELETE;;;
NB-83002279bb248---2;DELETE;;;
NB-83004fbce11---7;DELETE;;;
NB-8300652d38c15---0;DELETE;;;
NB-830010806555---4;DELETE;;;
NB-830065828c104---0;DELETE;;;
NB-830050a4257---20;DELETE;;;
NB-8300795e69c96---0;DELETE;;;
NB-83002f75086---0;DELETE;;;
NB-830033b7027---14;DELETE;;;
NB-830010806555---7;DELETE;;;
NB-8300694cb5588---9;DELETE;;;
NB-83004641f54---5;DELETE;;;
NB-8300125d80d96---0;DELETE;;;
NB-830067143d985---11;DELETE;;;
NB-830031952d748---0;DELETE;;;
NB-8300784f43370---24;DELETE;;;
NB-830016fe7755---10;DELETE;;;
NB-8300686e4d793---8;DELETE;;;
NB-83002656d1810---0;DELETE;;;
NB-8300788dbb282---0;DELETE;;;
NB-8300686e4d793---1;DELETE;;;
NB-8300787af2839---0;DELETE;;;
NB-830011935300---19;DELETE;;;
NB-8300684beab57---6;DELETE;;;
NB-8300153d2f009---4;DELETE;;;
NB-83007742d573---11;DELETE;;;
NB-8300113890c35---5;DELETE;;;
NB-830017f98f88---1;DELETE;;;
NB-830011935300---41;DELETE;;;
NB-83001675c2882---4;DELETE;;;
NB-830016c25325---15;DELETE;;;
NB-8300784f43370---27;DELETE;;;
NB-830033194c408---0;DELETE;;;
NB-830010ec792---3;DELETE;;;
NB-83007742d573---7;DELETE;;;
NB-8300695f3fb20---0;DELETE;;;
NB-8300118bb816---14;DELETE;;;
NB-83004fbce11---0;DELETE;;;
NB-830011935300---57;DELETE;;;
NB-83007927abd07---0;DELETE;;;
NB-83009486f16---0;DELETE;;;
NB-8300711fcfc45---31;DELETE;;;
NB-830011935300---11;DELETE;;;
NB-83004d6e305---0;DELETE;;;
NB-830016cb6855---3;DELETE;;;
NB-830010806555---2;DELETE;;;
NB-830011fc8099---0;DELETE;;;
NB-830010ec792---2;DELETE;;;
NB-8300795e69c96---3;DELETE;;;
NB-830018fee665---5;DELETE;;;
