LAM_MK;SSV_Action;LU_Key;SSV_Action_LU
398337;DELETE;11090078;DELETE
3048234;DELETE;1576389;DELETE
3050731;DELETE;1595309;DELETE
3050735;DELETE;11089951;DELETE
3944100;DELETE;1596327;DELETE
4084113;DELETE;11089640;DELETE
4755030;DELETE;NB-280036021573---1;NEW
4756710;DELETE;11090125;DELETE
4757279;DELETE;11089868;DELETE
4758396;DELETE;11090077;DELETE
4762087;DELETE;11089870;DELETE
4762094;DELETE;10446964;DELETE
4762138;DELETE;NB-28008B5a33---4;NEW
4763086;DELETE;NB-2800108f5a803---1;NEW
4764813;DELETE;11231527;DELETE
4766028;DELETE;11089859;DELETE
5322081;DELETE;11089897;DELETE
5394334;DELETE;NB-28001919ea67---1;NEW
5839175;DELETE;1574187;DELETE
5839177;DELETE;11089286;DELETE
6191588;DELETE;11089246;DELETE
6388351;DELETE;NB-28001cbbc49---0;NEW
6463001;DELETE;10446761;DELETE
6524295;DELETE;11089871;DELETE
NB-28001010c6c20;NEW;11089280;DELETE
NB-2800106a22f50;NEW;1591690;DELETE
NB-28003Af375;NEW;1590415;DELETE
NB-280077Bae44;NEW;NB-28005235d853---0;NEW
;;10446963;DELETE
;;11089949;DELETE
;;11089538;DELETE
;;1573495;DELETE
;;10448078;DELETE
;;11089247;DELETE
;;11089341;DELETE
;;11089382;DELETE
;;1591511;DELETE
;;1587027;DELETE
;;1592126;DELETE
;;NB-28008B5a33---3;NEW
;;NB-28008A9a70---2;NEW
;;11231522;DELETE
;;10448082;DELETE
;;11089344;DELETE
;;1596319;DELETE
;;11231502;DELETE
;;11089654;DELETE
;;11089950;DELETE
;;NB-280040B7e46---1;NEW
;;NB-28001cbbc49---1;NEW
;;1564292;DELETE
;;1564284;DELETE
;;NB-280010ac0820---0;NEW
;;1595806;DELETE
;;11089751;DELETE
;;1557535;DELETE
;;1564280;DELETE
;;11089842;DELETE
;;1596324;DELETE
;;NB-28008cda757---0;NEW
;;NB-2800108f5a803---0;NEW
;;NB-2800196b4236---0;NEW
;;11089336;DELETE
;;1560363;DELETE
;;NB-28004b56e99---1;NEW
;;NB-28004b56e99---0;NEW
;;11090066;DELETE
;;11089746;DELETE
;;NB-28003Af375---1;NEW
;;10448081;DELETE
;;1582900;DELETE
;;1572034;DELETE
;;NB-280040B7e46---0;NEW
;;1592141;DELETE
;;1576399;DELETE
;;NB-28003Af375---0;NEW
;;1569789;DELETE
;;11090065;DELETE
;;11089748;DELETE
;;NB-28001919ea67---0;NEW
