LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
4117835;DELETE;2582533;DELETE;;
NB-11402238595;DELETE;2575418;DELETE;;
NB-11402484170;DELETE;10333423;DELETE;;
;;2575419;DELETE;;
;;2575437;DELETE;;
;;2582521;DELETE;;
;;2575428;DELETE;;
;;2582522;DELETE;;
;;2575438;DELETE;;
;;10333421;DELETE;;
;;2575436;DELETE;;
;;2582526;DELETE;;
;;2575444;DELETE;;
;;2575412;DELETE;;
;;2575445;DELETE;;
;;2582536;DELETE;;
;;2582518;DELETE;;
;;2582534;DELETE;;
;;10479064;DELETE;;
;;10333422;DELETE;;
;;2582520;DELETE;;
;;2582525;DELETE;;
;;2575430;DELETE;;
;;2582479;DELETE;;
;;2582541;DELETE;;
;;2575432;DELETE;;
;;2582517;DELETE;;
;;2582538;DELETE;;
;;2575427;DELETE;;
;;2582482;DELETE;;
;;2575426;DELETE;;
;;2575414;DELETE;;
;;2575443;DELETE;;
;;2575415;DELETE;;
;;2582532;DELETE;;
;;2582524;DELETE;;
;;2582531;DELETE;;
;;2582530;DELETE;;
;;2575431;DELETE;;
;;2575420;DELETE;;
;;2575355;DELETE;;
;;2582528;DELETE;;
;;2582542;DELETE;;
;;2575447;DELETE;;
;;2582483;DELETE;;
;;2575422;DELETE;;
;;2575446;DELETE;;
;;2575423;DELETE;;
;;2575416;DELETE;;
;;2575440;DELETE;;
;;2575417;DELETE;;
;;2582535;DELETE;;
;;2575439;DELETE;;
;;2582540;DELETE;;
;;2575425;DELETE;;
;;2582537;DELETE;;
;;2582529;DELETE;;
;;2582539;DELETE;;
;;2575435;DELETE;;
;;2575441;DELETE;;
;;2575424;DELETE;;
;;2582519;DELETE;;
;;2575357;DELETE;;
;;2575413;DELETE;;
;;2575429;DELETE;;
;;2582523;DELETE;;
;;10333420;DELETE;;
;;2582481;DELETE;;
;;2582516;DELETE;;
;;10333426;DELETE;;
;;2575421;DELETE;;
;;2582527;DELETE;;
;;2575434;DELETE;;
;;2575442;DELETE;;
;;2575356;DELETE;;
;;11388951;DELETE;;
;;10333424;DELETE;;
;;2582480;DELETE;;
;;2575433;DELETE;;
;;10333425;DELETE;;
