LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
NB-35005C87134;DELETE;;;;
NB-350011873884;DELETE;;;;
NB-350014961292;DELETE;;;;
NB-35002615716;DELETE;;;;
NB-35005D67099;DELETE;;;;
NB-35001421571;DELETE;;;;
NB-35007B20172;DELETE;;;;
NB-3500100A10319;DELETE;;;;
NB-35003896579;DELETE;;;;
NB-350012324777;DELETE;;;;
NB-3500716998;DELETE;;;;
NB-35007A41832;DELETE;;;;
NB-3500327669;DELETE;;;;
NB-35009A07511;DELETE;;;;
NB-35003B74596;DELETE;;;;
NB-35004082507;DELETE;;;;
NB-350026B16012;DELETE;;;;
NB-35004328365;DELETE;;;;
NB-35002561920;DELETE;;;;
NB-35003537774;DELETE;;;;
NB-35003616364;DELETE;;;;
NB-35009511175;DELETE;;;;
NB-35002353782;DELETE;;;;
NB-35001488374;DELETE;;;;
NB-350026A97903;DELETE;;;;
NB-3500125074;DELETE;;;;
NB-3500494600;DELETE;;;;
NB-3500845742;DELETE;;;;
NB-35001687668;DELETE;;;;
NB-35001797003;DELETE;;;;
NB-35002478813;DELETE;;;;
NB-35001055290;DELETE;;;;
NB-35001599511;DELETE;;;;
NB-3500100B51293;DELETE;;;;
NB-35001965620;DELETE;;;;
NB-35002141237;DELETE;;;;
NB-35007A38115;DELETE;;;;
NB-35002227110;DELETE;;;;
NB-35003359725;DELETE;;;;
NB-35007543719;DELETE;;;;
NB-35004542998;DELETE;;;;
NB-35002224758;DELETE;;;;
NB-35007539410;DELETE;;;;
NB-35001112127;DELETE;;;;
NB-350021A22862;DELETE;;;;
NB-35007939115;DELETE;;;;
NB-3500342374;DELETE;;;;
NB-35007498280;DELETE;;;;
NB-350010047681;DELETE;;;;
NB-350014169471;DELETE;;;;
NB-350014529411;DELETE;;;;
NB-35004746068;DELETE;;;;
NB-350012054728;DELETE;;;;
NB-35005B88892;DELETE;;;;
NB-35002059137;DELETE;;;;
NB-35001695972;DELETE;;;;
NB-3500305116;DELETE;;;;
NB-35005585628;DELETE;;;;
NB-3500356824;DELETE;;;;
NB-3500100C96322;DELETE;;;;
NB-35006487411;DELETE;;;;
NB-35001346995;DELETE;;;;
NB-350015370089;DELETE;;;;
NB-35004034903;DELETE;;;;
NB-3500869474;DELETE;;;;
NB-35003915800;DELETE;;;;
NB-3500600827;DELETE;;;;
NB-35003902539;DELETE;;;;
NB-35004795086;DELETE;;;;
NB-35007D66491;DELETE;;;;
NB-350028A55059;DELETE;;;;
NB-35007105487;DELETE;;;;
NB-35007C79202;DELETE;;;;
NB-350013798107;DELETE;;;;
