File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;adres
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450435;20200116090101;904581;41630000;13778;Ijzerenleen;67;;2800;Mechelen;;157673,7562;190645,5235;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11274351;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;NL;MDU;Ijzerenleen67
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450437;20200116090102;904583;41630000;13778;Ijzerenleen;37;;2800;Mechelen;;157716,7942;190709,7894;;Y;NA;4;18;Unknown;Unknown;;None;;;;;;;;;;;;2;11274345;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;NL;MDU;Ijzerenleen37
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450460;20200116090103;904925;41630000;13778;Ijzerenleen;23;;2800;Mechelen;;157739,1352;190748,6031;;Y;NA;4;15;Unknown;Unknown;;None;;;;;;;;;;;;3;11274342;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;1;0;3;NL;MDU;Ijzerenleen23
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450460;20200116090103;904925;41630000;13778;Ijzerenleen;23;;2800;Mechelen;;157739,1352;190748,6031;;Y;NA;4;15;Unknown;Unknown;;None;;;;;;;;;;;;2;11274341;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;1;0;3;NL;MDU;Ijzerenleen23
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450490;20200116090104;905271;41630000;13778;Ijzerenleen;16;;2800;Mechelen;;157711,4511;190790,1811;;Y;NA;4;12;Unknown;Unknown;;None;;;;;;;;;;;;2;11274339;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;NL;MDU;Ijzerenleen16
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450491;20200116090104;905272;41630000;13778;Ijzerenleen;18;;2800;Mechelen;;157707,4297;190787,8501;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11274340;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;NL;MDU;Ijzerenleen18
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450492;20200116090104;905273;41630000;13778;Ijzerenleen;4;;2800;Mechelen;;157726,4532;190823,4152;;Y;NA;3;16;Unknown;Unknown;;None;;;;;;;;;;;;5;11274335;;LU;1;;;;;;;;;;;;;;;;;;;;;;5;1;0;6;NL;MDU;Ijzerenleen4
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450492;20200116090104;905273;41630000;13778;Ijzerenleen;4;;2800;Mechelen;;157726,4532;190823,4152;;Y;NA;3;16;Unknown;Unknown;;None;;;;;;;;;;;;6;11274336;;LU;1;;;;;;;;;;;;;;;;;;;;;;5;1;0;6;NL;MDU;Ijzerenleen4
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;25895680;20200116090147;905663;41630000;22017;Nauwstraat;3;;2800;Mechelen;;157633;190677;;Y;NA;2;5;Unknown;Unknown;;None;;;;;;;;;;;;2;11274328;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;0;1;3;NL;MDU;Nauwstraat3
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;25895680;20200116090147;905663;41630000;22017;Nauwstraat;3;;2800;Mechelen;;157633;190677;;Y;NA;2;5;Unknown;Unknown;;None;;;;;;;;;;;;3;11274329;;SU;1;;;;;;;;;;;;;;;;;;;;;;2;0;1;3;NL;MDU;Nauwstraat3
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;25895680;20200116090147;905663;41630000;22017;Nauwstraat;3;;2800;Mechelen;;157633;190677;;Y;NA;2;5;Unknown;Unknown;;None;;;;;;;;;;;;1;11274327;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;0;1;3;NL;MDU;Nauwstraat3
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;431734;20200116090128;3037615;41630000;13778;Ijzerenleen;8;;2800;Mechelen;;157720,9214;190810,0816;;Y;NA;4;14;Unknown;Unknown;;None;;;;;;;;;;;;2;11274337;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;NL;MDU;Ijzerenleen8
