File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;7;11306977;5670863;BU;1;'1;'1;';'0;';;;;;;B;BOWN;';SSV_IMPORT;'28/02/2020 14:22:31;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;1;11076535;5670864;LU;1;'101;'101;';'1;';;;;;;B;BOWN;';IFH_BATCH;'28/02/2020 14:22:53;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;2;11076536;5670866;LU;1;'201;'201;';'2;';;;;;;B;BOWN;';IFH_BATCH;'28/02/2020 14:22:55;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;3;11076537;5670867;LU;1;'301;'301;';'3;';;;;;;B;BOWN;';IFH_BATCH;'28/02/2020 14:22:57;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;4;11076538;5670868;LU;1;'401;'401;';'4;';;;;;;B;BOWN;';IFH_BATCH;'28/02/2020 14:22:59;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;5;11076539;5670869;LU;1;'501;'501;';'5;';;;;;;B;BOWN;';IFH_BATCH;'28/02/2020 14:23:00;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;6;11076540;5670870;LU;1;'601;'601;';'6;';;;;;;B;BOWN;';IFH_BATCH;'28/02/2020 14:23:02;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;8;11306978;5670871;SU;1;'SU1;'SU1;';'0;';;;;;;B;BOWN;';SSV_IMPORT;'28/02/2020 14:22:44;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196641;'20200531163144;59272;'1630000;'4368;Adriaan Brouwerstraat;'3;';2000;Antwerpen;;'152336,549;'213085,22;';Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;';IFH_BATCH;'28/02/2020 13:30:59;;Y;;;;'28/02/2020 13:16:43;9;11306979;5670872;SU;1;'SU2;'SU2;';'0;';;;;;;B;BOWN;';SSV_IMPORT;'28/02/2020 14:22:46;;Y;;;;'28/02/2020 13:16:43
;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612631;'20200531163214;1088922;'1630000;'4368;Adriaan Brouwerstraat;'5;';2000;Antwerpen;;'152349,646;'213082,719;';N;MON;3;9;Unknown;Unknown;;None;;;';IFH_BATCH;'28/02/2020 13:30:47;;Y;;;;'28/02/2020 13:16:43;1;1801369;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'28/02/2020 13:16:43
