File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;1;11377914;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/04/2020 08:37:58;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;2;11459111;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:06;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;3;11459112;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:10;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;4;11459113;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:13;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;5;11459114;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:16;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;6;11459115;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:20;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;7;11459116;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:23;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;8;11459117;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:26;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;9;11459118;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:29;;Y;;;;'08/07/2020 09:26:04
;;;Zoning;20611454;'20200417184239;W04-C-Evere-FH04;20611454;'20200417184239;W04-C-Evere-FH04;30611;FTTH-Cu;37352669;'20200708185656;'Herlevingslaan 23-25;;;;;;;33478011;'20200708185656;829153;'890600;'16719;Avenue du Renouveau;'25;';1140;Evere;;'152514,131;'174180,056;';N;IRREG;8;4;Unknown;Unknown;;None;;;';IFH_BATCH;'08/07/2020 10:03:18;;Y;;;;'08/07/2020 09:26:04;10;11459119;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'08/07/2020 13:02:32;;Y;;;;'08/07/2020 09:26:04
