File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;768680;'20200402003630;88238;'37370000;'28299;'s-Meiersstraat;'1;';3000;Leuven;;'173498,343;'174235,623;';Y;NA;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'01/04/2020 18:39:14;;Y;;;;'01/04/2020 17:40:25;1;1881750;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;8393351;'20200402003640;6208146;'37370000;'28299;'s-Meiersstraat;'2;';3000;Leuven;;'173468,39;'174219,133;';N;IRREG;2;;Unknown;Unknown;;None;;;';IFH_BATCH;'01/04/2020 18:39:30;;Y;;;;'01/04/2020 17:40:25;1;10980680;;BU;1;';';';';';N;;;;;;;';;';;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;761717;'20200402003639;3997143;'37370000;'28299;'s-Meiersstraat;'3;';3000;Leuven;;'173494,912;'174231,308;';N;IRREG;3;3;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'01/04/2020 18:39:20;;Y;;;;'01/04/2020 17:40:25;1;1909828;4969721;BU;1;'1;';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;761717;'20200402003639;3997143;'37370000;'28299;'s-Meiersstraat;'3;';3000;Leuven;;'173494,912;'174231,308;';N;IRREG;3;3;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'01/04/2020 18:39:20;;Y;;;;'01/04/2020 17:40:25;2;1909829;4501552;LU;1;'101;'101;';'1;';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';IFH_BATCH;'02/04/2020 00:03:36;;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;761717;'20200402003639;3997143;'37370000;'28299;'s-Meiersstraat;'3;';3000;Leuven;;'173494,912;'174231,308;';N;IRREG;3;3;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'01/04/2020 18:39:20;;Y;;;;'01/04/2020 17:40:25;3;11346421;4544158;LU;1;'102;'102;';'1;';;;;;;;;';SSV_IMPORT;'02/04/2020 00:03:05;;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;761717;'20200402003639;3997143;'37370000;'28299;'s-Meiersstraat;'3;';3000;Leuven;;'173494,912;'174231,308;';N;IRREG;3;3;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'01/04/2020 18:39:20;;Y;;;;'01/04/2020 17:40:25;4;11346422;4519127;LU;1;'201;'201;';'2;';;;;;;;;';SSV_IMPORT;'02/04/2020 00:03:05;;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;761717;'20200402003639;3997143;'37370000;'28299;'s-Meiersstraat;'3;';3000;Leuven;;'173494,912;'174231,308;';N;IRREG;3;3;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'01/04/2020 18:39:20;;Y;;;;'01/04/2020 17:40:25;5;11346423;4507487;LU;1;'202;'202;';'2;';;;;;;;;';SSV_IMPORT;'02/04/2020 00:03:06;;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;753930;'20200402003617;3043532;'37370000;'28299;'s-Meiersstraat;'5;';3000;Leuven;;'173491,601;'174220,539;';N;IRREG;3;4;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'01/04/2020 18:39:23;;Y;;;;'01/04/2020 17:40:25;1;1922176;;BU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';IFH_BATCH;'02/04/2020 00:03:39;;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;753930;'20200402003617;3043532;'37370000;'28299;'s-Meiersstraat;'5;';3000;Leuven;;'173491,601;'174220,539;';N;IRREG;3;4;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'01/04/2020 18:39:23;;Y;;;;'01/04/2020 17:40:25;2;10877317;;BU;1;';';';';';;;;;;;;';;';;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;753931;'20200402003638;3043533;'37370000;'28299;'s-Meiersstraat;'7;';3000;Leuven;;'173485,718;'174209,345;';N;IRREG;4;3;Unknown;Unknown;;None;;;';IFH_BATCH;'01/04/2020 18:39:25;;Y;;;;'01/04/2020 17:40:25;1;1930984;;BU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;764077;'20200402003628;4790650;'37370000;'28299;'s-Meiersstraat;'9;';3000;Leuven;;'173481,375;'174202,412;';N;IRREG;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'01/04/2020 18:39:28;;Y;;;;'01/04/2020 17:40:25;1;1937008;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;764077;'20200402003628;4790650;'37370000;'28299;'s-Meiersstraat;'9;';3000;Leuven;;'173481,375;'174202,412;';N;IRREG;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'01/04/2020 18:39:28;;Y;;;;'01/04/2020 17:40:25;2;10877337;;LU;1;';';';';';;;;;;;;';;';;Y;;;;'01/04/2020 17:40:25
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;764077;'20200402003628;4790650;'37370000;'28299;'s-Meiersstraat;'9;';3000;Leuven;;'173481,375;'174202,412;';N;IRREG;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'01/04/2020 18:39:28;;Y;;;;'01/04/2020 17:40:25;3;10877338;;LU;1;';';';';';;;;;;;;';;';;Y;;;;'01/04/2020 17:40:25
