File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;1;11192084;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:53;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;2;11192085;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:54;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;3;11192086;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:55;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;4;11192087;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:56;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;5;11192088;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:56;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;6;11192089;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:57;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;7;11192090;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:58;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;8;11192091;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:58;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;9;11192092;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:52:59;;Y;;;;'30/10/2019 08:41:49
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;21105207;'20191101010355;1739128;'1630000;'1449;Beddenstraat;'2;';2000;Antwerpen;;'152408,973;'212105,462;';Y;NA;9;4;Unknown;Unknown;;None;;;';SSV_IMPORT;'30/10/2019 08:52:52;;Y;;;;'30/10/2019 08:41:49;10;11192093;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/10/2019 08:53:00;;Y;;;;'30/10/2019 08:41:49
