File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;401897;'20200128084245;701267;'26300000;'528;Alverbergstraat;'1;';3500;Hasselt;;'217004,847;'181016,267;';Y;IRREG;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'13/11/2019 08:24:19;;Y;;;;'13/11/2019 08:19:33;1;1152979;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;402023;'20191113094655;701614;'26300000;'556;Ambachtsschoolstraat;'1;';3500;Hasselt;;'217069,652;'180796,28;';N;IRREG;2;4;Unknown;Unknown;;None;;;';IFH_BATCH;'13/11/2019 08:26:41;;Y;;;;'13/11/2019 08:19:33;1;1152907;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;10522450;'20191113094714;2408077;'26300000;'556;Ambachtsschoolstraat;'2;';3500;Hasselt;;'217082,034;'180770,42;';N;GLASS;3;0;Unknown;Unknown;C - Precabled ONTP;None;;;';IFH_BATCH;'13/11/2019 08:30:08;;Y;;;;'13/11/2019 08:19:33;1;1164635;5507639;LU;1;'1;'1;';'0;';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';IFH_BATCH;'13/11/2019 09:13:42;;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;10522450;'20191113094714;2408077;'26300000;'556;Ambachtsschoolstraat;'2;';3500;Hasselt;;'217082,034;'180770,42;';N;GLASS;3;0;Unknown;Unknown;C - Precabled ONTP;None;;;';IFH_BATCH;'13/11/2019 08:30:08;;Y;;;;'13/11/2019 08:19:33;2;10733054;5507640;LU;1;'101;'101;';'1;';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';IFH_BATCH;'13/11/2019 09:13:44;;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;10522450;'20191113094714;2408077;'26300000;'556;Ambachtsschoolstraat;'2;';3500;Hasselt;;'217082,034;'180770,42;';N;GLASS;3;0;Unknown;Unknown;C - Precabled ONTP;None;;;';IFH_BATCH;'13/11/2019 08:30:08;;Y;;;;'13/11/2019 08:19:33;3;10733055;5507641;LU;1;'201;'201;';'2;';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';IFH_BATCH;'13/11/2019 09:13:45;;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;381787;'20200115154936;2408078;'26300000;'556;Ambachtsschoolstraat;'3;';3500;Hasselt;;'217055,3;'180807,914;';N;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'13/11/2019 08:30:10;;Y;;;;'13/11/2019 08:19:33;1;1171520;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;402020;'20191113094654;701611;'26300000;'556;Ambachtsschoolstraat;'4;';3500;Hasselt;;'217074,394;'180777,327;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'13/11/2019 08:26:33;;Y;;;;'13/11/2019 08:19:33;1;1176638;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;25947672;'20200117154530;'Ambachtsschoolstraat 5-5a-7-9;;;;;;;398000;'20200116081514;4888731;'26300000;'556;Ambachtsschoolstraat;'5;';3500;Hasselt;;'217053,318;'180827,095;';N;IRREG;1;0;Unknown;Unknown;;None;;;';IFH_BATCH;'13/11/2019 09:01:38;;Y;;;;'13/11/2019 08:19:33;1;1180019;;LU;1;';';';';';Y;#A.GV/NR4 WONING/K4-S.OG/4/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;25947672;'20200117154530;'Ambachtsschoolstraat 5-5a-7-9;;;;;;;396095;'20200116081514;4253694;'26300000;'556;Ambachtsschoolstraat;'5;'A;3500;Hasselt;;'217046,809;'180830,41;';N;IRREG;1;0;Unknown;Unknown;;None;;;';IFH_BATCH;'13/11/2019 08:59:02;;Y;;;;'13/11/2019 08:19:33;1;1180018;;LU;1;';';';';';Y;#A.GV/NR3 WONING/K3-S.OG/3/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;Y;;;;'13/11/2019 08:19:33
;;;Zoning;10432739;'20200118151608;W03-D-Hasselt-FH04;10432739;'20200118151608;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;381788;'20191113094615;2408079;'26300000;'556;Ambachtsschoolstraat;'6;';3500;Hasselt;;'217065,137;'180781,986;';Y;NA;4;4;Unknown;Unknown;;None;;;';IFH_BATCH;'13/11/2019 08:30:13;;Y;;;;'13/11/2019 08:19:33;1;1183677;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'13/11/2019 08:19:33
