File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;8355593;'20200515142234;5602996;'41630000;'31097;'t Veer;'15;';2800;Mechelen;;'157260,003;'190978,698;';Y;NA;3;18;Unknown;Unknown;;None;;;';IFH_BATCH;'15/05/2020 12:30:56;;Y;;;;'15/05/2020 12:01:27;1;1564552;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200515142305;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';Y;NA;4;22;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'15/05/2020 12:30:58;;Y;;;;'15/05/2020 12:01:27;5;11091150;6021137;BU;1;'1;'1;';'0;';;;;;;;;';IFH_BATCH;'15/05/2020 13:31:32;;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200515142305;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';Y;NA;4;22;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'15/05/2020 12:30:58;;Y;;;;'15/05/2020 12:01:27;1;1566137;6021138;LU;1;'2;'2;';'0;';Y;#A.GV/1/G2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';IFH_BATCH;'15/05/2020 13:31:34;;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200515142305;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';Y;NA;4;22;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'15/05/2020 12:30:58;;Y;;;;'15/05/2020 12:01:27;2;1566163;6021139;LU;1;'101;'101;';'1;';Y;#A1/2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';IFH_BATCH;'15/05/2020 13:31:36;;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200515142305;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';Y;NA;4;22;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'15/05/2020 12:30:58;;Y;;;;'15/05/2020 12:01:27;3;1566187;6021140;LU;1;'201;'201;';'2;';Y;#A2/3/G1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';IFH_BATCH;'15/05/2020 13:31:38;;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200515142305;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';Y;NA;4;22;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'15/05/2020 12:30:58;;Y;;;;'15/05/2020 12:01:27;4;1566203;6021141;LU;1;'301;'301;';'3;';Y;#A3/4.5/G3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';IFH_BATCH;'15/05/2020 13:31:40;;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;451882;'20200515142303;929555;'41630000;'191;A.B.-straat;'1;';2800;Mechelen;;'157605,661;'191125,051;';N;MON;3;14;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'15/05/2020 12:14:03;;Y;;;;'15/05/2020 12:01:27;3;11402780;6020411;BU;1;'1;'1;';'0;';;;;;;;;';SSV_IMPORT;'15/05/2020 12:59:04;;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;451882;'20200515142303;929555;'41630000;'191;A.B.-straat;'1;';2800;Mechelen;;'157605,661;'191125,051;';N;MON;3;14;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'15/05/2020 12:14:03;;Y;;;;'15/05/2020 12:01:27;1;1557412;6020412;LU;1;'101;'101;';'1;';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';IFH_BATCH;'15/05/2020 12:59:07;;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;451882;'20200515142303;929555;'41630000;'191;A.B.-straat;'1;';2800;Mechelen;;'157605,661;'191125,051;';N;MON;3;14;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'15/05/2020 12:14:03;;Y;;;;'15/05/2020 12:01:27;2;11090956;6020413;LU;1;'201;'201;';'2;';;;;;;;;';IFH_BATCH;'15/05/2020 12:59:08;;Y;;;;'15/05/2020 12:01:27
;;;Zoning;6833207;'20200225090047;W03-D-Mechelen-FH01;6833207;'20200225090047;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452459;'20200515142306;941666;'41630000;'191;A.B.-straat;'2;';2800;Mechelen;;'157583,244;'191120,827;';N;IRREG;3;18;Unknown;Unknown;;None;;;';IFH_BATCH;'15/05/2020 12:14:05;;Y;;;;'15/05/2020 12:01:27;1;1568869;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'15/05/2020 12:01:27
