LAM MK;xPos;yPos;Street;Nr;Suffix
718099;152590,278;172321,204;Henry Dunantlaan;3;
1621117;152797,659;172438,142;Avenue de l'Optimisme - Optimismelaan;91;
1621119;152791,569;172484,949;Avenue de l'Optimisme - Optimismelaan;95;
756834;152895,319;172489,944;Avenue des Anciens Combattants - Oud-Strijderslaan;81;
5583259;152887,095;172540,719;Avenue des Anciens Combattants - Oud-Strijderslaan;85;
756836;152802,449;172632,008;Avenue des Anciens Combattants - Oud-Strijderslaan;91;
1624000;152788,749;172682,489;Avenue des Anciens Combattants - Oud-Strijderslaan;95;
756835;152729,319;172795,217;Avenue des Anciens Combattants - Oud-Strijderslaan;101;
1624005;152656,465;172894,709;Avenue des Anciens Combattants - Oud-Strijderslaan;109;
584107;152547,24;172908,149;Avenue des Loisirs - Vrijetijdslaan;2;
1620849;152571,275;172892,564;Avenue des Loisirs - Vrijetijdslaan;6;
1620851;152582,091;172887,111;Avenue des Loisirs - Vrijetijdslaan;8;
718101;152669,516;172373,646;Avenue Henry Dunant - Henry Dunantlaan;7;
718108;152471,29;172324,704;Genèvestraat - Rue de Genève;115;
718103;152533,239;172275,539;Henry Dunantlaan - Avenue Henry Dunant;1;
5583269;152595,947;172341,376;Henry Dunantlaan - Avenue Henry Dunant;5;
5583270;152675,863;172395,1;Henry Dunantlaan - Avenue Henry Dunant;9;
718683;152379,883;172319,163;Leopold III laan - Avenue Léopold III;43;
1621118;152794,79;172461,86;Optimismelaan - Avenue de l'Optimisme;93;
1623991;152891,386;172516,226;Oud-Strijderslaan - Avenue des Anciens Combattants;83;
756472;152842,221;172564,765;Oud-Strijderslaan - Avenue des Anciens Combattants;87;
5583260;152838,645;172589,884;Oud-Strijderslaan - Avenue des Anciens Combattants;89;
1623999;152793,413;172661,666;Oud-Strijderslaan - Avenue des Anciens Combattants;93;
5583261;152779,11;172715,122;Oud-Strijderslaan - Avenue des Anciens Combattants;97;
1624003;152724,134;172819,084;Oud-Strijderslaan - Avenue des Anciens Combattants;103;
5583262;152716,804;172843,756;Oud-Strijderslaan - Avenue des Anciens Combattants;105;
1320165;152663,616;172869,054;Oud-Strijderslaan - Avenue des Anciens Combattants;107;
584105;152650,118;172920,275;Oud-Strijderslaan - Avenue des Anciens Combattants;111;
5583143;152465,639;172345,49;Rue de Genève - Genèvestraat;113;
5583144;152494,8;172290,735;Rue de Genève - Genèvestraat;117;
718106;152508,828;172265,82;Rue de Genève - Genèvestraat;119;
1620846;152559,565;172899,894;Vrijetijdslaan - Avenue des Loisirs;4;
584108;152595,232;172879,334;Vrijetijdslaan - Avenue des Loisirs;10;
1288382;152390,059;172263,32;Boulevard Léopold III - Leopold III-laan;41;
