LAM MK;xPos;yPos;Street;Nr;Suffix
1059351;152342,9663;212273,3996;Lijnwaadmarkt;16;
1059366;152359,2755;212221,9853;Melkmarkt;38;
1091131;152403,141;212228,0377;Vleminckstraat;3;
1139887;152452,7592;211361,7586;Maarschalk Grardstraat;31;
1139913;152448,4266;211382,8447;Maarschalk Grardstraat;25;
1139919;152483,8001;211371,8424;Schermersstraat;3;
1139922;152472,3781;211375,8989;Schermersstraat;1;
1139940;152465,7727;211401,3123;Maarschalk Grardstraat;19;
1139976;152277,5795;211286,0902;Terninckstraat;1;
1139979;152379,9686;211338,653;Bervoetstraat;40;
12605;152351,645;211671,3919;Vleminckveld;6;
1369823;152488,613;212007,6945;Wiegstraat;14;
1373123;152378,1958;211954,8728;Lombardenvest;33;
1437874;152394,8026;212292,5454;Korte Nieuwstraat;4;
1438270;152386,9037;211668,1468;Vleminckveld;23;
1451773;152258,8822;211340,171;Begijnenstraat;93;
1511557;152404,4293;212287,9186;Korte Nieuwstraat;6;
173900;152323,4227;211951,4258;Lombardenvest;40;
173902;152294,7521;211955,3021;Lombardenvest;32;
1739655;152316,6907;211549,0077;Begijnenstraat;3;
1739660;152307,8551;211522,5007;Begijnenstraat;17;
1741139;152298,7454;211342,4998;Bervoetstraat;16;
1741144;152338,9134;211354,9347;Bervoetstraat;33;
1778769;152345,2712;211648,0999;Bredestraat;9;
1778833;152334,1253;211587,1474;Bredestraat;37;
1868992;152300,9359;211837,6388;Everdijstraat;4;
1869049;152333,4152;211853,3791;Everdijstraat;17;
1869096;152419,01;211853,0639;Everdijstraat;35;
1884866;152482,1179;211862,0986;Korte Gasthuisstraat;32;
1884988;152513,3838;211742,1088;Lange Gasthuisstraat;12;
1921210;152243,3979;212198,9561;Groenplaats;13;
1921248;152273,5054;212210,2519;Groenplaats;20;
1921250;152288,0651;212211,5374;Groenplaats;21;
1921267;152303,6759;212206,2883;Groenplaats;25;
1933750;152164,3576;212285,1184;Handschoenmarkt;4;
1933777;152181,9504;212268,5051;Handschoenmarkt;12;
1959769;152239,0239;211929,9527;Kammenstraat;37;
1959770;152241,5919;211924,3925;Kammenstraat;39;
1959775;152254,4509;211900,0626;Kammenstraat;45;
1959778;152258,755;211893,444;Kammenstraat;47;
1959786;152273,5303;211866,9839;Kammenstraat;59;
1959799;152310,45;211805,2703;Kammenstraat;79;
1960302;152268,2658;211313,2531;Kasteelpleinstraat;5;
1968739;152167,5358;212275,5469;Oude Koornmarkt;9;
1968754;152174,9983;212266,6982;Oude Koornmarkt;15;
1968891;152217,9371;212185,8004;Oude Koornmarkt;49;
198787;152353,9721;211718,2924;Kleine Markt;7;
1990850;152313,6399;212291,2663;Lijnwaadmarkt;4;
1992428;152335,3287;211919,8012;Lombardenstraat;12;
1992434;152342,4465;211909,9469;Lombardenstraat;16;
1992442;152344,8517;211891,366;Lombardenstraat;22;
1992448;152347,9691;211880,4656;Lombardenstraat;26;
1998308;152357,2044;211707,7585;Kleine Markt;11;
2001918;152379,1822;212271,3973;Melkmarkt;19;
2001928;152382,9865;212240,5289;Melkmarkt;27;
2001958;152370,9296;212195,6224;Melkmarkt;42;
2027587;152410,5375;212284,8175;Korte Nieuwstraat;8;
2027607;152423,1251;212275,1347;Korte Nieuwstraat;14;
2027633;152470,2064;212256,0574;Korte Nieuwstraat;28;
2035161;152353,5504;211744,8126;Oudaan;4;
2035170;152364,2936;211745,0872;Oudaan;6;
2052140;152447,1753;212017,8079;Schrijnwerkersstraat;5;
2055923;152463,6778;212192,0934;Sudermanstraat;16;
2055924;152459,0213;212182,9182;Sudermanstraat;20;
2056544;152346,6971;211320,8377;Terninckstraat;15;
2056545;152354,7671;211326,2211;Terninckstraat;17;
2056549;152365,231;211335,0427;Terninckstraat;21;
2061276;152422,8429;211629,3896;Vleminckveld;35;
