LAM MK;xPos;yPos;Street;Nr;Suffix
335946;74819,656;226275,849;Albertlaan;2;
4347353;74820,531;226281,384;Albertlaan;4;
4347354;74822,267;226286,335;Albertlaan;6;
335947;74821,167;226297,282;Albertlaan;8;
2757595;74824,743;226317,16;Albertlaan;14;
2757596;74821,393;226322,512;Albertlaan;16;
3957970;74823,906;226325,914;Albertlaan;18;
2757598;74824,967;226332,461;Albertlaan;20;
2757600;74797,067;226333,43;Albertlaan;22;
4347320;74791,313;226348,594;Albertlaan;24;
2757602;74826,205;226338,751;Albertlaan;26;
2757604;74826,322;226344,286;Albertlaan;28;
4347322;74826,981;226349,782;Albertlaan;30;
4024098;74829,051;226355,002;Albertlaan;32;
2757607;74828,832;226358,687;Albertlaan;34;
4147912;74828,279;226363,792;Albertlaan;36;
335958;74829,412;226369,61;Albertlaan;38;
6524255;74834,729;226381,444;Albertlaan;40;
335950;74834,833;226404,149;Albertlaan;42;
335956;74832,475;226418,924;Albertlaan;46;
2757613;74829,696;226426,563;Albertlaan;48;
2757618;74832,334;226436,693;Albertlaan;52;
2757619;74831,784;226443,328;Albertlaan;54;
335951;74837,942;226449,426;Albertlaan;56;
2767137;74813,321;226493,487;Alfred Verweeplein;1;
335943;74828,221;226451,068;Alfred Verweeplein;2;
2767138;74821,338;226452,636;Alfred Verweeplein;3;
4251979;74816,293;226453,018;Alfred Verweeplein;4;
2767140;74811,217;226454,132;Alfred Verweeplein;5;
2767142;74804,248;226455,101;Alfred Verweeplein;6;
335945;74800,08;226454,598;Alfred Verweeplein;7;
335944;74792,139;226456,23;Alfred Verweeplein;8;
2767144;74785,823;226456,971;Alfred Verweeplein;9;
2767145;74778,291;226458,488;Alfred Verweeplein;10;
333260;74727,415;226457,175;Alfred Verweeplein;13;
4343326;74728,618;226462,47;Alfred Verweeplein;14;
4343327;74727,754;226452,645;Alfred Verweeplein;15;
2767148;74720,736;226462,347;Alfred Verweeplein;16;
333259;74713,956;226462,961;Alfred Verweeplein;17;
2767152;74704;226470;Alfred Verweeplein;17;A
338503;74710,85;226548,642;Alfred Verweeplein;18;
2767158;74719,769;226547,915;Alfred Verweeplein;19;
1452422;74726,863;226547,139;Alfred Verweeplein;20;
1389167;74733,445;226552,11;Alfred Verweeplein;21;
2767163;74738,355;226545,229;Alfred Verweeplein;22;
2767164;74744,75;226543,946;Alfred Verweeplein;23;
338505;74750,782;226542,475;Alfred Verweeplein;24;
2767167;74837,343;226534,407;Alfred Verweeplein;25;
239613;74681,879;226794,086;August Dansestraat;1;
239609;74685,562;226818,073;August Dansestraat;2;
239610;74673,724;226822,636;August Dansestraat;4;
