LAM MK;xPos;yPos;Street;Nr;Suffix
1675551;151363,06;171779,661;Auguste Lambiottestraat;34;
947359;151527,009;171562,528;Auguste Lambiottestraat;109;
1678642;150989,023;171949,889;Eugène Smitsstraat;12;
1671020;151561,752;171436,818;Leuvensesteenweg;389;
947922;151498,967;171567,615;Jacques Jansenstraat - Rue Jacques Jansen;38;
868947;150986,004;171975,263;Rogierlaan - Avenue Rogier;211;
951108;151370,99;171392,112;Avenue Chazal;1;
1668385;151409;171504;Avenue Chazal;19;
1668399;151385;171526;Avenue Chazal;40;
1668403;151388;171538;Avenue Chazal;46;
4958678;151401;171566;Avenue Chazal;56;
1668412;151427;171581;Avenue Chazal;62;A
1668413;151409;171592;Avenue Chazal;62;B
947911;151420;171628;Avenue Chazal;74;
5584946;151453;171632;Avenue Chazal;76;
1668429;151444;171709;Avenue Chazal;82;
1669033;150914;171948;Avenue Dailly;30;
6359409;150933;171918;Avenue Dailly;42;
6136992;151018;171803;Avenue Dailly;90;A
1669077;151021;171798;Avenue Dailly;92;
4108418;151150;171619;Avenue Dailly;142;
947886;151183;171568;Avenue Dailly;154;
1669114;151203;171541;Avenue Dailly;166;
947879;151232;171502;Avenue Dailly;184;
1669142;151281;171433;Avenue Dailly;206;
3996951;151203;171541;Avenue Dailly;214;
1672807;150864;172022;Avenue Rogier;169;
3917333;151135;171922;Avenue Rogier;225;
834991;151141;171920;Avenue Rogier;227;
4119499;151460;171809;Avenue Rogier;331;
5585109;151669;171734;Avenue Rogier;339;
5585110;151691;171728;Avenue Rogier;349;
947353;151697;171727;Avenue Rogier;351;
947358;151750,728;171702,581;Avenue Rogier;371;
1672948;151897;171659;Avenue Rogier;391;
1672969;152000,974;171624,182;Avenue Rogier;429;
1671004;151428;171385;Chaussée de Louvain;347;
951089;151433;171386;Chaussée de Louvain;349;
951091;151503;171411;Chaussée de Louvain;367;
1352106;151536;171434;Chaussée de Louvain;381;
1671014;151546;171431;Chaussée de Louvain;383;
4119322;151740,385;171513,719;Chaussée de Louvain;429;
1671038;151748,191;171514,727;Chaussée de Louvain;433;
5585048;151864,973;171558,126;Chaussée de Louvain;467;
950853;151887;171565;Chaussée de Louvain;469;
5585049;151897;171568;Chaussée de Louvain;473;
950811;151931;171582;Chaussée de Louvain;479;
4119540;151999;171606;Chaussée de Louvain;509;
868819;151109;171898;Grande rue Au Bois;1;
1679875;151141;171898;Grande rue Au Bois;8;
6275390;151121,872;171879,782;Grande rue Au Bois;9;A
1679893;151178;171836;Grande rue Au Bois;32;
868822;151176;171829;Grande rue Au Bois;38;
1679896;151194;171807;Grande rue Au Bois;42;
4107835;151203;171724;Grande rue Au Bois;59;
1679907;151221;171764;Grande rue Au Bois;60;
864241;151275,26;171654,73;Grande rue Au Bois;90;
4039948;151281,742;171651,686;Grande rue Au Bois;94;
1679929;151299;171623;Grande rue Au Bois;106;
4119588;151330;171538;Grande rue Au Bois;123;
6275392;151341,26;171534,623;Grande rue Au Bois;131;
1679948;151377;171535;Grande rue Au Bois;142;
947919;151421;171492;Grande rue Au Bois;160;
951093;151470,553;171404,934;Grande rue Au Bois;181;
1679964;151481,319;171431,819;Grande rue Au Bois;194;
4119245;151492;171423;Grande rue Au Bois;198;
951098;151492,14;171420,49;Grande rue Au Bois;200;
1669171;151380,572;171377,627;Place Dailly;9;
4110631;151372,287;171384,503;Place Dailly;11;B
5978997;151340,865;171401,496;Place Dailly;14;
948531;151343,458;171397,833;Place Dailly;15;
1669176;151323,139;171380,727;Place Dailly;20;
1677906;151502;171790;Place de la Patrie;3;
1677909;151507;171789;Place de la Patrie;7;
6525297;151542;171767;Place de la Patrie;21;
886353;151576;171754;Place de la Patrie;29;
4117535;151590;171745;Place de la Patrie;39;
1489636;151606;171742;Place de la Patrie;45;
1668031;151037;171957;Place des Bienfaiteurs;1;A
864168;151073;171902;Place des Bienfaiteurs;11;
5585228;152017;171621;Place Général Meiser;11;
4119261;152016;171613;Place Général Meiser;12;
864256;151094,142;171729,325;Rue Alexandre Markelbach;86;
834469;151254;171864;Rue Alexandre Markelbach;156;
868796;151094;171894;Rue Artan;2;
4107015;151066,073;171872,54;Rue Artan;11;
1667905;151061,621;171842,893;Rue Artan;23;
1667906;151058,239;171839,85;Rue Artan;25;
1667907;151061,621;171836,581;Rue Artan;27;
1462825;151311,36;171853,602;Rue Auguste Lambiotte;4;
1675547;151358;171793;Rue Auguste Lambiotte;30;
1675554;151366,031;171773,738;Rue Auguste Lambiotte;38;
24978;151401;171763;Rue Auguste Lambiotte;47;
834353;151432;171709;Rue Auguste Lambiotte;65;
1675573;151433;171709;Rue Auguste Lambiotte;66;
1675574;151422,392;171678,712;Rue Auguste Lambiotte;70;
1675575;151442;171691;Rue Auguste Lambiotte;71;
951125;151456;171667;Rue Auguste Lambiotte;75;
951127;151516;171582;Rue Auguste Lambiotte;105;
1675609;151521,927;171521,011;Rue Auguste Lambiotte;128;
1675610;151526,098;171517,968;Rue Auguste Lambiotte;130;
1675616;151531,001;171508,612;Rue Auguste Lambiotte;136;
1671159;151581;171519;Rue de la Luzerne;7;
1671162;151631;171561;Rue de la Luzerne;11;
4109473;151606;171578;Rue de la Luzerne;28;
1671185;151633,383;171605,47;Rue de la Luzerne;42;
4119382;151668;171633;Rue de la Luzerne;60;
947343;151528;171567;Rue Emile Wittmann;5;
4947480;151585;171680;Rue Emile Wittmann;40;
1679536;151587;171673;Rue Emile Wittmann;49;
864153;151011;171965;Rue Eugène Smits;2;
864155;150983,982;171947,473;Rue Eugène Smits;16;
1678646;150980,15;171944,542;Rue Eugène Smits;18;
1679984;151178;171590;Rue François Bossaerts;41;
5585325;151186;171585;Rue François Bossaerts;43;
864262;151166,256;171600,848;Rue François Bossaerts;44;
1679989;151189;171599;Rue François Bossaerts;49;
4107715;151204;171597;Rue François Bossaerts;51;
5585326;151218;171607;Rue François Bossaerts;57;
4964357;151213;171636;Rue François Bossaerts;60;
4114609;151225,774;171614,938;Rue François Bossaerts;61;
4964358;151214;171638;Rue François Bossaerts;62;
947892;151231;171616;Rue François Bossaerts;63;
1680010;151257;171637;Rue François Bossaerts;83;
834366;151401,736;171770,835;Rue François Bossaerts;132;
4108031;151457;171781;Rue François Bossaerts;145;
1334724;151457;171799;Rue François Bossaerts;154;
1676416;151436;171511;Rue Jacques Jansen;8;
1329407;151415,536;171458,682;Rue Jacques Jansen;15;
5585192;151420;171460;Rue Jacques Jansen;17;
6573500;151437,131;171482,657;Rue Jacques Jansen;17;A
1676425;151454;171528;Rue Jacques Jansen;18;
4119312;151484;171527;Rue Jacques Jansen;26;
6524861;151499,016;171569,793;Rue Jacques Jansen;40;
4107281;151469;171520;Rue Jacques Jansen;45;A
1676445;151497;171543;Rue Jacques Jansen;51;
5585336;151235;171499;Rue Joseph Coosemans;4;
1680294;151294,596;171519,369;Rue Joseph Coosemans;21;
4114798;151340,865;171564,382;Rue Joseph Coosemans;39;A
947836;151308;171561;Rue Joseph Coosemans;40;
5585337;151310,373;171565,565;Rue Joseph Coosemans;42;
4109322;151324,126;171583,601;Rue Joseph Coosemans;46;
1680312;151353;171580;Rue Joseph Coosemans;47;
1680324;151376;171589;Rue Joseph Coosemans;62;
951120;151572;171745;Rue Joseph Coosemans;123;
1668372;151376,998;171394,559;Avenue Chazal - Chazallaan;1;B
948548;151345,684;171402,455;Avenue Chazal - Chazallaan;2;
1668373;151378,749;171399,87;Avenue Chazal - Chazallaan;3;
948549;151344,895;171407,95;Avenue Chazal - Chazallaan;4;
1668374;151380,59;171405,549;Avenue Chazal - Chazallaan;5;
1668375;151346,839;171411,619;Avenue Chazal - Chazallaan;6;
1668376;151382,539;171411,68;Avenue Chazal - Chazallaan;7;
1668377;151348,309;171416,139;Avenue Chazal - Chazallaan;8;
1109593;151384,309;171417,259;Avenue Chazal - Chazallaan;9;
1668378;151385,85;171422,188;Avenue Chazal - Chazallaan;11;
948551;151350,688;171423,479;Avenue Chazal - Chazallaan;12;
951109;151386,04;171426,599;Avenue Chazal - Chazallaan;13;
1668380;151353,589;171432,409;Avenue Chazal - Chazallaan;14;
1668381;151407,442;171502,542;Avenue Chazal - Chazallaan;15;
1165036;151356,319;171440,799;Avenue Chazal - Chazallaan;16;
1668383;151415,269;171512,519;Avenue Chazal - Chazallaan;17;
1668384;151358,939;171449,839;Avenue Chazal - Chazallaan;18;
948552;151358,342;171456,223;Avenue Chazal - Chazallaan;20;
1668386;151362,849;171460,879;Avenue Chazal - Chazallaan;22;
1668387;151420,978;171528,09;Avenue Chazal - Chazallaan;23;
1668388;151364,699;171466,559;Avenue Chazal - Chazallaan;24;
1668389;151422,478;171534,219;Avenue Chazal - Chazallaan;25;
1668390;151366,441;171472,591;Avenue Chazal - Chazallaan;26;
1668391;151424,749;171541,049;Avenue Chazal - Chazallaan;27;
1668392;151368,329;171477,739;Avenue Chazal - Chazallaan;28;
1668393;151427,209;171548,449;Avenue Chazal - Chazallaan;29;
1668394;151370,21;171483,529;Avenue Chazal - Chazallaan;30;
1668395;151429,74;171556,04;Avenue Chazal - Chazallaan;31;
1668396;151371,565;171488,7;Avenue Chazal - Chazallaan;32;
1668397;151432,158;171563,339;Avenue Chazal - Chazallaan;33;
5584945;151378,056;171492,059;Avenue Chazal - Chazallaan;34;
947915;151434,458;171570,259;Avenue Chazal - Chazallaan;35;
947914;151436,45;171576,31;Avenue Chazal - Chazallaan;37;
947909;151383,249;171523,069;Avenue Chazal - Chazallaan;38;
1668398;151438,835;171583,008;Avenue Chazal - Chazallaan;39;
1668400;151441,009;171590,369;Avenue Chazal - Chazallaan;41;
4015071;151386,019;171531,509;Avenue Chazal - Chazallaan;42;
1668401;151443,5;171598,029;Avenue Chazal - Chazallaan;43;
1668402;151446,74;171608,019;Avenue Chazal - Chazallaan;45;
1668404;151389,619;171542,549;Avenue Chazal - Chazallaan;48;
1320846;151449,259;171615,689;Avenue Chazal - Chazallaan;49;
1668405;151391,539;171548,41;Avenue Chazal - Chazallaan;50;
1668406;151451,209;171621,508;Avenue Chazal - Chazallaan;51;
1668407;151393,409;171554,169;Avenue Chazal - Chazallaan;52;
1668408;151453,279;171627,829;Avenue Chazal - Chazallaan;53;
4110469;151399,234;171560,032;Avenue Chazal - Chazallaan;54;
1668409;151452,608;171637,157;Avenue Chazal - Chazallaan;55;
947912;151400,179;171574,43;Avenue Chazal - Chazallaan;58;
951129;151478,249;171703,49;Avenue Chazal - Chazallaan;59;
947913;151402,769;171582,369;Avenue Chazal - Chazallaan;60;
1668410;151481,509;171713,539;Avenue Chazal - Chazallaan;61;
1668411;151406,221;171593,018;Avenue Chazal - Chazallaan;62;
1668414;151483,409;171719,378;Avenue Chazal - Chazallaan;63;
1668415;151407,824;171597,928;Avenue Chazal - Chazallaan;64;
1668416;151485,158;171724,769;Avenue Chazal - Chazallaan;65;
1668417;151409,446;171602,911;Avenue Chazal - Chazallaan;66;
1668418;151486,739;171729,62;Avenue Chazal - Chazallaan;67;
1668419;151411,142;171608,222;Avenue Chazal - Chazallaan;68;
1668420;151488,599;171735,349;Avenue Chazal - Chazallaan;69;
1668421;151413,479;171615,159;Avenue Chazal - Chazallaan;70;
1668422;151489,765;171738,921;Avenue Chazal - Chazallaan;71;
1668423;151417,639;171623,319;Avenue Chazal - Chazallaan;72;
1668424;151490,709;171741,813;Avenue Chazal - Chazallaan;73;
1668426;151492,145;171746,208;Avenue Chazal - Chazallaan;75;
951131;151493,998;171751,882;Avenue Chazal - Chazallaan;77;
951130;151495,978;171757,952;Avenue Chazal - Chazallaan;79;
834365;151443,829;171707,109;Avenue Chazal - Chazallaan;80;
1668428;151497,878;171763,974;Avenue Chazal - Chazallaan;81;
1668430;151498,906;171770,159;Avenue Chazal - Chazallaan;83;
1668431;151445,089;171711,789;Avenue Chazal - Chazallaan;84;
1668432;151501,366;171775,364;Avenue Chazal - Chazallaan;85;
1668433;151446,819;171717,009;Avenue Chazal - Chazallaan;86;
834364;151502,901;171780,785;Avenue Chazal - Chazallaan;87;
1668434;151448,429;171721,879;Avenue Chazal - Chazallaan;88;
1668435;151450,389;171727,709;Avenue Chazal - Chazallaan;90;
1668436;151452,208;171733,199;Avenue Chazal - Chazallaan;92;
1668438;151453,999;171738,47;Avenue Chazal - Chazallaan;94;
1668440;151456,13;171744,759;Avenue Chazal - Chazallaan;96;
834361;151458,124;171750,379;Avenue Chazal - Chazallaan;98;
1668442;151459,569;171755,018;Avenue Chazal - Chazallaan;100;
1668444;151461,979;171760,774;Avenue Chazal - Chazallaan;102;
1668446;151463,059;171765,989;Avenue Chazal - Chazallaan;104;
1668448;151464,869;171771,81;Avenue Chazal - Chazallaan;106;
1668450;151466,479;171776,729;Avenue Chazal - Chazallaan;108;
