LAM MK;xPos;yPos;Street;Nr;Suffix
1287307;134988,0929;206037,8727;Lodewijk De Meesterstraat;138;
1357427;134382,8646;205977,9028;Walburgstraat;18;
1449708;134325,4509;206699,5839;Mercatorstraat;21;
1513567;135013,5257;205664,9104;Brugsken;38;
1513899;134348,8131;206023,8482;Kleine Peperstraat;11;
1513909;134272,513;205957,4231;Grote Peperstraat;41;
1513950;134370,1693;205982,7984;Walburgstraat;14;
1513957;134388,4686;205957,0088;Walburgstraat;23;
1513989;134533,7971;205929,113;Walburgstraat;62;
1513992;134528,757;205910,7839;Walburgstraat;65;
1514002;134578,4884;205865,2421;Zeildoekstraat;5;
1514004;134575,3329;205856,1323;Zeildoekstraat;9;
1514005;134573,2123;205851,5493;Zeildoekstraat;11;
1514015;134445,2598;206001,0942;Kalkstraat;59;
1514018;134540,593;205977,6307;Kalkstraat;62;
1514019;134453,6376;205997,6939;Kalkstraat;63;
1514024;134550,617;205963,6193;Kalkstraat;68;
1514028;134564,611;205944,8525;Kalkstraat;74;
1514031;134502,791;205977,8528;Kalkstraat;79;
1514032;134577,647;205932,9046;Kalkstraat;80;
1514036;134584,065;205925,0756;Kalkstraat;84;
1514041;134530,4394;205957,8142;Kalkstraat;89;
1514043;134784,355;205955,4165;Lodewijk De Meesterstraat;3;
1514050;134626,7512;205923,9626;Lodewijk De Meesterstraat;12;
1514079;134731,8485;205962,2554;Lodewijk De Meesterstraat;52;
3484780;134336,727;206544,6861;Prins Albertstraat;68;
3484804;134286,4399;206180,7042;Ankerstraat;21;
3484817;134359,229;206224,8508;Ankerstraat;40;
3484820;134366,8192;206226,6512;Ankerstraat;42;
3484826;134394,9582;206236,6365;Ankerstraat;52;
3484829;134400,6741;206242,236;Ankerstraat;54;
3484840;134429,4057;206224,3108;Ankerstraat;65;
3484841;134442,3236;206250,3364;Ankerstraat;66;
3484842;134441,814;206228,8884;Ankerstraat;69;
3484846;134455,3084;206231,0882;Ankerstraat;73;
3484847;134460,6646;206233,1542;Ankerstraat;75;
3484853;134548,7407;206177,804;Ankerstraat;83;
3484859;134492,4859;206306,0196;Ankerstraat;96;
3484862;134495,6326;206317,1563;Ankerstraat;100;
3484872;134511,9736;206353,183;Ankerstraat;110;
3484878;134524,4793;206376,8052;Ankerstraat;118;
3484885;134526,9952;206390,2384;Ankerstraat;124;
3484887;134574,9166;206444,7259;Ankerstraat;125;
3484899;134541,9517;206429,6487;Ankerstraat;138;
3484920;134872,5884;206396,0042;Antwerpse Steenweg;12;
3485228;135079,352;205904,6409;Azalealaan;10;
3485232;134981,674;205742,0101;Azalealaan;17;
3485239;134996,1324;205754,3815;Azalealaan;25;
3486983;135021,1734;205660,3111;Brugsken;44;
3497514;134414,1561;206015,3006;Kalkstraat;51;
3500078;134624,9538;206471,5034;Klein-Hulststraat;16;
3500097;134738,9634;206400,0392;Klein-Hulststraat;61;
3500098;134742,8365;206398,3823;Klein-Hulststraat;63;
3500100;134746,718;206396,5042;Klein-Hulststraat;65;
3500281;134248,6149;205574,659;Knaptandstraat;34;
3500301;134276,8523;205518,0442;Knaptandstraat;56;
3500331;134306,7018;205468,8897;Knaptandstraat;84;
3500545;134151,0869;205807,4824;Kokkelbeekstraat;18;
