LAM MK;xPos;yPos;Street;Nr;Suffix
3916124;152571;173502;Allées du Languedoc;1;A
724707;152576;173510;Allées du Languedoc;1;B
3916125;152581;173515;Allées du Languedoc;1;C
724708;152582;173519;Allées du Languedoc;1;D
724709;152585;173524;Allées du Languedoc;1;E
724711;152590;173530;Allées du Languedoc;1;G
1620378;152542;172609;Avenue de l'Andalousie;11;
6663506;152540;172618;Avenue de l'Andalousie;12;
1330950;152540;172625;Avenue de l'Andalousie;13;
6663508;152539;172635;Avenue de l'Andalousie;14;
1620379;152542;172642;Avenue de l'Andalousie;15;
1286900;152541;172647;Avenue de l'Andalousie;16;
1331803;152539;172651;Avenue de l'Andalousie;17;
1359110;152535;172657;Avenue de l'Andalousie;18;
1303896;152525,576;172663,335;Avenue de l'Andalousie;19;
716845;152711;172491;Avenue de l'Optimisme;99;
1621126;152498;173766;Avenue de l'Oud-Kapelleke;12;
1620381;152462;172407;Avenue du Frioul;4;
1620382;152478;172407;Avenue du Frioul;6;
1620383;152502;172408;Avenue du Frioul;8;
1620384;152520;172408;Avenue du Frioul;10;
4119464;152070;172943;Avenue Henri Conscience;20;
1003597;152076;172957;Avenue Henri Conscience;26;
1621585;152088;173046;Avenue Henri Conscience;47;B
838810;152098;173065;Avenue Henri Conscience;55;
838815;152152;173054;Avenue Henri Conscience;70;
1621623;152201;173297;Avenue Henri Conscience;119;
5583173;152200;173302;Avenue Henri Conscience;121;
828184;152192;173392;Avenue Henri Conscience;141;
4119633;152188;173505;Avenue Henri Conscience;165;
1621651;152213;173463;Avenue Henri Conscience;166;
1621655;152192;173521;Avenue Henri Conscience;171;
5583174;152213;173480;Avenue Henri Conscience;172;
6524649;152221;173526;Avenue Henri Conscience;184;
828259;152307;173693;Avenue Henri Conscience;223;
1621694;152282;173635;Avenue Henri Conscience;232;
1621698;152291;173640;Avenue Henri Conscience;236;
1109250;152586;173749;Avenue Louis Piérard;20;
6178058;152620;173719;Avenue Louis Piérard;32;
6306874;152623;173733;Avenue Louis Piérard;34;
6113925;152641;173889;Avenue Louis Piérard;39;
5583203;152668;173811;Avenue Louis Piérard;44;
77994;152053;173411;Avenue Notre-Dame;63;
5583192;152132;173416;Avenue Notre-Dame;79;
5583193;152181;173397;Avenue Notre-Dame;92;
4110065;152175;173427;Avenue Notre-Dame;95;
830558;152183;173431;Avenue Notre-Dame;99;
3916127;152229;173445;Avenue Notre-Dame;105;
1622239;152254;173453;Avenue Notre-Dame;115;
25028;152331,191;173447,013;Avenue Notre-Dame;134;
4112478;151980;173517;Chaussée de Haecht;934;
4112622;152072;173564;Chaussée de Haecht;970;
1620734;152320;173743;Chaussée de Haecht;1058;
4107778;152379;173776;Chaussée de Haecht;1080;
1620792;152646;173962;Chaussée de Haecht;1198;
4106903;152368;173436;Rue A. Vanden Bossche;65;
830571;152081;173414;Rue Adolphe De Brandt;35;
6525388;152150;173288;Rue Adolphe De Brandt;63;
838795;151957;173094;Rue Auguste De Boeck;2;
838798;151960;173093;Rue Auguste De Boeck;2;A
839668;151978;173108;Rue Auguste De Boeck;11;
4119657;152020;173100;Rue Auguste De Boeck;25;
4114665;152044;173096;Rue Auguste De Boeck;33;
1623691;152080;173073;Rue Auguste De Boeck;46;
1623692;152082;173071;Rue Auguste De Boeck;48;
839670;152176;173053;Rue Auguste De Boeck;56;
839671;152193;173047;Rue Auguste De Boeck;58;
1623699;152245;173040;Rue Auguste De Boeck;68;A
