LAM MK;xPos;yPos;Street;Nr;Suffix
3136685;235152,301;146031,896;Av.Constantin de Gerlache;5;
538879;235130,766;145990,536;Av.Constantin de Gerlache;14;
538878;235155,847;145993,024;Av.Constantin de Gerlache;17;
538872;235146,902;145945,118;Av.Constantin de Gerlache;18;
3136697;235158,292;145988,201;Av.Constantin de Gerlache;19;
538875;235162,067;145982,956;Av.Constantin de Gerlache;21;
6721945;235162;145711;Av.Constantin de Gerlache;29;
6721947;235145;145659;Av.Constantin de Gerlache;31;
6721950;235152;145669;Av.Constantin de Gerlache;33;
538871;235169,661;145923,182;Av.Constantin de Gerlache;34;
3136699;235122,443;145593,72;Av.Constantin de Gerlache;39;
538627;235144,315;145901,554;Av.Constantin de Gerlache;40;
3136703;235094,492;145567,458;Av.Constantin de Gerlache;41;
3136706;235065,692;145549,903;Av.Constantin de Gerlache;43;
3136708;235025,78;145565,241;Av.Constantin de Gerlache;45;
3136713;235167,621;145814,499;Av.Constantin de Gerlache;46;
3136715;235010,725;145572,456;Av.Constantin de Gerlache;47;A
3136718;235005,251;145573,417;Av.Constantin de Gerlache;47;B
3136721;234999,19;145574,884;Av.Constantin de Gerlache;49;A
3136722;234993,286;145576,312;Av.Constantin de Gerlache;49;B
3136726;235166,768;145772,886;Av.Constantin de Gerlache;50;
3136727;234963,232;145585,745;Av.Constantin de Gerlache;51;
1482678;235149,1;145737,153;Av.Constantin de Gerlache;54;
3136732;234944,481;145599,624;Av.Constantin de Gerlache;55;
3136734;235143,689;145724,047;Av.Constantin de Gerlache;56;
3136736;235115,768;145672,304;Av.Constantin de Gerlache;62;
538869;235105,069;145644,265;Av.Constantin de Gerlache;64;
1522483;235090,345;145625,573;Av.Constantin de Gerlache;66;
1573269;235074,043;145608,924;Av.Constantin de Gerlache;68;
3136740;235050,107;145611,607;Av.Constantin de Gerlache;70;
3136741;235032,77;145605,317;Av.Constantin de Gerlache;72;
1482668;235003,826;145621,714;Av.Constantin de Gerlache;74;
3136744;234989,836;145623,13;Av.Constantin de Gerlache;76;
539751;235552,922;145849,422;Avenue des Tilleuls;2;
1371195;235537,301;145853,518;Avenue des Tilleuls;4;
2800512;235518,037;145857,32;Avenue des Tilleuls;8;
