LAM MK;xPos;yPos;Street;Nr;Suffix
701266;216990,449;181069,796;Alverbergstraat;4;
2407981;217049,193;181034,027;Alverbergstraat;5;
2407983;216993,354;181075,177;Alverbergstraat;6;
2407984;216996,916;181080,137;Alverbergstraat;8;
2407985;217008,874;181099,244;Alverbergstraat;10;
2407987;217045,443;181078,495;Alverbergstraat;11;
2407989;217011,898;181106,532;Alverbergstraat;12;
4225038;217052,082;181097,479;Alverbergstraat;13;
2407990;217020,093;181121,644;Alverbergstraat;14;
2407992;217052,503;181104,623;Alverbergstraat;15;
2407993;217023,289;181128,592;Alverbergstraat;16;
701268;217056,746;181109,366;Alverbergstraat;17;
701270;217062,899;181124,105;Alverbergstraat;19;
701269;217029,78;181144,13;Alverbergstraat;20;
4070986;217067,969;181133,998;Alverbergstraat;21;
701264;217073,56;181142,701;Alverbergstraat;23;
701289;217092,569;181132,977;Alverbergstraat;25;
2407995;217097,772;181129,613;Alverbergstraat;27;
2407996;217109,875;181124,279;Alverbergstraat;29;
701291;217119,272;181117,055;Alverbergstraat;31;
701292;217130,343;181141,464;Alverbergstraat;33;
2407997;217121,461;181143,665;Alverbergstraat;35;
701290;217113,103;181146,906;Alverbergstraat;37;
701265;217085,878;181167,124;Alverbergstraat;39;
2407998;217089,368;181173,194;Alverbergstraat;41;
4887540;217093,336;181179,235;Alverbergstraat;43;
2407999;217104,897;181190,465;Alverbergstraat;45;
2408000;217107,259;181197,221;Alverbergstraat;47;
2408001;217111,42;181203,469;Alverbergstraat;49;
4887493;217143,385;181253,605;Alverbergstraat;55;
2408003;217148,116;181259,446;Alverbergstraat;57;
4200039;217152,229;181265,137;Alverbergstraat;59;
2408004;217160,157;181284,034;Alverbergstraat;61;
4146909;217164,178;181290,607;Alverbergstraat;63;
2408006;217168,197;181297,175;Alverbergstraat;65;
1397996;217212,161;181337,798;Alverbergstraat;67;
1361892;217216,833;181358,472;Alverbergstraat;69;
701484;217152,194;181416,393;Alverbergstraat;73;
4251687;217401,656;181314,629;Anne Ruttenstraat;1;
2407210;217394,442;181311,834;Anne Ruttenstraat;2;
700901;217387,05;181311,068;Anne Ruttenstraat;3;
4887575;217379,354;181310,748;Anne Ruttenstraat;4;
700899;217348,565;181299,133;Anne Ruttenstraat;5;
701492;217349,204;181308,303;Anne Ruttenstraat;6;
701493;217350,073;181316,724;Anne Ruttenstraat;7;
701495;217351,314;181324,435;Anne Ruttenstraat;8;
701496;217351,727;181332,141;Anne Ruttenstraat;9;
700898;217350,185;181342,93;Anne Ruttenstraat;10;
4103921;217352,222;181350,65;Anne Ruttenstraat;11;
2407214;217352,561;181362,535;Anne Ruttenstraat;12;
700897;217359,085;181378,498;Anne Ruttenstraat;13;
3937180;217384,388;181363,727;Anne Ruttenstraat;14;
3937181;217382,799;181377,505;Anne Ruttenstraat;15;
701477;217330,64;181363,928;Anne Ruttenstraat;16;
701478;217323,443;181360,853;Anne Ruttenstraat;17;
701479;217315,132;181359,562;Anne Ruttenstraat;18;
2407216;217306,921;181339,33;Anne Ruttenstraat;19;
2407218;217309,199;181332,345;Anne Ruttenstraat;20;
4887583;217313,418;181326,207;Anne Ruttenstraat;21;
2407219;217317,251;181318,796;Anne Ruttenstraat;22;
4199747;217316,529;181308,872;Anne Ruttenstraat;23;
2407220;217318,8;181299,792;Anne Ruttenstraat;24;
4887588;217306,325;181292,685;Anne Ruttenstraat;25;
2407222;217321,587;181278,679;Anne Ruttenstraat;26;
3937182;217322,648;181265,261;Anne Ruttenstraat;27;
1503308;217323,89;181262,138;Anne Ruttenstraat;29;
701497;217307,821;181238,76;Anne Ruttenstraat;31;
701498;217301,683;181234,416;Anne Ruttenstraat;32;
