File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;3;11094854;;LU;1;;;;;;;;;;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;6;11094857;;LU;1;;;;;;;;;;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;1;10643078;;SU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;5;11094856;;LU;1;;;;;;;;;;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;8;11094859;;LU;1;;;;;;;;;;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;4;11094855;;LU;1;;;;;;;;;;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;7;11094858;;LU;1;;;;;;;;;;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;9;11094860;;LU;1;;;;;;;;;;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092967;2,02001E+13;9373;60370000;29373;Stationsplein;19;;9100;Sint-Niklaas;;134399,6413;206829,0598;;N;IRREG;5;14;Unknown;Unknown;;None;;;;;;;;;;;;2;10643079;;SU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;7;0;2;9;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817362;2,02001E+13;9375;60370000;20504;Mercatorstraat;39;;9100;Sint-Niklaas;;134399,6178;206669,2695;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11094715;;BU;1;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817364;2,02001E+13;9379;60370000;20504;Mercatorstraat;102;;9100;Sint-Niklaas;;134611,8262;206603,1546;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;2095431;;LU;1;;;;;;Y;#A1/A1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;3;1;1;5;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817364;2,02001E+13;9379;60370000;20504;Mercatorstraat;102;;9100;Sint-Niklaas;;134611,8262;206603,1546;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;5;2095442;;BU;1;;;;;;Y;#HA.GV;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;COMM;;;;;;;;;;;;3;1;1;5;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817364;2,02001E+13;9379;60370000;20504;Mercatorstraat;102;;9100;Sint-Niklaas;;134611,8262;206603,1546;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;3;2095434;;LU;1;;;;;;Y;#A2/A3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;3;1;1;5;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817364;2,02001E+13;9379;60370000;20504;Mercatorstraat;102;;9100;Sint-Niklaas;;134611,8262;206603,1546;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;2095432;;LU;1;;;;;;Y;#A1/A2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;3;1;1;5;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817364;2,02001E+13;9379;60370000;20504;Mercatorstraat;102;;9100;Sint-Niklaas;;134611,8262;206603,1546;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;4;2095435;;SU;1;;;;;;Y;#A2/A4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;3;1;1;5;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092968;2,02001E+13;9385;60370000;20504;Mercatorstraat;227;;9100;Sint-Niklaas;;134912,9186;206448,8645;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2107439;;SU;1;;;;;;Y;#A1/A3/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;0;1;1;2;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;7092968;2,02001E+13;9385;60370000;20504;Mercatorstraat;227;;9100;Sint-Niklaas;;134912,9186;206448,8645;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;2;10643184;;BU;1;;;;;;Y;#A1.2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;0;1;1;2;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473156;2,02001E+13;9405;60370000;35097;Zamanstraat;21;;9100;Sint-Niklaas;;134310,4234;206263,7573;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;2;11050600;3861431;LU;1;2;LU2;;1;;Y;;HOUSE;;;;;;;;;;;;;;3;0;0;3;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473156;2,02001E+13;9405;60370000;35097;Zamanstraat;21;;9100;Sint-Niklaas;;134310,4234;206263,7573;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;3;11050601;3861432;LU;1;3;LU3;;2;;Y;;HOUSE;;;;;;;;;;;;;;3;0;0;3;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473156;2,02001E+13;9405;60370000;35097;Zamanstraat;21;;9100;Sint-Niklaas;;134310,4234;206263,7573;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;1;2106579;3861433;LU;1;1;LU1;;0;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;3;0;0;3;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;11486421;2,02001E+13;9407;60370000;16086;Klein-Hulststraat;6;;9100;Sint-Niklaas;;134597,4708;206477,1378;;N;IRREG;3;9;Unknown;Unknown;;None;;;;;;;;;;;;1;11094479;;BU;1;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817385;2,02001E+13;9433;60370000;24333;Grote Peperstraat;1;;9100;Sint-Niklaas;;134180,6575;205921,1902;;Y;NA;2;9;Unknown;Unknown;;None;;;;;;;;;;;;1;2094243;;LU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817390;2,02001E+13;9449;60370000;24858;Polderstraat;49;;9100;Sint-Niklaas;;134946,0797;206084,5012;;Y;NA;3;8;Unknown;Unknown;;None;;;;;;;;;;;;1;2116952;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;2;0;0;2;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817390;2,02001E+13;9449;60370000;24858;Polderstraat;49;;9100;Sint-Niklaas;;134946,0797;206084,5012;;Y;NA;3;8;Unknown;Unknown;;None;;;;;;;;;;;;2;2116953;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;2;0;0;2;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817391;2,02001E+13;9451;60370000;31779;Veldstraat;105;;9100;Sint-Niklaas;;134790,3412;206094,719;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2095806;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
