OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
732444,"ANTWERPEN-WEST - FH11","BUILDING template",1028374,,1028374,Gijzelaarsstraat,86,,,,,
732445,"ANTWERPEN-WEST - FH11","BUILDING template",1028377,,1028377,Gijzelaarsstraat,60,,,,,
732446,"ANTWERPEN-WEST - FH11","BUILDING template",1028380,,1028380,"Jan van Gentstraat",2,,,,,
732447,"ANTWERPEN-WEST - FH11","BUILDING template",1028381,,1028381,"Jan van Gentstraat",1,,,,,
732448,"ANTWERPEN-WEST - FH11","BUILDING template",1028383,,1028383,"Jan van Gentstraat",5,,,,,
732449,"ANTWERPEN-WEST - FH11","BUILDING template",1028385,,1028385,Vlaamsekaai,92,,,,,
732450,"ANTWERPEN-WEST - FH11","BUILDING template",1028387,,1028387,Gentplaats,7,,,,,
732451,"ANTWERPEN-WEST - FH11","BUILDING template",1028388,,1028388,Pacificatiestraat,2,,,,,
732452,"ANTWERPEN-WEST - FH11","BUILDING template",1028391,,1028391,Pacificatiestraat,16,,,,,
732453,"ANTWERPEN-WEST - FH11","BUILDING template",1028394,,1028394,Bolivarplaats,1,,,,,
732454,"ANTWERPEN-WEST - FH11","BUILDING template",1101504,,1101504,Waalsekaai,56,,,,,
732455,"ANTWERPEN-WEST - FH11","BUILDING template",1101513,,1101513,Schalienstraat,1,,,,,
732456,"ANTWERPEN-WEST - FH11","BUILDING template",1101514,,1101514,Waalsekaai,62,,,,,
732457,"ANTWERPEN-WEST - FH11","BUILDING template",1101716,,1101716,Gijzelaarsstraat,56,,,,,
732458,"ANTWERPEN-WEST - FH11","BUILDING template",1101816,,1101816,"Graaf van Egmontstraat",8,,,,,
732459,"ANTWERPEN-WEST - FH11","BUILDING template",1160389,,1160389,Gentplaats,4,,,,,
732460,"ANTWERPEN-WEST - FH11","BUILDING template",1277343,,1277343,Verlatstraat,6,,,,,
732461,"ANTWERPEN-WEST - FH11","BUILDING template",1288039,,1288039,"Graaf van Egmontstraat",40,,,,,
732462,"ANTWERPEN-WEST - FH11","BUILDING template",1289945,,1289945,Vorstermanstraat,5,,,,,
732463,"ANTWERPEN-WEST - FH11","BUILDING template",1303250,,1303250,"Graaf van Egmontstraat",24,,,,,
732464,"ANTWERPEN-WEST - FH11","BUILDING template",1326103,,1326103,Museumstraat,5,,,,,
732465,"ANTWERPEN-WEST - FH11","BUILDING template",1340349,,1340349,Museumstraat,40,,,,,
732466,"ANTWERPEN-WEST - FH11","BUILDING template",1346848,,1346848,Museumstraat,3,,,,,
732467,"ANTWERPEN-WEST - FH11","BUILDING template",1451319,,1451319,Verlatstraat,37,,,,,
732468,"ANTWERPEN-WEST - FH11","BUILDING template",1466296,,1466296,Pourbusstraat,10,,,,,
732469,"ANTWERPEN-WEST - FH11","BUILDING template",1482441,,1482441,Museumstraat,14,,,,,
732470,"ANTWERPEN-WEST - FH11","BUILDING template",1482664,,1482664,Verlatstraat,7,,,,,
