OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
777439,"EVERE - FH03","BUILDING template",1003567,,1003567,"J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck",19,,,,,
777440,"EVERE - FH03","BUILDING template",1003568,,1003568,"J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck",24,,,,,
777441,"EVERE - FH03","BUILDING template",1003570,,1003570,"J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck",16,,,,,
777442,"EVERE - FH03","BUILDING template",1003580,,1003580,"Godfroid Kurthstraat - Rue Godfroid Kurth",94,,,,,
777443,"EVERE - FH03","BUILDING template",1003583,,1003583,"Pater Damiaanstraat - Rue Pere Damien",83,,,,,
777444,"EVERE - FH03","BUILDING template",1003584,,1003584,"Godfroid Kurthstraat - Rue Godfroid Kurth",109,,,,,
777445,"EVERE - FH03","BUILDING template",1003585,,1003585,"Godfroid Kurthstraat - Rue Godfroid Kurth",119,,,,,
777446,"EVERE - FH03","BUILDING template",1003586,,1003586,"Godfroid Kurthstraat - Rue Godfroid Kurth",83,,,,,
777447,"EVERE - FH03","BUILDING template",1003587,,1003587,"Godfroid Kurthstraat - Rue Godfroid Kurth",88,,,,,
777448,"EVERE - FH03","BUILDING template",1003588,,1003588,"Godfroid Kurthstraat - Rue Godfroid Kurth",64,,,,,
777449,"EVERE - FH03","BUILDING template",1003589,,1003589,"Godfroid Kurthstraat - Rue Godfroid Kurth",121,,,,,
777450,"EVERE - FH03","BUILDING template",1003590,,1003590,"Godfroid Kurthstraat - Rue Godfroid Kurth",107,,,,,
777451,"EVERE - FH03","BUILDING template",1003591,,1003591,"Godfroid Kurthstraat - Rue Godfroid Kurth",86,,,,,
777452,"EVERE - FH03","BUILDING template",1003592,,1003592,"Avenue Henri Conscience - H. Consciencelaan",2,,,,,
777453,"EVERE - FH03","BUILDING template",1003593,,1003593,"Avenue Henri Conscience - H. Consciencelaan",50,,,,,
777454,"EVERE - FH03","BUILDING template",1003595,,1003595,"Avenue Henri Conscience - H. Consciencelaan",41,,,,,
777455,"EVERE - FH03","BUILDING template",1003596,,1003596,"Avenue Henri Conscience - H. Consciencelaan",24,,,,,
777456,"EVERE - FH03","BUILDING template",1003598,,1003598,"Avenue Henri Conscience - H. Consciencelaan",10,,,,,
777457,"EVERE - FH03","BUILDING template",1003599,,1003599,"Avenue Henri Conscience - H. Consciencelaan",12,,,,,
777458,"EVERE - FH03","BUILDING template",1003600,,1003600,"Avenue Henri Conscience - H. Consciencelaan",8,,,,,
777459,"EVERE - FH03","BUILDING template",1003601,,1003601,"Avenue Henri Conscience - H. Consciencelaan",28,,,,,
777460,"EVERE - FH03","BUILDING template",1003602,,1003602,"Avenue Henri Conscience - H. Consciencelaan",32,,,,,
777461,"EVERE - FH03","BUILDING template",1003603,,1003603,"Avenue Henri Conscience - H. Consciencelaan",82,,,,,
777462,"EVERE - FH03","BUILDING template",1003604,,1003604,"Avenue Henri Conscience - H. Consciencelaan",84,,,,,
777463,"EVERE - FH03","BUILDING template",1003620,,1003620,"August De Boeckstraat - Rue Auguste De Boeck",55,,,,,
777464,"EVERE - FH03","BUILDING template",1003621,,1003621,"August De Boeckstraat - Rue Auguste De Boeck",59,,,,,
