OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
447826,"KNOKKE-HEIST - FH03","(L/B/S)U template",8332323,,12840,Bayauxlaan,53,,,,LU,
447827,"KNOKKE-HEIST - FH03","(L/B/S)U template",8349538,,12840,Bayauxlaan,53,,,,LU,
447828,"KNOKKE-HEIST - FH03","(L/B/S)U template",8353748,,12840,Bayauxlaan,53,,,,LU,
447829,"KNOKKE-HEIST - FH03","(L/B/S)U template",8358791,,12840,Bayauxlaan,53,,,,LU,
447830,"KNOKKE-HEIST - FH03","(L/B/S)U template",8363102,,12840,Bayauxlaan,53,,,,LU,
447831,"KNOKKE-HEIST - FH03","(L/B/S)U template",8356519,,12842,"Jozef Nellenslaan",136,,,,LU,
447832,"KNOKKE-HEIST - FH03","(L/B/S)U template",8365819,,317287,Morgensterpad,1,,,,LU,
447833,"KNOKKE-HEIST - FH03","(L/B/S)U template",8340189,,317289,Morgensterpad,2,,,,LU,
447834,"KNOKKE-HEIST - FH03","(L/B/S)U template",8350154,,317333,Elizabetlaan,178,,,,LU,
447835,"KNOKKE-HEIST - FH03","(L/B/S)U template",8362522,,317335,Elizabetlaan,170,,,,LU,
447836,"KNOKKE-HEIST - FH03","(L/B/S)U template",8366454,,317337,Elizabetlaan,168,,,,LU,
447837,"KNOKKE-HEIST - FH03","(L/B/S)U template",8332405,,317339,Elizabetlaan,162,,,,LU,
447838,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342845,,317341,Elizabetlaan,176,,,,LU,
447839,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342846,,317341,Elizabetlaan,176,,,,LU,
447840,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342847,,317341,Elizabetlaan,176,,,,LU,
447841,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342848,,317341,Elizabetlaan,176,,,,LU,
447842,"KNOKKE-HEIST - FH03","(L/B/S)U template",8343383,,317343,Elizabetlaan,174,,,,LU,
447843,"KNOKKE-HEIST - FH03","(L/B/S)U template",8362521,,317347,Morgensterpad,3,,,,LU,
447844,"KNOKKE-HEIST - FH03","(L/B/S)U template",8345235,,317349,Morgensterpad,8,,,,LU,
447845,"KNOKKE-HEIST - FH03","(L/B/S)U template",8339710,,317351,Morgensterpad,9,,,,LU,
447846,"KNOKKE-HEIST - FH03","(L/B/S)U template",8355962,,317353,Morgensterpad,10,,,,LU,
447847,"KNOKKE-HEIST - FH03","(L/B/S)U template",8364843,,317355,Morgensterpad,11,,,,LU,
447848,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342855,,317357,Morgensterpad,13,,,,LU,
447849,"KNOKKE-HEIST - FH03","(L/B/S)U template",8362523,,317359,Morgensterpad,14,,,,LU,
447850,"KNOKKE-HEIST - FH03","(L/B/S)U template",8353143,,317392,Meerlaan,54,,,,LU,
447851,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342323,,317394,Meerlaan,62,,,,LU,
447852,"KNOKKE-HEIST - FH03","(L/B/S)U template",8362520,,317396,Meerlaan,64,,,,LU,
447853,"KNOKKE-HEIST - FH03","(L/B/S)U template",8355432,,317400,Meerlaan,74,,,,LU,
447854,"KNOKKE-HEIST - FH03","(L/B/S)U template",8331783,,317404,Zegemeerpad,2,,,,LU,
447855,"KNOKKE-HEIST - FH03","(L/B/S)U template",8334009,,317406,Zegemeerpad,3,,,,LU,
447856,"KNOKKE-HEIST - FH03","(L/B/S)U template",8338244,,317406,Zegemeerpad,3,,,,LU,
447857,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342331,,317406,Zegemeerpad,3,,,,LU,
447858,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342332,,317406,Zegemeerpad,3,,,,LU,
447859,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342333,,317406,Zegemeerpad,3,,,,LU,
447860,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342334,,317406,Zegemeerpad,3,,,,LU,
447861,"KNOKKE-HEIST - FH03","(L/B/S)U template",8342335,,317406,Zegemeerpad,3,,,,LU,
447862,"KNOKKE-HEIST - FH03","(L/B/S)U template",8346820,,317406,Zegemeerpad,3,,,,LU,
447863,"KNOKKE-HEIST - FH03","(L/B/S)U template",8346821,,317406,Zegemeerpad,3,,,,LU,
447864,"KNOKKE-HEIST - FH03","(L/B/S)U template",8346822,,317406,Zegemeerpad,3,,,,LU,
447865,"KNOKKE-HEIST - FH03","(L/B/S)U template",8351155,,317406,Zegemeerpad,3,,,,LU,
447866,"KNOKKE-HEIST - FH03","(L/B/S)U template",8355974,,317406,Zegemeerpad,3,,,,LU,
447867,"KNOKKE-HEIST - FH03","(L/B/S)U template",8355975,,317406,Zegemeerpad,3,,,,LU,
447868,"KNOKKE-HEIST - FH03","(L/B/S)U template",8355976,,317406,Zegemeerpad,3,,,,LU,
447869,"KNOKKE-HEIST - FH03","(L/B/S)U template",8355977,,317406,Zegemeerpad,3,,,,LU,
447870,"KNOKKE-HEIST - FH03","(L/B/S)U template",8355978,,317406,Zegemeerpad,3,,,,LU,
447871,"KNOKKE-HEIST - FH03","(L/B/S)U template",8360409,,317406,Zegemeerpad,3,,,,LU,
447872,"KNOKKE-HEIST - FH03","(L/B/S)U template",8360410,,317406,Zegemeerpad,3,,,,LU,
447873,"KNOKKE-HEIST - FH03","(L/B/S)U template",8360411,,317406,Zegemeerpad,3,,,,LU,
447874,"KNOKKE-HEIST - FH03","(L/B/S)U template",8360412,,317406,Zegemeerpad,3,,,,LU,
447875,"KNOKKE-HEIST - FH03","(L/B/S)U template",8364856,,317406,Zegemeerpad,3,,,,LU,
447876,"KNOKKE-HEIST - FH03","(L/B/S)U template",8364857,,317406,Zegemeerpad,3,,,,LU,
447877,"KNOKKE-HEIST - FH03","(L/B/S)U template",8364858,,317406,Zegemeerpad,3,,,,LU,
447878,"KNOKKE-HEIST - FH03","(L/B/S)U template",8337699,,317408,Georginapad,7,,,,LU,
447879,"KNOKKE-HEIST - FH03","(L/B/S)U template",8363717,,317410,Georginapad,5,,,,LU,
447880,"KNOKKE-HEIST - FH03","(L/B/S)U template",8341309,,317412,Georginapad,6,,,,LU,
447881,"KNOKKE-HEIST - FH03","(L/B/S)U template",8350648,,317413,Georginapad,4,,,,LU,
447882,"KNOKKE-HEIST - FH03","(L/B/S)U template",8339258,,317796,Sterrenlaan,1,,,,LU,
447883,"KNOKKE-HEIST - FH03","(L/B/S)U template",8343416,,317796,Sterrenlaan,1,,,,LU,
447884,"KNOKKE-HEIST - FH03","(L/B/S)U template",8347884,,317796,Sterrenlaan,1,,,,LU,
447885,"KNOKKE-HEIST - FH03","(L/B/S)U template",8347885,,317796,Sterrenlaan,1,,,,LU,
447886,"KNOKKE-HEIST - FH03","(L/B/S)U template",8347886,,317796,Sterrenlaan,1,,,,LU,
447887,"KNOKKE-HEIST - FH03","(L/B/S)U template",8352110,,317796,Sterrenlaan,1,,,,LU,
447888,"KNOKKE-HEIST - FH03","(L/B/S)U template",8357038,,317796,Sterrenlaan,1,,,,LU,
447889,"KNOKKE-HEIST - FH03","(L/B/S)U template",8357039,,317796,Sterrenlaan,1,,,,LU,
447890,"KNOKKE-HEIST - FH03","(L/B/S)U template",8357040,,317796,Sterrenlaan,1,,,,LU,
447891,"KNOKKE-HEIST - FH03","(L/B/S)U template",8364266,,317801,Meerlaan,78,,,,LU,
447892,"KNOKKE-HEIST - FH03","(L/B/S)U template",8348971,,317803,"Jozef Nellenslaan",104,,,,LU,
