OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
201837,"ROESELARE - FH01","BUILDING template",5580428,,5580428,Citroenstraat,18,,,,,Y
201838,"ROESELARE - FH01","BUILDING template",871503,,871503,Citroenstraat,20,,,,,Y
201839,"ROESELARE - FH01","BUILDING template",5506302,,5506302,"De Munt",1,,,,,Y
201840,"ROESELARE - FH01","BUILDING template",5735658,,5735658,"De Munt",2,,,,,Y
201841,"ROESELARE - FH01","BUILDING template",6059614,,6059614,"De Munt",3,,,,,Y
201842,"ROESELARE - FH01","BUILDING template",6059615,,6059615,"De Munt",4,,,,,Y
201843,"ROESELARE - FH01","BUILDING template",5753090,,5753090,"De Munt",5,,,,,Y
201844,"ROESELARE - FH01","BUILDING template",6059616,,6059616,"De Munt",6,,,,,Y
201845,"ROESELARE - FH01","BUILDING template",5506303,,5506303,"De Munt",7,,,,,Y
201846,"ROESELARE - FH01","BUILDING template",5703853,,5703853,"De Munt",8,,,,,Y
201847,"ROESELARE - FH01","BUILDING template",5940820,,5940820,"De Munt",10,,,,,Y
201848,"ROESELARE - FH01","BUILDING template",6059450,,6059450,"De Munt",11,,,,,Y
201849,"ROESELARE - FH01","BUILDING template",6059619,,6059619,"De Munt",12,,,,,Y
201850,"ROESELARE - FH01","BUILDING template",5939599,,5939599,"De Munt",13,,,,,Y
201851,"ROESELARE - FH01","BUILDING template",5913650,,5913650,"De Munt",14,,,,,Y
201852,"ROESELARE - FH01","BUILDING template",5934288,,5934288,"De Munt",17,,,,,Y
201853,"ROESELARE - FH01","BUILDING template",5934289,,5934289,"De Munt",20,,,,,Y
201854,"ROESELARE - FH01","BUILDING template",5769611,,5769611,"De Munt",23,,,,,Y
201855,"ROESELARE - FH01","BUILDING template",5808967,,5808967,"De Munt",24,,,,,Y
201856,"ROESELARE - FH01","BUILDING template",6059625,,6059625,"De Munt",27,,,,,Y
201857,"ROESELARE - FH01","BUILDING template",5812942,,5812942,"De Munt",28,,,,,Y
201858,"ROESELARE - FH01","BUILDING template",6059626,,6059626,"De Munt",29,,,,,Y
201859,"ROESELARE - FH01","BUILDING template",5856946,,5856946,"De Munt",30,,,,,Y
201860,"ROESELARE - FH01","BUILDING template",5990173,,5990173,"De Munt",32,,,,,Y
201861,"ROESELARE - FH01","BUILDING template",5821228,,5821228,"De Munt",33,,,,,Y
201862,"ROESELARE - FH01","BUILDING template",5958569,,5958569,"De Munt",34,,,,,Y
201863,"ROESELARE - FH01","BUILDING template",5909541,,5909541,"De Munt",35,,,,,Y
201864,"ROESELARE - FH01","BUILDING template",5506300,,5506300,"De Munt",36,,,,,Y
201865,"ROESELARE - FH01","BUILDING template",5540169,,5540169,"De Munt",37,,,,,Y
201866,"ROESELARE - FH01","BUILDING template",5757461,,5757461,"De Munt",38,,,,,Y
201867,"ROESELARE - FH01","BUILDING template",5544866,,5544866,"De Munt",39,,,,,Y
201868,"ROESELARE - FH01","BUILDING template",5525788,,5525788,"De Munt",40,,,,,Y
201869,"ROESELARE - FH01","BUILDING template",5696430,,5696430,"De Munt",41,,,,,Y
201870,"ROESELARE - FH01","BUILDING template",6059627,,6059627,"De Munt",42,,,,,Y
201871,"ROESELARE - FH01","BUILDING template",6059628,,6059628,"De Munt",43,,,,,Y
201872,"ROESELARE - FH01","BUILDING template",5506298,,5506298,"De Munt",44,,,,,Y
201873,"ROESELARE - FH01","BUILDING template",874361,,874361,"Grote Markt",17,,,,,Y
201874,"ROESELARE - FH01","BUILDING template",3417156,,3417156,"Grote Markt",18,,,,,Y
201875,"ROESELARE - FH01","BUILDING template",3417157,,3417157,"Grote Markt",19,,,,,Y
201876,"ROESELARE - FH01","BUILDING template",3417158,,3417158,"Grote Markt",20,,,,,Y
201877,"ROESELARE - FH01","BUILDING template",3417159,,3417159,"Grote Markt",21,,,,,Y
201878,"ROESELARE - FH01","BUILDING template",3417160,,3417160,"Grote Markt",22,,,,,Y
201879,"ROESELARE - FH01","BUILDING template",3417161,,3417161,"Grote Markt",23,,,,,Y
201880,"ROESELARE - FH01","BUILDING template",3415831,,3415831,"Henri Horriestraat",5,,,,,Y
201881,"ROESELARE - FH01","BUILDING template",878414,,878414,"Henri Horriestraat",7,,,,,Y
201882,"ROESELARE - FH01","BUILDING template",878415,,878415,"Henri Horriestraat",9,,,,,Y
201883,"ROESELARE - FH01","BUILDING template",4367565,,4367565,"Henri Horriestraat",15,,,,,Y
201884,"ROESELARE - FH01","BUILDING template",4367572,,4367572,"Henri Horriestraat",27,,,,,Y
201885,"ROESELARE - FH01","BUILDING template",878532,,878532,"Henri Horriestraat",31,,,,,Y
201887,"ROESELARE - FH01","BUILDING template",878537,,878537,"Henri Horriestraat",35,,,,,Y
201888,"ROESELARE - FH01","BUILDING template",3415849,,3415849,"Henri Horriestraat",37,,,,,Y
201889,"ROESELARE - FH01","BUILDING template",3415851,,3415851,"Henri Horriestraat",39,,,,,Y
