OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
360317,"HASSELT - FH06","BUILDING template",662065,,662065,"Abraham Orteliuslaan",1,,,,,Y
360318,"HASSELT - FH06","BUILDING template",662064,,662064,"Abraham Orteliuslaan",2,,,,,Y
360319,"HASSELT - FH06","BUILDING template",662063,,662063,"Abraham Orteliuslaan",3,,,,,Y
360320,"HASSELT - FH06","BUILDING template",662062,,662062,"Abraham Orteliuslaan",4,,,,,Y
360321,"HASSELT - FH06","BUILDING template",666215,,666215,"Abraham Orteliuslaan",5,,,,,Y
360322,"HASSELT - FH06","BUILDING template",662061,,662061,"Abraham Orteliuslaan",6,,,,,Y
360323,"HASSELT - FH06","BUILDING template",666213,,666213,"Abraham Orteliuslaan",8,,,,,Y
360324,"HASSELT - FH06","BUILDING template",666216,,666216,"Abraham Orteliuslaan",9,,,,,Y
360325,"HASSELT - FH06","BUILDING template",666214,,666214,"Abraham Orteliuslaan",10,,,,,Y
360326,"HASSELT - FH06","BUILDING template",2432827,,2432827,"Abraham Orteliuslaan",12,,,,,Y
360327,"HASSELT - FH06","BUILDING template",2432830,,2432830,"Abraham Orteliuslaan",18,,,,,Y
360328,"HASSELT - FH06","BUILDING template",2432831,,2432831,"Abraham Orteliuslaan",20,,,,,Y
360329,"HASSELT - FH06","BUILDING template",2432832,,2432832,"Abraham Orteliuslaan",22,,,,,Y
360330,"HASSELT - FH06","BUILDING template",2432833,,2432833,"Abraham Orteliuslaan",24,,,,,Y
360331,"HASSELT - FH06","BUILDING template",2432835,,2432835,"Abraham Orteliuslaan",26,,,,,Y
360332,"HASSELT - FH06","BUILDING template",2432837,,2432837,"Abraham Orteliuslaan",28,,,,,Y
360333,"HASSELT - FH06","BUILDING template",3937568,,3937568,"Abraham Orteliuslaan",30,,,,,Y
