OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
78684,"HASSELT - FH01","BUILDING template",6162632,,6162632,Harmoniestraat,43,,,,,
78723,"HASSELT - FH01","BUILDING template",2415139,,2415139,Gaarveldstraat,61,,,,,
78724,"HASSELT - FH01","BUILDING template",2415142,,2415142,Gaarveldstraat,63,,,,,
78725,"HASSELT - FH01","BUILDING template",2415144,,2415144,Gaarveldstraat,65,,,,,
78726,"HASSELT - FH01","BUILDING template",2415146,,2415146,Gaarveldstraat,67,,,,,
78727,"HASSELT - FH01","BUILDING template",707133,,707133,Gaarveldstraat,69,,,,,
78728,"HASSELT - FH01","BUILDING template",707132,,707132,Gaarveldstraat,71,,,,,
78729,"HASSELT - FH01","BUILDING template",2415157,,2415157,Gaarveldstraat,73,,,,,
78730,"HASSELT - FH01","BUILDING template",2415160,,2415160,Gaarveldstraat,75,,,,,
78731,"HASSELT - FH01","BUILDING template",2415163,,2415163,Gaarveldstraat,77,,,,,
78732,"HASSELT - FH01","BUILDING template",2415165,,2415165,Gaarveldstraat,79,,,,,
78733,"HASSELT - FH01","BUILDING template",2415167,,2415167,Gaarveldstraat,81,,,,,
78734,"HASSELT - FH01","BUILDING template",1338325,,1338325,Gaarveldstraat,83,,,,,
78735,"HASSELT - FH01","BUILDING template",3937313,,3937313,Gaarveldstraat,85,,,,,
78736,"HASSELT - FH01","BUILDING template",2415174,,2415174,Gaarveldstraat,87,,,,,
78737,"HASSELT - FH01","BUILDING template",2415176,,2415176,Gaarveldstraat,89,,,,,
78738,"HASSELT - FH01","BUILDING template",707112,,707112,Gaarveldstraat,91,,,,,
78739,"HASSELT - FH01","BUILDING template",2415182,,2415182,Gaarveldstraat,93,,,,,
78740,"HASSELT - FH01","BUILDING template",4901561,,4901561,Gaarveldstraat,95,,,,,
78741,"HASSELT - FH01","BUILDING template",4264299,,4264299,Gaarveldstraat,97,,,,,
78742,"HASSELT - FH01","BUILDING template",4182375,,4182375,Gaarveldstraat,99,,,,,
78743,"HASSELT - FH01","BUILDING template",4901564,,4901564,Gaarveldstraat,101,,,,,
78744,"HASSELT - FH01","BUILDING template",4216710,,4216710,Gaarveldstraat,103,,,,,
78745,"HASSELT - FH01","BUILDING template",2415190,,2415190,Gaarveldstraat,105,,,,,
78746,"HASSELT - FH01","BUILDING template",4901565,,4901565,Gaarveldstraat,107,,,,,
78747,"HASSELT - FH01","BUILDING template",4901567,,4901567,Gaarveldstraat,109,,,,,
78748,"HASSELT - FH01","BUILDING template",2415194,,2415194,Gaarveldstraat,111,,,,,
78749,"HASSELT - FH01","BUILDING template",4901570,,4901570,Gaarveldstraat,113,,,,,
78750,"HASSELT - FH01","BUILDING template",707110,,707110,Gaarveldstraat,115,,,,,
78751,"HASSELT - FH01","BUILDING template",4179593,,4179593,Gaarveldstraat,69,B,,,,
