OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
7713,"LEUVEN - FH03","BUILDING template",263427,,Rijschoolstraat,31,,,,,
7714,"LEUVEN - FH03","BUILDING template",3041391,,Rijschoolstraat,33,,,,,
7715,"LEUVEN - FH03","BUILDING template",3041392,,Rijschoolstraat,35,,,,,
7716,"LEUVEN - FH03","BUILDING template",3041394,,Rijschoolstraat,37,,,,,
7717,"LEUVEN - FH03","BUILDING template",3041396,,Rijschoolstraat,39,,,,,
7718,"LEUVEN - FH03","BUILDING template",3041398,,Rijschoolstraat,41,,,,,
7719,"LEUVEN - FH03","BUILDING template",3041400,,Rijschoolstraat,43,,,,,
7720,"LEUVEN - FH03","BUILDING template",263429,,Rijschoolstraat,45,,,,,
7721,"LEUVEN - FH03","BUILDING template",5738543,,Rijschoolstraat,31,A,,,,
7722,"LEUVEN - FH03","BUILDING template",174301,,Sint-Maartenstraat,33,,,,,
7723,"LEUVEN - FH03","BUILDING template",3044878,,Sint-Maartenstraat,35,,,,,
7724,"LEUVEN - FH03","BUILDING template",3044880,,Sint-Maartenstraat,37,,,,,
7725,"LEUVEN - FH03","BUILDING template",3044881,,Sint-Maartenstraat,41,,,,,
7726,"LEUVEN - FH03","BUILDING template",174303,,Sint-Maartenstraat,43,,,,,
7727,"LEUVEN - FH03","BUILDING template",173898,,Sint-Maartenstraat,45,,,,,
7728,"LEUVEN - FH03","BUILDING template",3044885,,Sint-Maartenstraat,47,,,,,
7729,"LEUVEN - FH03","BUILDING template",3044888,,Sint-Maartenstraat,49,,,,,
7730,"LEUVEN - FH03","BUILDING template",4798981,,Sint-Maartenstraat,51,,,,,
7731,"LEUVEN - FH03","BUILDING template",173897,,Sint-Maartenstraat,53,,,,,
7732,"LEUVEN - FH03","BUILDING template",173896,,Sint-Maartenstraat,55,,,,,
7733,"LEUVEN - FH03","BUILDING template",1023643,,"Vital Decosterstraat",56,,,,,
7734,"LEUVEN - FH03","BUILDING template",3014424,,"Vital Decosterstraat",58,,,,,
7735,"LEUVEN - FH03","BUILDING template",3014428,,"Vital Decosterstraat",60,,,,,
7736,"LEUVEN - FH03","BUILDING template",3014433,,"Vital Decosterstraat",64,,,,,
7737,"LEUVEN - FH03","BUILDING template",182282,,"Vital Decosterstraat",66,,,,,
7738,"LEUVEN - FH03","BUILDING template",3014440,,"Vital Decosterstraat",68,,,,,
7739,"LEUVEN - FH03","BUILDING template",182281,,"Vital Decosterstraat",70,,,,,
7740,"LEUVEN - FH03","BUILDING template",182280,,"Vital Decosterstraat",72,,,,,
7741,"LEUVEN - FH03","BUILDING template",3014445,,"Vital Decosterstraat",74,,,,,
7742,"LEUVEN - FH03","BUILDING template",182278,,"Vital Decosterstraat",76,,,,,
7743,"LEUVEN - FH03","BUILDING template",3014451,,"Vital Decosterstraat",78,,,,,
7744,"LEUVEN - FH03","BUILDING template",3941136,,"Vital Decosterstraat",80,,,,,
7745,"LEUVEN - FH03","BUILDING template",4037870,,"Vital Decosterstraat",82,,,,,
7746,"LEUVEN - FH03","BUILDING template",182261,,"Vital Decosterstraat",84,,,,,
7747,"LEUVEN - FH03","BUILDING template",3014458,,"Vital Decosterstraat",86,,,,,
7748,"LEUVEN - FH03","BUILDING template",5570000,,"Vital Decosterstraat",88,,,,,
7749,"LEUVEN - FH03","BUILDING template",380510,,"Vital Decosterstraat",90,,,,,
7750,"LEUVEN - FH03","BUILDING template",3014466,,"Vital Decosterstraat",92,,,,,
7751,"LEUVEN - FH03","BUILDING template",4785551,,"Vital Decosterstraat",94,,,,,
7752,"LEUVEN - FH03","BUILDING template",3014468,,"Vital Decosterstraat",96,,,,,
7753,"LEUVEN - FH03","BUILDING template",380507,,"Vital Decosterstraat",100,,,,,
7754,"LEUVEN - FH03","BUILDING template",380573,,"Vital Decosterstraat",102,,,,,
7755,"LEUVEN - FH03","(L/B/S)U template",10523844,,Rijschoolstraat,31,,,,BU,
7756,"LEUVEN - FH03","(L/B/S)U template",1912555,,Rijschoolstraat,33,,,,LU,
7758,"LEUVEN - FH03","(L/B/S)U template",1913686,,Rijschoolstraat,35,,,,LU,
7759,"LEUVEN - FH03","(L/B/S)U template",1914801,,Rijschoolstraat,37,,,,LU,
7760,"LEUVEN - FH03","(L/B/S)U template",1915802,,Rijschoolstraat,39,,,,LU,
7761,"LEUVEN - FH03","(L/B/S)U template",1917733,,Rijschoolstraat,41,,,,LU,
7762,"LEUVEN - FH03","(L/B/S)U template",1918545,,Rijschoolstraat,43,,,,LU,
7763,"LEUVEN - FH03","(L/B/S)U template",1919408,,Rijschoolstraat,45,,,,LU,
7764,"LEUVEN - FH03","(L/B/S)U template",10917561,,Rijschoolstraat,45,,,,LU,
7765,"LEUVEN - FH03","(L/B/S)U template",10523346,,Rijschoolstraat,31,A,,,LU,
7766,"LEUVEN - FH03","(L/B/S)U template",10523368,,Rijschoolstraat,31,A,,,LU,
7767,"LEUVEN - FH03","(L/B/S)U template",10523689,,Rijschoolstraat,31,A,,,LU,
7768,"LEUVEN - FH03","(L/B/S)U template",10523731,,Rijschoolstraat,31,A,,,LU,
7769,"LEUVEN - FH03","(L/B/S)U template",1912556,,Sint-Maartenstraat,33,,,,BU,
7770,"LEUVEN - FH03","(L/B/S)U template",1913687,,Sint-Maartenstraat,35,,,,LU,
7771,"LEUVEN - FH03","(L/B/S)U template",1914802,,Sint-Maartenstraat,37,,,,BU,
7772,"LEUVEN - FH03","(L/B/S)U template",1917732,,Sint-Maartenstraat,41,,,,BU,
7773,"LEUVEN - FH03","(L/B/S)U template",1918423,,Sint-Maartenstraat,43,,,,LU,
7774,"LEUVEN - FH03","(L/B/S)U template",1918425,,Sint-Maartenstraat,43,,,,LU,
7775,"LEUVEN - FH03","(L/B/S)U template",1918427,,Sint-Maartenstraat,43,,,,LU,
7776,"LEUVEN - FH03","(L/B/S)U template",1918444,,Sint-Maartenstraat,43,,,,LU,
7777,"LEUVEN - FH03","(L/B/S)U template",1918445,,Sint-Maartenstraat,43,,,,LU,
7778,"LEUVEN - FH03","(L/B/S)U template",1918447,,Sint-Maartenstraat,43,,,,LU,
7779,"LEUVEN - FH03","(L/B/S)U template",1918449,,Sint-Maartenstraat,43,,,,LU,
7780,"LEUVEN - FH03","(L/B/S)U template",1918467,,Sint-Maartenstraat,43,,,,LU,
7781,"LEUVEN - FH03","(L/B/S)U template",1918468,,Sint-Maartenstraat,43,,,,LU,
7782,"LEUVEN - FH03","(L/B/S)U template",1918469,,Sint-Maartenstraat,43,,,,LU,
7783,"LEUVEN - FH03","(L/B/S)U template",1918470,,Sint-Maartenstraat,43,,,,LU,
7784,"LEUVEN - FH03","(L/B/S)U template",1918486,,Sint-Maartenstraat,43,,,,LU,
7785,"LEUVEN - FH03","(L/B/S)U template",1918487,,Sint-Maartenstraat,43,,,,LU,
7786,"LEUVEN - FH03","(L/B/S)U template",1918488,,Sint-Maartenstraat,43,,,,LU,
7787,"LEUVEN - FH03","(L/B/S)U template",1918489,,Sint-Maartenstraat,43,,,,LU,
7788,"LEUVEN - FH03","(L/B/S)U template",1918491,,Sint-Maartenstraat,43,,,,LU,
7789,"LEUVEN - FH03","(L/B/S)U template",1918492,,Sint-Maartenstraat,43,,,,LU,
7790,"LEUVEN - FH03","(L/B/S)U template",1918493,,Sint-Maartenstraat,43,,,,LU,
7791,"LEUVEN - FH03","(L/B/S)U template",1918494,,Sint-Maartenstraat,43,,,,LU,
7792,"LEUVEN - FH03","(L/B/S)U template",1918497,,Sint-Maartenstraat,43,,,,LU,
7793,"LEUVEN - FH03","(L/B/S)U template",1918498,,Sint-Maartenstraat,43,,,,LU,
