File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;1;11347128;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'03/04/2020 15:40:41;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;2;11416352;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:42;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;3;11416353;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:44;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;4;11416354;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:46;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;5;11416355;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:48;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;6;11416356;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:50;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;7;11416357;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:53;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;8;11416358;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:55;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;9;11416359;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:57;;Y;;;;'28/05/2020 14:58:39
;;;Zoning;21032478;'20200326171606;W04-C-Evere-FH03;21032478;'20200326171606;W04-C-Evere-FH03;30246;FTTH-Cu;35325572;'20200528221446;'Languedocwandelwegen 1-1A-1B-1C-1D-1E-1G;;;;;;;33157672;'20200528221446;3916124;'890600;'16085;Allées du Languedoc;'1;'A;1140;Evere;;'152571;'173502;';N;IRREG;7;4;Unknown;Unknown;;None;;;';IFH_BATCH;'28/05/2020 15:14:52;;Y;;;;'28/05/2020 14:58:39;10;11416360;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'28/05/2020 16:30:59;;Y;;;;'28/05/2020 14:58:39
