BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
5978286;Napelsstraat 71-73;Napelsstraat;71;;C;2020-06-11;2019-10-07;;
5963666;Napelsstraat 71-73;Napelsstraat;71;;C;2020-06-11;2019-10-07;;
4128343;Noorderplaats 5-7-9;Noorderplaats;9;;A;2020-03-02;2019-10-15;;
2028886;Noorderplaats 5-7-9;Noorderplaats;9;;A;2020-03-02;2019-10-15;;
4128344;Noorderplaats 5-7-9;Noorderplaats;9;;A;2020-03-02;2019-10-15;;
4031647;Indiestraat 22_Genuastraat 5-7;Genuastraat;5;;XC;;2020-06-12;;
5575585;Indiestraat 22_Genuastraat 5-7;Genuastraat;5;;XC;;2020-06-12;;
108941;Indiestraat 22_Genuastraat 5-7;Genuastraat;5;;XC;;2020-06-12;;
186516;Oudeleeuwenrui 7-11;;;;;2020-03-19;;;
6005416;Oudeleeuwenrui 7-11;;;;;2020-03-19;;;
186517;Oudeleeuwenrui 13-15;Oudeleeuwenrui;13;;A;;2020-03-19;;
1986469;Oudeleeuwenrui 13-15;Oudeleeuwenrui;13;;A;;2020-03-19;;
1734637;Sint-Aldegondiskaai 56-58;;;;;2019-10-22;;;
1734636;Sint-Aldegondiskaai 56-58;;;;;2019-10-22;;;
1781985;Sint-Aldegondiskaai 18-20-24_Adriaan Brouwerstraat 13;;;;;2019-10-22;;;
1734627;Sint-Aldegondiskaai 18-20-24_Adriaan Brouwerstraat 13;;;;;2019-10-22;;;
1734625;Sint-Aldegondiskaai 18-20-24_Adriaan Brouwerstraat 13;;;;;2019-10-22;;;
4513307;Sint-Aldegondiskaai 18-20-24_Adriaan Brouwerstraat 13;;;;;2019-10-22;;;
1782029;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;XA;2019-10-22;2020-03-29;;
1782040;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;XA;2019-10-22;2020-03-29;;
59279;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;XA;2019-10-22;2020-03-29;;
3962177;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;XA;2019-10-22;2020-03-29;;
3962176;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;XA;2019-10-22;2020-03-29;;
6242346;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;XA;2019-10-22;2020-03-29;;
59276;Sint-Aldegondiskaai 30_Adriaan Brouwerstraat 17;;;;;2019-10-22;;;
59271;Sint-Aldegondiskaai 30_Adriaan Brouwerstraat 17;;;;;2019-10-22;;;
1735094;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
1735095;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
108075;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
108074;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
1735096;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
108073;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
1735088;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
108076;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
108078;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2019-10-07;2020-03-10;;
