BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
1438270;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
1448986;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
1488600;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
2061259;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
2061261;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
6629698;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
55295;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
2061265;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
4096171;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
4256532;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;23;;XC;2020-07-06;2020-07-01;;
1739660;1739660;;;;;2020-07-17;;;
1921170;1921170;;;;;2020-06-26;;;
2061280;2061280;;;;;2020-06-26;;;
