BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr
976561;976561;Prekersstraat;10;;C;;2019-12-24
3926832;3926832;;;;;2020-06-26;
2061336;2061336;Lange Vlierstraat;1;B;D;;2019-12-24
1230196;1230196;;;;;2020-07-17;
4266261;Drukkerijstraat 10-12-14-16;Drukkerijstraat;16;;A;;2019-12-24
4150982;Drukkerijstraat 10-12-14-16;Drukkerijstraat;16;;A;;2019-12-24
48917;Drukkerijstraat 10-12-14-16;Drukkerijstraat;16;;A;;2019-12-24
1847073;Drukkerijstraat 10-12-14-16;Drukkerijstraat;16;;A;;2019-12-24
1286850;1286850;Scheldestraat;47;;C;;2019-12-24
2047284;2047284;Korte Riddersstraat;15;1;;;2019-12-24
3928245;3928245;Korte Riddersstraat;17;1;;;2019-12-24
1520006;1520006;;;;;2020-06-26;
973302;973302;Kronenburgstraat;27;;A;;2020-01-31
