BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
2765089;2765089;;;;;2020-08-18;;;
5941738;5941738;Koningslaan;52;A;C;;2019-10-25;;
6326539;Nieuwstraat 12_NatiÃ«nlaan 53;Nieuwstraat;12;;B;;2019-10-25;;
84475;Nieuwstraat 12_NatiÃ«nlaan 53;Nieuwstraat;12;;B;;2019-10-25;;
2759891;2759891;Fincentlaan;24;;XC;;;NOK;NOK
2766265;2766265;Smedenstraat;47;;C;;2019-12-05;;
2761828;2761828;Koningslaan;52;;C;;2019-10-25;;
2761856;2761856;Koningslaan;80;;XC;;2020-07-06;;
2761890;2761890;Koningslaan;120;;XC;;;NOK;NOK
;Sint-Jozefsstraat 20-22;;;;;2019-10-25;;;
;Vlamingstraat 81-83A-85-91-91A-91B;;;;;2019-10-25;;;
;Kerkstraat 30-32-34-36;;;;;2020-07-06;;;
;Moefe 1A-1B;;;;;2020-08-18;;;
;de Vrièrestraat 41_Stadhuisstraat 16;;;;;2019-12-05;;;
;Nieuwstraat 12_Natiënlaan 53;;;;;2019-10-25;;;
