BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
3944124;3944124;;;;;2020-09-28;;;
3944167;Onze-Lieve-Vrouwestraat 84_Ravenbergstraat 1;;;;;2020-09-25;;;
388489;Onze-Lieve-Vrouwestraat 84_Ravenbergstraat 1;;;;;2020-09-25;;;
3036035;Hanswijkstraat 15-17-19;;;;;2020-09-25;;;
3036026;Hanswijkstraat 15-17-19;;;;;2020-09-25;;;
3036030;Hanswijkstraat 15-17-19;;;;;2020-09-25;;;
3040843;3040843;;;;;2020-09-25;;;
3944164;3944164;;;;;2020-09-25;;;
3042462;3042462;;;;;2020-09-25;;;
3047964;3047964;;;;;2020-09-25;;;
