BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
3500614;Kokkelbeekstraat 61-63;;;;;2020-10-06;;;
3500618;Kokkelbeekstraat 61-63;;;;;2020-10-06;;;
69459;Dokter Verdurmenstraat 1_Stationsstraat 69-71;;;;;2020-10-06;;;
69568;Dokter Verdurmenstraat 1_Stationsstraat 69-71;;;;;2020-10-06;;;
3515361;Dokter Verdurmenstraat 1_Stationsstraat 69-71;;;;;2020-10-06;;;
103755;Plezantstraat 48-50-52-54;;;;;2020-10-06;;;
3511512;Plezantstraat 48-50-52-54;;;;;2020-10-06;;;
3948771;Plezantstraat 48-50-52-54;;;;;2020-10-06;;;
3511501;Plezantstraat 48-50-52-54;;;;;2020-10-06;;;
69681;69681;;;;;2020-10-06;;;
104881;Grote Markt 26-27-28-29;;;;;2020-10-06;;;
1325909;Grote Markt 26-27-28-29;;;;;2020-10-06;;;
3503437;Grote Markt 26-27-28-29;;;;;2020-10-06;;;
104880;Grote Markt 26-27-28-29;;;;;2020-10-06;;;
3515443;3515443;;;;;2020-10-12;;;
4461776;Hendrik Heymanplein 150-152-154-156;;;;;2020-10-06;;;
3494167;Hendrik Heymanplein 150-152-154-156;;;;;2020-10-06;;;
96744;Hendrik Heymanplein 150-152-154-156;;;;;2020-10-06;;;
96745;Hendrik Heymanplein 150-152-154-156;;;;;2020-10-06;;;
3494173;Hendrik Heymanplein 158-160-162-164-166-168;;;;;2020-10-06;;;
4461777;Hendrik Heymanplein 158-160-162-164-166-168;;;;;2020-10-06;;;
3494175;Hendrik Heymanplein 158-160-162-164-166-168;;;;;2020-10-06;;;
3494179;Hendrik Heymanplein 158-160-162-164-166-168;;;;;2020-10-06;;;
3494182;Hendrik Heymanplein 158-160-162-164-166-168;;;;;2020-10-06;;;
4461779;Hendrik Heymanplein 158-160-162-164-166-168;;;;;2020-10-06;;;
3494194;Hendrik Heymanplein 178-180-182-184-186-188;;;;;2020-10-06;;;
3494200;Hendrik Heymanplein 178-180-182-184-186-188;;;;;2020-10-06;;;
3494203;Hendrik Heymanplein 178-180-182-184-186-188;;;;;2020-10-06;;;
3494206;Hendrik Heymanplein 178-180-182-184-186-188;;;;;2020-10-06;;;
3494209;Hendrik Heymanplein 178-180-182-184-186-188;;;;;2020-10-06;;;
4461714;Hendrik Heymanplein 178-180-182-184-186-188;;;;;2020-10-06;;;
4442068;4442068;;;;;2020-08-04;;;
96743;Hendrik Heymanplein 194-196-198-200;;;;;2020-10-06;;;
4461718;Hendrik Heymanplein 194-196-198-200;;;;;2020-10-06;;;
3494221;Hendrik Heymanplein 194-196-198-200;;;;;2020-10-06;;;
3494224;Hendrik Heymanplein 194-196-198-200;;;;;2020-10-06;;;
3494238;Hendrik Heymanplein 206-208-210-212-214-216;;;;;2020-10-06;;;
3494241;Hendrik Heymanplein 206-208-210-212-214-216;;;;;2020-10-06;;;
3494245;Hendrik Heymanplein 206-208-210-212-214-216;;;;;2020-10-06;;;
3494247;Hendrik Heymanplein 206-208-210-212-214-216;;;;;2020-10-06;;;
4065074;Hendrik Heymanplein 206-208-210-212-214-216;;;;;2020-10-06;;;
3494251;Hendrik Heymanplein 206-208-210-212-214-216;;;;;2020-10-06;;;
106427;106427;;;;;2020-10-06;;;
3529762;Kroonmolenstraat 9-11-13-15-17-19;;;;;2020-10-06;;;
4442121;Kroonmolenstraat 9-11-13-15-17-19;;;;;2020-10-06;;;
3529759;Kroonmolenstraat 9-11-13-15-17-19;;;;;2020-10-06;;;
3529761;Kroonmolenstraat 9-11-13-15-17-19;;;;;2020-10-06;;;
3529765;Kroonmolenstraat 9-11-13-15-17-19;;;;;2020-10-06;;;
3529769;Kroonmolenstraat 9-11-13-15-17-19;;;;;2020-10-06;;;
96739;Hendrik Heymanplein 222-224;;;;;2020-10-06;;;
4271951;Hendrik Heymanplein 222-224;;;;;2020-10-06;;;
3494262;Hendrik Heymanplein 230-232-234-236-238-240;;;;;2020-10-06;;;
3494265;Hendrik Heymanplein 230-232-234-236-238-240;;;;;2020-10-06;;;
3494268;Hendrik Heymanplein 230-232-234-236-238-240;;;;;2020-10-06;;;
3494271;Hendrik Heymanplein 230-232-234-236-238-240;;;;;2020-10-06;;;
3494273;Hendrik Heymanplein 230-232-234-236-238-240;;;;;2020-10-06;;;
4461734;Hendrik Heymanplein 230-232-234-236-238-240;;;;;2020-10-06;;;
3510228;3510228;;;;;2020-10-06;;;
1114890;Hemelaerstraat 10-12-14;;;;;2020-10-06;;;
1344194;Hemelaerstraat 10-12-14;;;;;2020-10-06;;;
103624;Hemelaerstraat 10-12-14;;;;;2020-10-06;;;
68475;68475;;;;;2020-10-06;;;
