Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
ANTWERPEN-WEST - FH09;BG Blok diff;1008473;BL0017;;13723779;1008473;38305393;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;;Tabakvest;91;;;;;Yves de Roo;MDU;16;32;0;48;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;BG Name diff;1008473;BL0017;;13723779;1008473;38305393;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;Bourlastraat 1-3-5_Leopoldplaats 6-6A-7_Tabakvest 89-91-93;Tabakvest;91;;;;;Yves de Roo;MDU;16;32;0;48;16;32;0;48;Y;Y;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1008473;BL0017;;13723779;1008473;38305393;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;;Tabakvest;91;;;;;Yves de Roo;MDU;16;32;0;48;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1008474;BL0002;;13723782;1008474;;;;Tabakvest;9;;;;;Yves de Roo;SDU;0;1;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1008475;BL0002;;610944;1008475;;;;Tabakvest;3;;;;;Yves de Roo;MDU;0;3;0;3;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;110420;BL0003;;613165;110420;;;;Hopland;52;;;;;Yves de Roo;MDU;0;2;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1139905;BL0015;;614051;1139905;;;;Sint-Jorispoort;32;;;;;Yves de Roo;MDU;1;4;0;5;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1139906;BL0015;;614052;1139906;38305391;Mechelseplein 19A_Sint Jorispoort 2-4;;Sint-Jorispoort;2;;;;;Yves de Roo;MDU;1;6;0;7;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;BG Blok diff;1139906;BL0015;;614052;1139906;38305391;Mechelseplein 19A_Sint Jorispoort 2-4;;Sint-Jorispoort;2;;;;;Yves de Roo;MDU;1;6;0;7;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1139908;BL0015;;614054;1139908;;;;Mechelseplein;25;;;;;Yves de Roo;MDU;1;4;0;5;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1139909;BL0015;;614055;1139909;;;;Mechelseplein;23;;;;;Yves de Roo;SDU;0;1;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1139911;BL0015;;614057;1139911;;;;Mechelseplein;29;;;;;Yves de Roo;MDU;1;2;0;3;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1139921;BL0015;;614065;1139921;;;;Schermersstraat;15;;;;;Yves de Roo;MDU;2;0;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1139937;BL0015;;614075;1139937;;;;Mechelseplein;21;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;11946;BL0001;;614559;11946;;;;Stoopstraat;1;;;;;Yves de Roo;MDU;1;5;0;6;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;11956;BL0002;;614566;11956;;;;Frankrijklei;86;;;;;Yves de Roo;MDU;1;9;0;10;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;11962;BL0017;;614569;11962;38305483;Blauwtorenplein 10_Bourlastraat 18;;Blauwtorenplein;10;;;;;Yves de Roo;MDU;1;12;0;13;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;12603;BL0011;;615251;12603;;;;Orgelstraat;7;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;12627;BL0009;;615295;12627;;;;Huidevettersstraat;53;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;12629;BL0013;;615310;12629;38305476;Arenbergstraat 40_Oudevaartplaats 2-4-6;;Arenbergstraat;40;;;;;Yves de Roo;MDU;3;67;1;71;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;12659;BL0006;;33070005;12659;;;;Meistraat;2;;;;;Yves de Roo;SDU;1;0;0;1;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1298909;BL0007;;615870;1298909;;;;Schuttershofstraat;38;;;;;Yves de Roo;MDU;1;2;0;3;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;1313434;BL0001;;616139;1313434;;;;Tabakvest;27;;;;;Yves de Roo;MDU;0;3;0;3;;;;;Y;;BUILDING template
