Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
SINT-NIKLAAS - FH02;BG Name diff;3512840;BL0204;1.0;802693;3512840;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;30;;D;;;Abdelmalek Lamkoref;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;3512842;BL0204;1.0;802694;3512842;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;31;;D;;;Abdelmalek Lamkoref;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;3512844;BL0204;1.0;10473078;3512844;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;32;;D;;2020-02-22 14:55:13;Hidde Kiekens;MDU;0;3;0;3;0;3;0;3;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;3512848;BL0204;1.0;802696;3512848;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;33;;D;;;Abdelmalek Lamkoref;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;3512852;BL0204;1.0;802697;3512852;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;34;;D;;;Abdelmalek Lamkoref;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;3512854;BL0204;1.0;802698;3512854;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;35;;D;;;Abdelmalek Lamkoref;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;3512855;BL0204;1.0;802699;3512855;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;36;;D;;;Abdelmalek Lamkoref;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;3512856;BL0204;1.0;802700;3512856;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;37;;D;;;Francois Glaude;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;3512858;BL0204;1.0;802701;3512858;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;38;;D;;;Abdelmalek Lamkoref;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;Units total diff;5705661;BL0218;3.0;7092942;5705661;;;;Azalealaan;6;;C;;2020-08-30 14:20:04;Geert Stockman;MDU;1;60;2;63;0;60;2;62;N;N;BUILDING template
SINT-NIKLAAS - FH02;Units bu diff;5705661;BL0218;3.0;7092942;5705661;;;;Azalealaan;6;;C;;2020-08-30 14:20:04;Geert Stockman;MDU;1;60;2;63;0;60;2;62;N;N;BUILDING template
SINT-NIKLAAS - FH02;BG Name diff;61728;BL0204;1.0;814694;61728;;;Regentieplein 30-31-32-33-34-35-36-37-38-39;Regentieplein;39;;D;;;Abdelmalek Lamkoref;MDU;0;1;0;1;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;Buildingtype diff;75758;BL0218;3.0;11486367;75758;;;;Hospitaalstraat;12;;;;2020-08-27 12:40:12;Geert Stockman;SDU;1;0;0;1;;;;;N;;BUILDING template
SINT-NIKLAAS - FH02;Units total diff;75758;BL0218;3.0;11486367;75758;;;;Hospitaalstraat;12;;;;2020-08-27 12:40:12;Geert Stockman;SDU;1;0;0;1;2;0;2;4;N;N;BUILDING template
SINT-NIKLAAS - FH02;Units bu diff;75758;BL0218;3.0;11486367;75758;;;;Hospitaalstraat;12;;;;2020-08-27 12:40:12;Geert Stockman;SDU;1;0;0;1;2;0;2;4;N;N;BUILDING template
SINT-NIKLAAS - FH02;Units su diff;75758;BL0218;3.0;11486367;75758;;;;Hospitaalstraat;12;;;;2020-08-27 12:40:12;Geert Stockman;SDU;1;0;0;1;2;0;2;4;N;N;BUILDING template
SINT-NIKLAAS - FH02;Quadrant diff;75758;BL0218;3.0;11486367;75758;;;;Hospitaalstraat;12;;;C;2020-08-27 12:40:12;Geert Stockman;SDU;1;0;0;1;2;0;2;4;N;N;BUILDING template
