Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
ANTWERPEN-WEST - FH04;Buildingtype diff;110183;BL0430;4.0;613084;110183;33717630;;;Meir;82;;;;2020-05-27 15:50:12;Hidde Kiekens;MDU;1;0;1;2;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH04;Units total diff;110183;BL0430;4.0;613084;110183;33717630;;;Meir;82;;;;2020-05-27 15:50:12;Hidde Kiekens;MDU;1;0;1;2;1;0;0;1;N;N;BUILDING template
ANTWERPEN-WEST - FH04;Units su diff;110183;BL0430;4.0;613084;110183;33717630;;;Meir;82;;;;2020-05-27 15:50:12;Hidde Kiekens;MDU;1;0;1;2;1;0;0;1;N;N;BUILDING template
ANTWERPEN-WEST - FH04;Quadrant diff;1208696;BL0430;4.0;614651;1208696;33717630;;;Meir;76;;;A;2020-05-27;Hidde Kiekens;MDU;0;6;0;6;0;6;0;6;N;N;BUILDING template
ANTWERPEN-WEST - FH04;BG Name diff;1311788;BL0430;4.0;616069;1311788;33717630;;Hopland 31_Kolveniersstraat 7_Meir 78;Meir;78;;;;2020-05-27 15:51:37;Hidde Kiekens;MDU;1;0;0;1;1;0;0;1;N;N;BUILDING template
ANTWERPEN-WEST - FH04;Quadrant diff;1311788;BL0430;4.0;616069;1311788;33717630;;Hopland 31_Kolveniersstraat 7_Meir 78;Meir;78;;;C;2020-05-27 15:51:37;Hidde Kiekens;MDU;1;0;0;1;1;0;0;1;N;N;BUILDING template
ANTWERPEN-WEST - FH04;BG Name diff;1338783;BL0407;3.0;616812;1338783;33618600;;Molenbergstraat 9_Sint Jacobsmarkt 97;Molenbergstraat;9;;C;;2020-05-26 13:37:32;Geert Stockman;MDU;1;0;1;2;1;0;1;2;N;N;BUILDING template
ANTWERPEN-WEST - FH04;Quadrant diff;1338783;BL0407;3.0;616812;1338783;33618600;;Molenbergstraat 9_Sint Jacobsmarkt 97;Molenbergstraat;9;;C;A;2020-05-26 13:37:32;Geert Stockman;MDU;1;0;1;2;1;0;1;2;N;N;BUILDING template
ANTWERPEN-WEST - FH04;Buildingtype diff;1944487;BL0430;4.0;12736317;1944487;33717630;;;Hopland;35;;;;2020-05-27 15:30:38;Hidde Kiekens;MDU;1;0;0;1;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH04;Buildingtype diff;1944488;BL0430;4.0;12736318;1944488;33717630;;;Hopland;37;;;;2020-05-27 15:31:15;Hidde Kiekens;MDU;1;0;1;2;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH04;Units total diff;1944488;BL0430;4.0;12736318;1944488;33717630;;;Hopland;37;;;;2020-05-27 15:31:15;Hidde Kiekens;MDU;1;0;1;2;1;0;0;1;N;N;BUILDING template
ANTWERPEN-WEST - FH04;Units su diff;1944488;BL0430;4.0;12736318;1944488;33717630;;;Hopland;37;;;;2020-05-27 15:31:15;Hidde Kiekens;MDU;1;0;1;2;1;0;0;1;N;N;BUILDING template
ANTWERPEN-WEST - FH04;Buildingtype diff;1966298;BL0430;4.0;13455624;1966298;33717630;;;Kolveniersstraat;11;;;;2020-05-27 15:33:40;Hidde Kiekens;MDU;1;0;0;1;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH04;Quadrant diff;3927706;BL0430;4.0;690977;3927706;33717630;;;Hopland;33;;;C;2020-02-20 19:25:14;Hidde Kiekens;MDU;0;4;1;5;0;4;1;5;N;N;BUILDING template
ANTWERPEN-WEST - FH04;Units total diff;5552572;BL0432;4.0;13455628;5552572;33619970;Frankrijklei 62-64-68_Kipdorpvest 49-55;Frankrijklei 62-64-68_Kipdorpvest 49-55;Kipdorpvest;49;;A;;2020-05-27 17:19:40;Hidde Kiekens;MDU;0;25;8;229;0;25;1;26;Y;Y;BUILDING template
