Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
KNOKKE-HEIST - FH05;NO CLUSTERS;1024244;BL0506;;29311917;1024244;;;;Duinviooltjesstraat;2;;;;;Hidde Kiekens;MDU;0;15;1;16;;;;;N;;BUILDING template
KNOKKE-HEIST - FH05;NO CLUSTERS;1273698;BL0506;;29311919;1273698;;;;Duinviooltjesstraat;10;;;;;Hidde Kiekens;MDU;0;6;0;6;;;;;Y;;BUILDING template
KNOKKE-HEIST - FH05;NO CLUSTERS;1297112;BL0504;;29311920;1297112;;;;Van Bunnenlaan;57;;;;;Maayken Vanfleteren;MDU;2;13;1;16;;;;;Y;;BUILDING template
KNOKKE-HEIST - FH05;NO CLUSTERS;13048;BL0515;;29311921;13048;33256604;Kustlaan 28-30-32-34-36;;Kustlaan;30;;;;;Geert Stockman;MDU;0;22;1;23;;;;;Y;;BUILDING template
KNOKKE-HEIST - FH05;NO CLUSTERS;13052;BL0511;;29311922;13052;;;;Ieperstraat;41;;D;;2020-10-10 08:40:05;Geert Stockman;MDU;0;5;0;5;;;;;Y;;BUILDING template
KNOKKE-HEIST - FH05;Quadrant diff;13052;BL0511;;29311922;13052;;;;Ieperstraat;41;;D;;2020-10-10 08:40:05;Geert Stockman;MDU;0;5;0;5;0;5;0;5;Y;Y;BUILDING template
KNOKKE-HEIST - FH05;Units lu diff;13066;BL0515;;29311923;13066;33256602;;Ieperstraat 10_Dumortierlaan 129-129 A;Ieperstraat;10;;D;;2020-10-10 11:30:10;Geert Stockman;MDU;0;8;1;9;0;9;1;10;Y;Y;BUILDING template
KNOKKE-HEIST - FH05;NO CLUSTERS;13066;BL0515;;29311923;13066;33256602;;;Ieperstraat;10;;D;;2020-10-10 11:30:10;Geert Stockman;MDU;0;8;1;9;;;;;Y;;BUILDING template
KNOKKE-HEIST - FH05;Quadrant diff;13066;BL0515;;29311923;13066;33256602;;Ieperstraat 10_Dumortierlaan 129-129 A;Ieperstraat;10;;D;;2020-10-10 11:30:10;Geert Stockman;MDU;0;8;1;9;0;9;1;10;Y;Y;BUILDING template
KNOKKE-HEIST - FH05;Units total diff;13066;BL0515;;29311923;13066;33256602;;Ieperstraat 10_Dumortierlaan 129-129 A;Ieperstraat;10;;D;;2020-10-10 11:30:10;Geert Stockman;MDU;0;8;1;9;0;9;1;10;Y;Y;BUILDING template
KNOKKE-HEIST - FH05;BG Name diff;13066;BL0515;;29311923;13066;33256602;;Ieperstraat 10_Dumortierlaan 129-129 A;Ieperstraat;10;;D;;2020-10-10 11:30:10;Geert Stockman;MDU;0;8;1;9;0;9;1;10;Y;Y;BUILDING template
KNOKKE-HEIST - FH05;NO CLUSTERS;1327495;BL0516;;29311924;1327495;33256650;Diksmuidestraat 43-45-47;;Diksmuidestraat;43;;;;;Geert Stockman;MDU;1;0;0;1;;;;;N;;BUILDING template
KNOKKE-HEIST - FH05;NO CLUSTERS;1327499;BL0507;;29311925;1327499;;;;Duinviooltjesstraat;31;;;;;Maayken Vanfleteren;MDU;0;5;1;6;;;;;N;;BUILDING template
