Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
LIÔGE - FH26;NO BLOCKS;1177246;;;504145;1177246;;;;Rue de Campine;193;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1177246;;;504145;1177246;;;;Rue de Campine;193;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1229124;;;38469116;1229124;;;;Rue de Campine;143;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1229124;;;38469116;1229124;;;;Rue de Campine;143;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1237077;;;504430;1237077;;;;Montagne Sainte-Walburge;41;;;;;;MDU;0;13;0;13;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1237077;;;504430;1237077;;;;Montagne Sainte-Walburge;41;;;;;;MDU;0;13;0;13;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1293416;;;504641;1293416;;;;Montagne Sainte-Walburge;63;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1293416;;;504641;1293416;;;;Montagne Sainte-Walburge;63;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1296140;;;504669;1296140;;;;Rue Xhov‚mont;41;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1296140;;;504669;1296140;;;;Rue Xhov‚mont;41;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1297929;;;504689;1297929;;;;Rue Isi Collin;20;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1297929;;;504689;1297929;;;;Rue Isi Collin;20;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1297990;;;37702441;1297990;;;;Rue de Campine;192;;;;;;MDU;0;7;0;7;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1297990;;;37702441;1297990;;;;Rue de Campine;192;;;;;;MDU;0;7;0;7;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1298426;;;504697;1298426;;;;Rue Auguste Donnay;74;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1298426;;;504697;1298426;;;;Rue Auguste Donnay;74;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1307009;;;504782;1307009;;;;Rue Auguste Donnay;46;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1307009;;;504782;1307009;;;;Rue Auguste Donnay;46;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
