Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
MECHELEN - FH02;Wall Mount diff;3035690;BL0201;5.0;430680;3035690;;;;Guldenstraat;3;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;1;0;0;1;Y;N;BUILDING template
MECHELEN - FH02;Wall Mount diff;3035693;BL0201;5.0;430682;3035693;;;;Guldenstraat;5;;D;D;2019-03-21 15:02:20;Wim Lambrechts;MDU;1;3;0;4;1;3;0;4;Y;N;BUILDING template
MECHELEN - FH02;Wall Mount diff;3035705;BL0201;5.0;430687;3035705;;;;Guldenstraat;13;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;1;0;0;1;Y;N;BUILDING template
MECHELEN - FH02;Wall Mount diff;3035706;BL0201;5.0;430688;3035706;;;;Guldenstraat;15;;XC;C;2020-07-27;Andreas Versteeven;MDU;1;4;0;5;1;4;0;5;Y;N;BUILDING template
MECHELEN - FH02;Units su diff;3035719;BL0201;5.0;430696;3035719;;;;Guldenstraat;27;;D;;2019-02-25 14:00:31;Yannick Lambrechts;MDU;1;2;;3;1;2;0;3;N;N;BUILDING template
MECHELEN - FH02;Wall Mount diff;3035721;BL0201;5.0;7092703;3035721;;;;Guldenstraat;29;;XC;C;2020-07-31;Andreas Versteeven;MDU;1;4;1;6;1;4;1;6;Y;N;BUILDING template
MECHELEN - FH02;Units total diff;3047990;BL0218;4.0;437198;3047990;;;;Schuttersvest;41;;XA;;2019-02-28 11:31:02;Yannick_ Lambrechts;MDU;2;9;1;12;1;11;3;15;Y;Y;BUILDING template
MECHELEN - FH02;Units lu diff;3047990;BL0218;4.0;437198;3047990;;;;Schuttersvest;41;;XA;;2019-02-28 11:31:02;Yannick_ Lambrechts;MDU;2;9;1;12;1;11;3;15;Y;Y;BUILDING template
MECHELEN - FH02;Units bu diff;3047990;BL0218;4.0;437198;3047990;;;;Schuttersvest;41;;XA;;2019-02-28 11:31:02;Yannick_ Lambrechts;MDU;2;9;1;12;1;11;3;15;Y;Y;BUILDING template
MECHELEN - FH02;Units su diff;3047990;BL0218;4.0;437198;3047990;;;;Schuttersvest;41;;XA;;2019-02-28 11:31:02;Yannick_ Lambrechts;MDU;2;9;1;12;1;11;3;15;Y;Y;BUILDING template
