Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
ROESELARE - FH02;Quadrant diff;1188437;BL0033;1.0;4707739;1188437;;;;Zwarte-Leeuwstraat;60;;XC;;2020-07-03 12:20:40;Maayken Vanfleteren;MDU;0;9;1;10;0;16;0;16;N;N;BUILDING template
ROESELARE - FH02;Units total diff;1188437;BL0033;1.0;4707739;1188437;;;;Zwarte-Leeuwstraat;60;;XC;;2020-07-03 12:20:40;Maayken Vanfleteren;MDU;0;9;1;10;0;16;0;16;N;N;BUILDING template
ROESELARE - FH02;Units lu diff;1188437;BL0033;1.0;4707739;1188437;;;;Zwarte-Leeuwstraat;60;;XC;;2020-07-03 12:20:40;Maayken Vanfleteren;MDU;0;9;1;10;0;16;0;16;N;N;BUILDING template
ROESELARE - FH02;Units su diff;1188437;BL0033;1.0;4707739;1188437;;;;Zwarte-Leeuwstraat;60;;XC;;2020-07-03 12:20:40;Maayken Vanfleteren;MDU;0;9;1;10;0;16;0;16;N;N;BUILDING template
ROESELARE - FH02;Units total diff;1202813;BL0006;4.0;4569193;1202813;;;;Westlaan;216;;;;2020-06-30 13:35:05;Hidde Kiekens;SDU;1;0;0;1;1;1;0;2;N;N;BUILDING template
ROESELARE - FH02;Buildingtype diff;1202813;BL0006;4.0;4569193;1202813;;;;Westlaan;216;;;;2020-06-30 13:35:05;Hidde Kiekens;SDU;1;0;0;1;;;;;N;;BUILDING template
ROESELARE - FH02;Units lu diff;1202813;BL0006;4.0;4569193;1202813;;;;Westlaan;216;;;;2020-06-30 13:35:05;Hidde Kiekens;SDU;1;0;0;1;1;1;0;2;N;N;BUILDING template
ROESELARE - FH02;Buildingtype diff;1243686;BL0016;3.0;98783;1243686;;;;Diksmuidsesteenweg;122;;;;2020-04-20 10:35:17;Geert Stockman;SDU;0;1;0;1;;;;;Y;;BUILDING template
ROESELARE - FH02;Units bu diff;1243686;BL0016;3.0;98783;1243686;;;;Diksmuidsesteenweg;122;;;;2020-04-20 10:35:17;Geert Stockman;SDU;0;1;0;1;1;1;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Units total diff;1243686;BL0016;3.0;98783;1243686;;;;Diksmuidsesteenweg;122;;;;2020-04-20 10:35:17;Geert Stockman;SDU;0;1;0;1;1;1;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Buildingtype diff;1243696;BL0014;4.0;98790;1243696;;;;Diksmuidsesteenweg;145;;;;2020-04-20 10:35:13;Geert Stockman;SDU;1;0;0;1;;;;;Y;;BUILDING template
ROESELARE - FH02;Units lu diff;1243696;BL0014;4.0;98790;1243696;;;;Diksmuidsesteenweg;145;;;;2020-04-20 10:35:13;Geert Stockman;SDU;1;0;0;1;1;1;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Units total diff;1243696;BL0014;4.0;98790;1243696;;;;Diksmuidsesteenweg;145;;;;2020-04-20 10:35:13;Geert Stockman;SDU;1;0;0;1;1;1;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Quadrant diff;1245523;BL0032;1.0;4569194;1245523;4782139;Hoogleedsesteenweg 54-56;Hoogleedsesteenweg 54-56;Hoogleedsesteenweg;54;;XC;;;Harry Melis;MDU;0;2;0;2;0;2;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Units total diff;1245529;BL0028;1.0;4569195;1245529;;;;Hoogleedsesteenweg;3;;;;2020-04-22 18:30:13;Maayken Vanfleteren;SDU;0;1;0;1;1;1;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Units bu diff;1245529;BL0028;1.0;4569195;1245529;;;;Hoogleedsesteenweg;3;;;;2020-04-22 18:30:13;Maayken Vanfleteren;SDU;0;1;0;1;1;1;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Buildingtype diff;1245529;BL0028;1.0;4569195;1245529;;;;Hoogleedsesteenweg;3;;;;2020-04-22 18:30:13;Maayken Vanfleteren;SDU;0;1;0;1;;;;;Y;;BUILDING template
ROESELARE - FH02;Buildingtype diff;1245531;BL0028;1.0;99306;1245531;;;;Noordstraat;217;;;;2020-04-22 18:50:07;Maayken Vanfleteren;SDU;1;0;0;1;;;;;N;;BUILDING template
ROESELARE - FH02;Units total diff;1245531;BL0028;1.0;99306;1245531;;;;Noordstraat;217;;;;2020-04-22 18:50:07;Maayken Vanfleteren;SDU;1;0;0;1;1;1;0;2;N;N;BUILDING template
ROESELARE - FH02;Units lu diff;1245531;BL0028;1.0;99306;1245531;;;;Noordstraat;217;;;;2020-04-22 18:50:07;Maayken Vanfleteren;SDU;1;0;0;1;1;1;0;2;N;N;BUILDING template
ROESELARE - FH02;Units bu diff;1245761;BL0033;1.0;99531;1245761;;;;Westlaan;504;;X;;2020-04-22 15:05:10;Maayken Vanfleteren;MDU;6;0;1;7;1;1;0;2;N;N;BUILDING template
ROESELARE - FH02;Units total diff;1245761;BL0033;1.0;99531;1245761;;;;Westlaan;504;;X;;2020-04-22 15:05:10;Maayken Vanfleteren;MDU;6;0;1;7;1;1;0;2;N;N;BUILDING template
ROESELARE - FH02;Units lu diff;1245761;BL0033;1.0;99531;1245761;;;;Westlaan;504;;X;;2020-04-22 15:05:10;Maayken Vanfleteren;MDU;6;0;1;7;1;1;0;2;N;N;BUILDING template
ROESELARE - FH02;Quadrant diff;1245761;BL0033;1.0;99531;1245761;;;;Westlaan;504;;X;;2020-04-22 15:05:10;Maayken Vanfleteren;MDU;6;0;1;7;1;1;0;2;N;N;BUILDING template
ROESELARE - FH02;Units su diff;1245761;BL0033;1.0;99531;1245761;;;;Westlaan;504;;X;;2020-04-22 15:05:10;Maayken Vanfleteren;MDU;6;0;1;7;1;1;0;2;N;N;BUILDING template
