Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
SCHAERBEEK - FH04;Units total diff;1109593;BL0016;;31152763;1109593;;;;Chazallaan;9;;D;;2020-07-13 09:25:15;Geert Stockman;MDU;1;3;0;4;1;4;0;5;Y;Y;BUILDING template
SCHAERBEEK - FH04;Units lu diff;1109593;BL0016;;31152763;1109593;;;;Chazallaan;9;;D;;2020-07-13 09:25:15;Geert Stockman;MDU;1;3;0;4;1;4;0;5;Y;Y;BUILDING template
SCHAERBEEK - FH04;Quadrant diff;1109593;BL0016;;31152763;1109593;;;;Chazallaan;9;;D;;2020-07-13 09:25:15;Geert Stockman;MDU;1;3;0;4;1;4;0;5;Y;Y;BUILDING template
SCHAERBEEK - FH04;NO CLUSTERS;1109593;BL0016;;31152763;1109593;;;;Chazallaan;9;;D;;2020-07-13 09:25:15;Geert Stockman;MDU;1;3;0;4;;;;;Y;;BUILDING template
SCHAERBEEK - FH04;Quadrant diff;1165036;BL0012;;31152764;1165036;35572662;Chazallaan 14-16-18-20;Chazallaan 14-16-18-20;Chazallaan;16;;D;;2020-09-11 09:30:12;Vincent Casellato;MDU;0;10;1;11;0;10;1;11;Y;Y;BUILDING template
SCHAERBEEK - FH04;NO CLUSTERS;1165036;BL0012;;31152764;1165036;35572662;Chazallaan 14-16-18-20;;Chazallaan;16;;D;;2020-09-11 09:30:12;Vincent Casellato;MDU;0;10;1;11;;;;;Y;;BUILDING template
SCHAERBEEK - FH04;NO CLUSTERS;1194867;BL0012;;31152765;1194867;;;;Joseph Coosemansstraat;17;;D;;2020-06-26 12:15:09;Sophie Rohrer;MDU;0;3;0;3;;;;;Y;;BUILDING template
SCHAERBEEK - FH04;Quadrant diff;1194867;BL0012;;31152765;1194867;;;;Joseph Coosemansstraat;17;;D;;2020-06-26 12:15:09;Sophie Rohrer;MDU;0;3;0;3;0;3;0;3;Y;Y;BUILDING template
SCHAERBEEK - FH04;NO CLUSTERS;1226962;BL0017;;31152766;1226962;;;;Grote Bosstraat;188;;D;;2020-07-15 08:41:04;Vincent Casellato;MDU;0;4;0;4;;;;;Y;;BUILDING template
SCHAERBEEK - FH04;Quadrant diff;1226962;BL0017;;31152766;1226962;;;;Grote Bosstraat;188;;D;;2020-07-15 08:41:04;Vincent Casellato;MDU;0;4;0;4;0;4;0;4;Y;Y;BUILDING template
SCHAERBEEK - FH04;Quadrant diff;1227032;BL0007;;31152767;1227032;;;;Franáois Bossaertsstraat;150;;D;;2020-06-23 21:45:12;Sophie Rohrer;MDU;0;5;0;5;0;5;0;5;Y;Y;BUILDING template
