Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
UCCLE - FH07;NO BLOCKS;1009750;;;307788;1009750;;;;De Fr‚laan - Avenue De Fr‚;223;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009750;;;307788;1009750;;;;De Fr‚laan - Avenue De Fr‚;223;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009755;;;307793;1009755;;;;De Fr‚laan - Avenue De Fr‚;215;;;;;Tim Colliers;MDU;1;1;0;2;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009755;;;307793;1009755;;;;De Fr‚laan - Avenue De Fr‚;215;;;;;Tim Colliers;MDU;1;1;0;2;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009756;;;307794;1009756;;;;De Fr‚laan - Avenue De Fr‚;211;;;;;Naomi De Cock;MDU;1;2;0;3;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009756;;;307794;1009756;;;;De Fr‚laan - Avenue De Fr‚;211;;;;;Naomi De Cock;MDU;1;2;0;3;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009757;;;307795;1009757;;;;De Fr‚laan - Avenue De Fr‚;217;;;;;Tim Colliers;MDU;0;6;0;6;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009757;;;307795;1009757;;;;De Fr‚laan - Avenue De Fr‚;217;;;;;Tim Colliers;MDU;0;6;0;6;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009759;;;307797;1009759;;;;De Fr‚laan - Avenue De Fr‚;205;;;;;Naomi De Cock;MDU;1;3;0;4;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009759;;;307797;1009759;;;;De Fr‚laan - Avenue De Fr‚;205;;;;;Naomi De Cock;MDU;1;3;0;4;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009760;;;307798;1009760;;;;De Fr‚laan - Avenue De Fr‚;209;;;;;Naomi De Cock;MDU;1;2;0;3;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009760;;;307798;1009760;;;;De Fr‚laan - Avenue De Fr‚;209;;;;;Naomi De Cock;MDU;1;2;0;3;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009764;;;307801;1009764;;;;Copernicusstraat - Rue Copernic;2;;;;;Naomi De Cock;MDU;0;2;0;2;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009764;;;307801;1009764;;;;Copernicusstraat - Rue Copernic;2;;;;;Naomi De Cock;MDU;0;2;0;2;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009766;;;307802;1009766;;;;Copernicusstraat - Rue Copernic;4;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009766;;;307802;1009766;;;;Copernicusstraat - Rue Copernic;4;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009767;;;33471869;1009767;;;;Rue Copernic - Copernicusstraat;4;D;;;;Naomi De Cock;MDU;0;2;0;2;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009767;;;33471869;1009767;;;;Rue Copernic - Copernicusstraat;4;D;;;;Naomi De Cock;MDU;0;2;0;2;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009768;;;307804;1009768;37526239;Copernicusstraat 6-6A;;Copernicusstraat - Rue Copernic;6;;;;;Naomi De Cock;MDU;0;8;0;8;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009768;;;307804;1009768;37526239;Copernicusstraat 6-6A;;Copernicusstraat - Rue Copernic;6;;;;;Naomi De Cock;MDU;0;8;0;8;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009769;;;307805;1009769;;;;Copernicusstraat - Rue Copernic;7;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009769;;;307805;1009769;;;;Copernicusstraat - Rue Copernic;7;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009770;;;307806;1009770;;;;Copernicusstraat - Rue Copernic;9;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009770;;;307806;1009770;;;;Copernicusstraat - Rue Copernic;9;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009786;;;307820;1009786;37526264;Saturnelaan 8-10;;Saturnelaan - Avenue de Saturne;10;;;;;Naomi De Cock;MDU;0;4;0;4;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009786;;;307820;1009786;37526264;Saturnelaan 8-10;;Saturnelaan - Avenue de Saturne;10;;;;;Naomi De Cock;MDU;0;4;0;4;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009787;;;307821;1009787;;;;Saturnelaan - Avenue de Saturne;2;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009787;;;307821;1009787;;;;Saturnelaan - Avenue de Saturne;2;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009830;;;307846;1009830;;;;De Fr‚laan - Avenue De Fr‚;219;;;;;Tim Colliers;MDU;0;12;0;12;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009830;;;307846;1009830;;;;De Fr‚laan - Avenue De Fr‚;219;;;;;Tim Colliers;MDU;0;12;0;12;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009831;;;33471870;1009831;;;;Avenue De Fr‚ - De Fr‚laan;139;;;;;Naomi De Cock;MDU;0;61;0;61;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009831;;;33471870;1009831;;;;Avenue De Fr‚ - De Fr‚laan;139;;;;;Naomi De Cock;MDU;0;61;0;61;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009832;;;307848;1009832;37526196;Avenue de Fr‚ 133 & 135 & 137;;De Fr‚laan - Avenue De Fr‚;137;;;;;Naomi De Cock;MDU;0;8;0;8;;;;;N;;BUILDING template
UCCLE - FH07;BG Name diff;1009832;;;307848;1009832;37526196;Avenue de Fr‚ 133 & 135 & 137;Avenue de Fré 133 & 135 & 137;De Fr‚laan - Avenue De Fr‚;137;;;;;Naomi De Cock;MDU;0;8;0;8;0;8;0;8;N;N;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009832;;;307848;1009832;37526196;Avenue de Fr‚ 133 & 135 & 137;;De Fr‚laan - Avenue De Fr‚;137;;;;;Naomi De Cock;MDU;0;8;0;8;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009833;;;307849;1009833;;;;Ringlaan - Avenue Circulaire;4;;;;;Tim Colliers;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009833;;;307849;1009833;;;;Ringlaan - Avenue Circulaire;4;;;;;Tim Colliers;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009834;;;307850;1009834;;;;Ringlaan - Avenue Circulaire;8;;;;;Tim Colliers;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009834;;;307850;1009834;;;;Ringlaan - Avenue Circulaire;8;;;;;Tim Colliers;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009835;;;307851;1009835;;;;Ringlaan - Avenue Circulaire;6;;;;;Tim Colliers;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009835;;;307851;1009835;;;;Ringlaan - Avenue Circulaire;6;;;;;Tim Colliers;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009836;;;307852;1009836;;;;Groeselenbergstraat - Rue Groeselenberg;159;;;;;Christophe Panis;MDU;1;4;0;5;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009836;;;307852;1009836;;;;Groeselenbergstraat - Rue Groeselenberg;159;;;;;Christophe Panis;MDU;1;4;0;5;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009837;;;307853;1009837;;;;Groeselenbergstraat - Rue Groeselenberg;99;;;;;Christophe Panis;MDU;2;0;0;2;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1009837;;;307853;1009837;;;;Groeselenbergstraat - Rue Groeselenberg;99;;;;;Christophe Panis;MDU;2;0;0;2;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1009838;;;307854;1009838;;;;Groeselenbergstraat - Rue Groeselenberg;97;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
