File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;615236;'20130626112045;12597;'1630000;'25;Aalmoezenierstraat;'1;';2000;Antwerpen;;'152091,233;'211625,62;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1615197;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;615236;'20130626112045;12597;'1630000;'25;Aalmoezenierstraat;'1;';2000;Antwerpen;;'152091,233;'211625,62;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';2;1615198;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;615236;'20130626112045;12597;'1630000;'25;Aalmoezenierstraat;'1;';2000;Antwerpen;;'152091,233;'211625,62;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';3;1615199;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;615236;'20130626112045;12597;'1630000;'25;Aalmoezenierstraat;'1;';2000;Antwerpen;;'152091,233;'211625,62;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';4;1615200;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;710618;'20190912130910;49188;'1630000;'25;Aalmoezenierstraat;'2;';2000;Antwerpen;;'152085,02;'211600,74;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1693676;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;710618;'20190912130910;49188;'1630000;'25;Aalmoezenierstraat;'2;';2000;Antwerpen;;'152085,02;'211600,74;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';2;1693677;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;710618;'20190912130910;49188;'1630000;'25;Aalmoezenierstraat;'2;';2000;Antwerpen;;'152085,02;'211600,74;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';3;1693678;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;710618;'20190912130910;49188;'1630000;'25;Aalmoezenierstraat;'2;';2000;Antwerpen;;'152085,02;'211600,74;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';4;1693679;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;621163;'20130626113337;1732159;'1630000;'25;Aalmoezenierstraat;'3;';2000;Antwerpen;;'152096,705;'211623,702;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1741724;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;621164;'20190912125346;1732160;'1630000;'25;Aalmoezenierstraat;'3;'A;2000;Antwerpen;;'152101,497;'211624,015;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1741725;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;N;;;;'
