File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20976162;'20191129173631;301631;'33860000;'26263;Albrecht Rodenbachstraat;'1;';8301;Knokke-Heist;;'71317,566;'225680,146;';Y;NA;2;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:41:53;;Y;;;;'29/11/2019 13:04:50;1;8334688;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20976163;'20191129173631;301632;'33860000;'26263;Albrecht Rodenbachstraat;'3;';8301;Knokke-Heist;;'71327,57;'225681,34;';Y;NA;2;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:41:55;;Y;;;;'29/11/2019 13:04:50;1;8336380;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20976161;'20191129173630;301630;'33860000;'26263;Albrecht Rodenbachstraat;'4;';8301;Knokke-Heist;;'71326,566;'225661,146;';Y;NA;4;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:41:51;;Y;;;;'29/11/2019 13:04:50;1;8344278;;LU;1;';';';';';Y;#A2/2/KBC-GB;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20976161;'20191129173630;301630;'33860000;'26263;Albrecht Rodenbachstraat;'4;';8301;Knokke-Heist;;'71326,566;'225661,146;';Y;NA;4;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:41:51;;Y;;;;'29/11/2019 13:04:50;2;8362228;;LU;1;';';';';';Y;#A1/1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20976164;'20191129173631;301633;'33860000;'26263;Albrecht Rodenbachstraat;'5;';8301;Knokke-Heist;;'71332,566;'225679,146;';Y;NA;2;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:41:57;;Y;;;;'29/11/2019 13:04:50;1;8354513;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20975550;'20191129173746;2765803;'33860000;'26263;Albrecht Rodenbachstraat;'6;';8301;Knokke-Heist;;'71334,566;'225661,146;';Y;NA;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:42:07;;Y;;;;'29/11/2019 13:04:50;1;8344279;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974704;'20191129173603;1359245;'33860000;'26263;Albrecht Rodenbachstraat;'7;';8301;Knokke-Heist;;'71338,566;'225679,146;';Y;NA;2;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:42:05;;Y;;;;'29/11/2019 13:04:50;1;8362925;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20975551;'20191129173746;2765804;'33860000;'26263;Albrecht Rodenbachstraat;'8;';8301;Knokke-Heist;;'71341,566;'225661,146;';Y;NA;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:42:09;;Y;;;;'29/11/2019 13:04:50;1;8355632;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20975552;'20191129173746;2765806;'33860000;'26263;Albrecht Rodenbachstraat;'9;';8301;Knokke-Heist;;'71345,96;'225683,35;';Y;NA;2;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:42:11;;Y;;;;'29/11/2019 13:04:50;1;8351861;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'29/11/2019 13:04:50
;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20975553;'20191129173746;2765807;'33860000;'26263;Albrecht Rodenbachstraat;'11;';8301;Knokke-Heist;;'71350,566;'225679,146;';Y;NA;2;3;Unknown;Unknown;;None;;;';IFH_BATCH;'29/11/2019 13:42:13;;Y;;;;'29/11/2019 13:04:50;1;8342569;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'29/11/2019 13:04:50
