File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381527;'20130605111553;2407583;'26300000;'207;Acaciastraat;'7;';3500;Hasselt;;'217298,813;'180126,968;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1186189;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;398285;'20130605115225;4895216;'26300000;'207;Acaciastraat;'9;';3500;Hasselt;;'217293,223;'180123,668;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1190134;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;398286;'20130605115226;4895217;'26300000;'207;Acaciastraat;'11;';3500;Hasselt;;'217287,839;'180127,488;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1155079;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;403410;'20200409165636;707118;'26300000;'207;Acaciastraat;'12;';3500;Hasselt;;'217288,759;'180099,459;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1156374;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381528;'20130605111553;2407584;'26300000;'207;Acaciastraat;'13;';3500;Hasselt;;'217282,925;'180128,775;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1157758;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381529;'20130605111553;2407585;'26300000;'207;Acaciastraat;'14;';3500;Hasselt;;'217284,955;'180098,246;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1158800;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381530;'20130605111554;2407586;'26300000;'207;Acaciastraat;'15;';3500;Hasselt;;'217277,526;'180130,124;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1159946;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381531;'20130605111554;2407587;'26300000;'207;Acaciastraat;'16;';3500;Hasselt;;'217279,905;'180098,332;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1160832;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;395958;'20200409165750;4233725;'26300000;'207;Acaciastraat;'17;';3500;Hasselt;;'217270,675;'180129,525;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1161751;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381532;'20130605111554;2407589;'26300000;'207;Acaciastraat;'18;';3500;Hasselt;;'217274,802;'180096,772;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1162530;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381533;'20130605111554;2407592;'26300000;'207;Acaciastraat;'20;';3500;Hasselt;;'217269,952;'180098,588;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1165214;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;31616690;'20200409165745;4895221;'26300000;'207;Acaciastraat;'21;';3500;Hasselt;;'217252,251;'180131,279;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';2;10734705;;LU;1;';';';';';Y;#A1.2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;31616690;'20200409165745;4895221;'26300000;'207;Acaciastraat;'21;';3500;Hasselt;;'217252,251;'180131,279;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';3;10734964;;LU;1;';';';';';Y;#A.GV/K;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381534;'20200409165643;2407593;'26300000;'207;Acaciastraat;'22;';3500;Hasselt;;'217264,373;'180098,708;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1166721;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;395207;'20130605114132;4083526;'26300000;'207;Acaciastraat;'23;';3500;Hasselt;;'217245,858;'180132,101;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1167047;;LU;1;';';';';';Y;#A.GV/1/K1-TUIN;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;395207;'20130605114132;4083526;'26300000;'207;Acaciastraat;'23;';3500;Hasselt;;'217245,858;'180132,101;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';2;1167060;;LU;1;';';';';';Y;#A1/2/K2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;395207;'20130605114132;4083526;'26300000;'207;Acaciastraat;'23;';3500;Hasselt;;'217245,858;'180132,101;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';3;1167093;;LU;1;';';';';';Y;#A2/3/K3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;395207;'20130605114132;4083526;'26300000;'207;Acaciastraat;'23;';3500;Hasselt;;'217245,858;'180132,101;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';4;1167108;;LU;1;';';';';';Y;#A3/4/K4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;381535;'20130605111554;2407595;'26300000;'207;Acaciastraat;'24;';3500;Hasselt;;'217259,964;'180100,799;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1167981;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;398677;'20130605115314;4901579;'26300000;'207;Acaciastraat;'26;';3500;Hasselt;;'217254,744;'180101,16;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1168995;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31328549;'20200325093924;W03-D-Hasselt-FH08;31328549;'20200325093924;W03-D-Hasselt-FH08;32336;FTTH-Cu;;';';;;;;;;403357;'20130605120718;707033;'26300000;'207;Acaciastraat;'27;';3500;Hasselt;;'217237,269;'180129,728;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;1169530;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
