File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;8355593;'20200106132300;5602996;'41630000;'31097;'t Veer;'15;';2800;Mechelen;;'157260,003;'190978,698;';Y;NA;3;18;Unknown;Unknown;;None;;;';IFH_BATCH;'06/12/2019 11:17:59;;Y;;;;'06/12/2019 10:50:39;1;1564552;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200106132255;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';N;IRREG;4;22;Unknown;Unknown;;None;;;';IFH_BATCH;'06/12/2019 11:18:01;;Y;;;;'06/12/2019 10:50:39;1;1566137;;LU;1;';';';';';Y;#A.GV/1/G2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200106132255;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';N;IRREG;4;22;Unknown;Unknown;;None;;;';IFH_BATCH;'06/12/2019 11:18:01;;Y;;;;'06/12/2019 10:50:39;2;1566163;;LU;1;';';';';';Y;#A1/2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200106132255;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';N;IRREG;4;22;Unknown;Unknown;;None;;;';IFH_BATCH;'06/12/2019 11:18:01;;Y;;;;'06/12/2019 10:50:39;3;1566187;;LU;1;';';';';';Y;#A2/3/G1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200106132255;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';N;IRREG;4;22;Unknown;Unknown;;None;;;';IFH_BATCH;'06/12/2019 11:18:01;;Y;;;;'06/12/2019 10:50:39;4;1566203;;LU;1;';';';';';Y;#A3/4.5/G3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';;';;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452262;'20200106132255;935316;'41630000;'31097;'t Veer;'17;';2800;Mechelen;;'157249,661;'190976,235;';N;IRREG;4;22;Unknown;Unknown;;None;;;';IFH_BATCH;'06/12/2019 11:18:01;;Y;;;;'06/12/2019 10:50:39;5;11091150;;BU;1;';';';';';;;;;;;;';;';;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;451882;'20200106123148;929555;'41630000;'191;A.B.-straat;'1;';2800;Mechelen;;'157605,661;'191125,051;';Y;NA;3;14;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'06/12/2019 11:04:15;;Y;;;;'06/12/2019 10:50:39;1;1557412;;LU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';IFH_BATCH;'06/12/2019 11:45:09;;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;451882;'20200106123148;929555;'41630000;'191;A.B.-straat;'1;';2800;Mechelen;;'157605,661;'191125,051;';Y;NA;3;14;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'06/12/2019 11:04:15;;Y;;;;'06/12/2019 10:50:39;2;11090956;;LU;1;';';';';';;;;;;;;';;';;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452459;'20200106125023;941666;'41630000;'191;A.B.-straat;'2;';2800;Mechelen;;'157583,244;'191120,827;';N;IRREG;3;18;Unknown;Unknown;;None;;;';IFH_BATCH;'06/12/2019 11:04:17;;Y;;;;'06/12/2019 10:50:39;1;1568869;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'06/12/2019 10:50:39
;;;Zoning;6833207;'20200106153141;W03-D-Mechelen-FH01;6833207;'20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;';';;;;;;;452459;'20200106125023;941666;'41630000;'191;A.B.-straat;'2;';2800;Mechelen;;'157583,244;'191120,827;';N;IRREG;3;18;Unknown;Unknown;;None;;;';IFH_BATCH;'06/12/2019 11:04:17;;Y;;;;'06/12/2019 10:50:39;2;11090957;;SU;1;';';';';';;;;;;;;';;';;Y;;;;'06/12/2019 10:50:39
