File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;33457902;'20200424102444;'Ankerstraat 2-4;;;;;;;815496;'20200424102444;68407;'60370000;'635;Ankerstraat;'2;';9100;Sint-Niklaas;;'134222,095;'206176,432;';Y;NA;3;9;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:15:15;;Y;;;;'30/01/2020 14:33:20;1;2105277;;BU;1;';';';';';Y;#DEEL E342E;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;792487;'20200130174940;3484796;'60370000;'635;Ankerstraat;'6;';9100;Sint-Niklaas;;'134238,829;'206181,886;';Y;NA;2;6;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:15:20;;Y;;;;'30/01/2020 14:33:20;1;2119950;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;815500;'20200130174843;68413;'60370000;'635;Ankerstraat;'8;';9100;Sint-Niklaas;;'134247,916;'206184,669;';Y;NA;2;9;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'30/01/2020 15:15:22;;Y;;;;'30/01/2020 14:33:20;1;2124625;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;815500;'20200130174843;68413;'60370000;'635;Ankerstraat;'8;';9100;Sint-Niklaas;;'134247,916;'206184,669;';Y;NA;2;9;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'30/01/2020 15:15:22;;Y;;;;'30/01/2020 14:33:20;2;11194575;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'31/10/2019 13:46:43;;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;33457884;'20200424102355;'Ankerstraat 14-16;;;;;;;11476197;'20200424102355;68408;'60370000;'635;Ankerstraat;'16;';9100;Sint-Niklaas;;'134270,831;'206191,994;';Y;NA;3;12;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:15:27;;Y;;;;'30/01/2020 14:33:20;1;11093232;;BU;1;';';';';';;;;;;;;';;';;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;21128140;'20200130175007;977874;'60370000;'724;Apostelstraat;'1;';9100;Sint-Niklaas;;'134136,214;'206020,793;';Y;NA;2;9;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:16:46;;Y;;;;'30/01/2020 14:33:20;1;11194356;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'31/10/2019 11:00:11;;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;21128140;'20200130175007;977874;'60370000;'724;Apostelstraat;'1;';9100;Sint-Niklaas;;'134136,214;'206020,793;';Y;NA;2;9;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:16:46;;Y;;;;'30/01/2020 14:33:20;2;11194357;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'31/10/2019 11:00:11;;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;21128140;'20200130175007;977874;'60370000;'724;Apostelstraat;'1;';9100;Sint-Niklaas;;'134136,214;'206020,793;';Y;NA;2;9;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:16:46;;Y;;;;'30/01/2020 14:33:20;3;11194358;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'31/10/2019 11:00:12;;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;21128140;'20200130175007;977874;'60370000;'724;Apostelstraat;'1;';9100;Sint-Niklaas;;'134136,214;'206020,793;';Y;NA;2;9;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:16:46;;Y;;;;'30/01/2020 14:33:20;4;11194359;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'31/10/2019 11:00:13;;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;21128140;'20200130175007;977874;'60370000;'724;Apostelstraat;'1;';9100;Sint-Niklaas;;'134136,214;'206020,793;';Y;NA;2;9;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:16:46;;Y;;;;'30/01/2020 14:33:20;5;11194360;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'31/10/2019 11:00:14;;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;21128140;'20200130175007;977874;'60370000;'724;Apostelstraat;'1;';9100;Sint-Niklaas;;'134136,214;'206020,793;';Y;NA;2;9;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:16:46;;Y;;;;'30/01/2020 14:33:20;6;11194361;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'31/10/2019 11:00:14;;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;21128140;'20200130175007;977874;'60370000;'724;Apostelstraat;'1;';9100;Sint-Niklaas;;'134136,214;'206020,793;';Y;NA;2;9;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:16:46;;Y;;;;'30/01/2020 14:33:20;7;11289448;;BU;1;';';';';';;;;;;;;';SSV_IMPORT;'30/01/2020 17:08:56;;Y;;;;'30/01/2020 14:33:20
;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;792641;'20200130174948;3485028;'60370000;'724;Apostelstraat;'2;';9100;Sint-Niklaas;;'134201,625;'206043,181;';N;IRREG;2;0;Unknown;Unknown;;None;;;';IFH_BATCH;'30/01/2020 15:16:14;;Y;;;;'30/01/2020 14:33:20;1;2105558;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'30/01/2020 14:33:20
