File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971298;'20000101000000;725899;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'1;';1140;Evere - Evere;;'153930,756;'172481,303;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582423;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971270;'20000101000000;725827;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'2;';1140;Evere - Evere;;'153920,715;'172511,051;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582434;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969582;'20000101000000;1623266;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'3;';1140;Evere - Evere;;'153925,172;'172482,031;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582445;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969583;'20000101000000;1623267;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'4;';1140;Evere - Evere;;'153914,747;'172511,83;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582456;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969584;'20000101000000;1623268;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'5;';1140;Evere - Evere;;'153918,972;'172482,839;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582467;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;970785;'20000101000000;4113812;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'6;';1140;Evere - Evere;;'153908,535;'172512,642;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582543;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969585;'20000101000000;1623269;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'7;';1140;Evere - Evere;;'153912,927;'172483,631;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582544;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969586;'20000101000000;1623270;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'8;';1140;Evere - Evere;;'153902,513;'172513,426;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582545;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;970770;'20000101000000;4112904;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'9;';1140;Evere - Evere;;'153906,625;'172484,452;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582546;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969587;'20000101000000;1623271;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'10;';1140;Evere - Evere;;'153896,261;'172514,244;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582424;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969588;'20000101000000;1623272;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'11;';1140;Evere - Evere;;'153901,024;'172485,183;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582425;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969589;'20000101000000;1623273;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'12;';1140;Evere - Evere;;'153890,278;'172515,023;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582426;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969590;'20000101000000;1623274;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'13;';1140;Evere - Evere;;'153888,634;'172486,776;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582427;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969591;'20000101000000;1623275;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'14;';1140;Evere - Evere;;'153877,414;'172516,687;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582428;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969592;'20000101000000;1623276;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'15;';1140;Evere - Evere;;'153883,167;'172487,479;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582429;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971299;'20000101000000;725900;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'16;';1140;Evere - Evere;;'153871,446;'172517,454;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582430;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969593;'20000101000000;1623277;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'17;';1140;Evere - Evere;;'153876,974;'172488,271;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582431;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969594;'20000101000000;1623278;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'18;';1140;Evere - Evere;;'153865,163;'172518,262;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582432;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;970806;'20000101000000;4114701;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'19;';1140;Evere - Evere;;'153870,763;'172489,068;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582433;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971269;'20000101000000;725826;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'20;';1140;Evere - Evere;;'153859,17;'172519,034;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582435;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;970891;'20000101000000;4119581;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'21;';1140;Evere - Evere;;'153864,454;'172489,876;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582436;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971271;'20000101000000;725828;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'22;';1140;Evere - Evere;;'153852,885;'172519,843;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582437;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;970642;'20000101000000;4045399;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'23;';1140;Evere - Evere;;'153858,888;'172490,587;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582438;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971268;'20000101000000;725825;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'24;';1140;Evere - Evere;;'153846,901;'172520,614;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582439;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969595;'20000101000000;1623279;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'25;';1140;Evere - Evere;;'153846,558;'172492,233;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582440;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971267;'20000101000000;725824;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'26;';1140;Evere - Evere;;'153834,149;'172522,327;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582441;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971297;'20000101000000;725898;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'27;';1140;Evere - Evere;;'153840,931;'172492,977;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582442;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969596;'20000101000000;1623280;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'28;';1140;Evere - Evere;;'153828,204;'172523,092;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582443;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;971300;'20000101000000;725901;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'29;';1140;Evere - Evere;;'153834,783;'172493,789;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582444;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969597;'20000101000000;1623281;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'30;';1140;Evere - Evere;;'153821,998;'172523,888;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582446;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;969598;'20000101000000;1623282;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'31;';1140;Evere - Evere;;'153828,737;'172494,591;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582447;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;31372691;'20200326171604;W04-C-Evere-FH05;31372691;'20200326171604;W04-C-Evere-FH05;32939;FTTH-Cu;;';';;;;;;;970895;'20000101000000;4119604;'890600;'16888;A. Vermeylenlaan - Avenue Auguste Vermeylen;'32;';1140;Evere - Evere;;'153815,993;'172524,661;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;2582448;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
