File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;67166;'20180418145649;123194;'56560000;'766;Ardooisesteenweg;'2;';8800;Roeselare;;'63039,753;'182752,181;';Y;NA;3;8;Unknown;Unknown;;None;;;';;';;Y;;;;'08/03/2017 19:23:34;1;339383;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'08/03/2017 19:23:34
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;67167;'20180329101150;123195;'56560000;'766;Ardooisesteenweg;'12;';8800;Roeselare;;'63060,48;'182772,492;';Y;NA;3;7;Undefined;Unknown;D - Facade Box;None;;;';;';;Y;;;;'03/09/2017 20:43:26;1;333588;3660165;BU;1;'1;';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'03/09/2017 20:43:26
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;67167;'20180329101150;123195;'56560000;'766;Ardooisesteenweg;'12;';8800;Roeselare;;'63060,48;'182772,492;';Y;NA;3;7;Undefined;Unknown;D - Facade Box;None;;;';;';;Y;;;;'03/09/2017 20:43:26;2;10910627;3660166;LU;1;'2;';';';';;;;;;;;';;';;Y;;;;'03/09/2017 20:43:26
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;67167;'20180329101150;123195;'56560000;'766;Ardooisesteenweg;'12;';8800;Roeselare;;'63060,48;'182772,492;';Y;NA;3;7;Undefined;Unknown;D - Facade Box;None;;;';;';;Y;;;;'03/09/2017 20:43:26;3;10910628;3660167;LU;1;'3;';';';';;;;;;;;';;';;Y;;;;'03/09/2017 20:43:26
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;67167;'20180329101150;123195;'56560000;'766;Ardooisesteenweg;'12;';8800;Roeselare;;'63060,48;'182772,492;';Y;NA;3;7;Undefined;Unknown;D - Facade Box;None;;;';;';;Y;;;;'03/09/2017 20:43:26;4;10910629;3660168;LU;1;'4;';';';';;;;;;;;';;';;Y;;;;'03/09/2017 20:43:26
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;67167;'20180329101150;123195;'56560000;'766;Ardooisesteenweg;'12;';8800;Roeselare;;'63060,48;'182772,492;';Y;NA;3;7;Undefined;Unknown;D - Facade Box;None;;;';;';;Y;;;;'03/09/2017 20:43:26;5;10910630;3660169;BU;1;'BU;';';';';;;;;;;;';;';;Y;;;;'03/09/2017 20:43:26
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;8567785;'20200513145949;'Ardooisesteenweg 14_Sint-Hubrechtsstraat 1;;;;;;;162022;'20180328090827;3413581;'56560000;'766;Ardooisesteenweg;'14;';8800;Roeselare;;'63069,965;'182792,052;';Y;NA;5;16;Undefined;Unknown;B - G.Fast;None;B;BNEO;';ID848256;'18/03/2019 13:39:14;;Y;;;;'08/03/2017 19:23:34;1;335020;;BU;1;';';';';';Y;#HA.GV;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;COMM;B;BNEO;';ID848256;'18/03/2019 13:39:14;;Y;;;;'08/03/2017 19:23:34
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;67168;'20180328103735;123196;'56560000;'766;Ardooisesteenweg;'18;';8800;Roeselare;;'63076,617;'182801,397;';Y;NA;1;4;Undefined;Unknown;;None;;;';;';;Y;;;;'08/03/2017 19:23:34;1;338088;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'08/03/2017 19:23:34
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;162023;'20180328103742;3413585;'56560000;'766;Ardooisesteenweg;'20;';8800;Roeselare;;'63081,653;'182804,675;';Y;NA;3;8;Undefined;Unknown;;None;;;';;';;Y;;;;'08/03/2017 19:23:34;1;339795;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'08/03/2017 19:23:34
;;;Zoning;4547963;'20191109094843;W01-C-Roeselare-FH04;4547963;'20191109094843;W01-C-Roeselare-FH04;12267;FTTH-Cu;;';';;;;;;;162024;'20200121153309;3413586;'56560000;'766;Ardooisesteenweg;'22;';8800;Roeselare;;'63089,088;'182809,711;';Y;NA;2;8;Undefined;Unknown;;None;;;';;';;Y;;;;'08/03/2017 19:23:34;1;340967;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'08/03/2017 19:23:34
