File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502493;'20200311192017;335946;'33860000;'422;Albertlaan;'2;';8300;Knokke-Heist;;'74819,656;'226275,849;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:24;;Y;;;;'09/03/2020 12:45:10;1;8341972;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502586;'20200311192017;4347353;'33860000;'422;Albertlaan;'4;';8300;Knokke-Heist;;'74820,531;'226281,384;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:26;;Y;;;;'09/03/2020 12:45:10;1;8352241;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502587;'20200311192017;4347354;'33860000;'422;Albertlaan;'6;';8300;Knokke-Heist;;'74822,267;'226286,335;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:28;;Y;;;;'09/03/2020 12:45:10;1;8365982;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502494;'20200311192017;335947;'33860000;'422;Albertlaan;'8;';8300;Knokke-Heist;;'74821,167;'226297,282;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:30;;Y;;;;'09/03/2020 12:45:10;1;8357184;;BU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502049;'20200311191953;2757595;'33860000;'422;Albertlaan;'14;';8300;Knokke-Heist;;'74824,743;'226317,16;';Y;NA;4;12;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'09/03/2020 13:12:33;;Y;;;;'09/03/2020 12:45:10;1;8346422;5682075;LU;1;'1;'1;';'0;';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';IFH_BATCH;'09/03/2020 14:49:40;;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502049;'20200311191953;2757595;'33860000;'422;Albertlaan;'14;';8300;Knokke-Heist;;'74824,743;'226317,16;';Y;NA;4;12;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'09/03/2020 13:12:33;;Y;;;;'09/03/2020 12:45:10;2;8346423;5682076;LU;1;'201;'201;';'2;';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';IFH_BATCH;'09/03/2020 14:49:43;;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502050;'20200311192001;2757596;'33860000;'422;Albertlaan;'16;';8300;Knokke-Heist;;'74821,393;'226322,512;';Y;NA;4;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:36;;Y;;;;'09/03/2020 12:45:10;1;8348014;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502538;'20200311192017;3957970;'33860000;'422;Albertlaan;'18;';8300;Knokke-Heist;;'74823,906;'226325,914;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:38;;Y;;;;'09/03/2020 12:45:10;1;8357185;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502051;'20200311192017;2757598;'33860000;'422;Albertlaan;'20;';8300;Knokke-Heist;;'74824,967;'226332,461;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:40;;Y;;;;'09/03/2020 12:45:10;1;8346424;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502052;'20200610124216;2757600;'33860000;'422;Albertlaan;'22;';8300;Knokke-Heist;;'74797,067;'226333,43;';Y;NA;2;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:42;;Y;;;;'09/03/2020 12:45:10;1;8353417;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502582;'20200311192017;4347320;'33860000;'422;Albertlaan;'24;';8300;Knokke-Heist;;'74791,313;'226348,594;';Y;NA;2;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:44;;Y;;;;'09/03/2020 12:45:10;1;8359991;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502053;'20200311192017;2757602;'33860000;'422;Albertlaan;'26;';8300;Knokke-Heist;;'74826,205;'226338,751;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:46;;Y;;;;'09/03/2020 12:45:10;1;8334115;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502054;'20200311192017;2757604;'33860000;'422;Albertlaan;'28;';8300;Knokke-Heist;;'74826,322;'226344,286;';Y;NA;2;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:48;;Y;;;;'09/03/2020 12:45:10;1;8338352;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502583;'20200311192017;4347322;'33860000;'422;Albertlaan;'30;';8300;Knokke-Heist;;'74826,981;'226349,782;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:50;;Y;;;;'09/03/2020 12:45:10;1;8338353;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502540;'20200311192017;4024098;'33860000;'422;Albertlaan;'32;';8300;Knokke-Heist;;'74829,051;'226355,002;';Y;NA;2;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:52;;Y;;;;'09/03/2020 12:45:10;1;8349745;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502055;'20200311192017;2757607;'33860000;'422;Albertlaan;'34;';8300;Knokke-Heist;;'74828,832;'226358,687;';Y;NA;2;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:54;;Y;;;;'09/03/2020 12:45:10;1;8334614;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502548;'20200311192017;4147912;'33860000;'422;Albertlaan;'36;';8300;Knokke-Heist;;'74828,279;'226363,792;';Y;NA;2;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:56;;Y;;;;'09/03/2020 12:45:10;1;8358495;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;1807047;'20200311192017;335958;'33860000;'422;Albertlaan;'38;';8300;Knokke-Heist;;'74829,412;'226369,61;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:12:58;;Y;;;;'09/03/2020 12:45:10;1;8364394;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;13436923;'20200311191943;6524255;'33860000;'422;Albertlaan;'40;';8300;Knokke-Heist;;'74834,729;'226381,444;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:13:11;;Y;;;;'09/03/2020 12:45:10;1;11139149;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'10/07/2019 07:09:33;;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502495;'20200311192017;335950;'33860000;'422;Albertlaan;'42;';8300;Knokke-Heist;;'74834,833;'226404,149;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:13:13;;Y;;;;'09/03/2020 12:45:10;2;11079226;;LU;1;';';';';';;;;;;;;';IFH_BATCH;'10/07/2019 08:19:03;;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502497;'20200311192018;335956;'33860000;'422;Albertlaan;'46;';8300;Knokke-Heist;;'74832,475;'226418,924;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'09/03/2020 13:13:00;;Y;;;;'09/03/2020 12:45:10;1;8362143;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502056;'20200326222938;2757613;'33860000;'422;Albertlaan;'48;';8300;Knokke-Heist;;'74829,696;'226426,563;';N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;';ID861359;'26/03/2020 22:29:38;;Y;;;;'09/03/2020 12:45:10;1;8332023;5682078;LU;1;'11;'101;';'1;';Y;#A3.4/3/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';ID861359;'26/03/2020 22:29:38;;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502056;'20200326222938;2757613;'33860000;'422;Albertlaan;'48;';8300;Knokke-Heist;;'74829,696;'226426,563;';N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;';ID861359;'26/03/2020 22:29:38;;Y;;;;'09/03/2020 12:45:10;2;8358496;5682079;LU;1;'12;'102;';'1;';Y;#A1/1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';ID861359;'26/03/2020 22:29:38;;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502056;'20200326222938;2757613;'33860000;'422;Albertlaan;'48;';8300;Knokke-Heist;;'74829,696;'226426,563;';N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;';ID861359;'26/03/2020 22:29:38;;Y;;;;'09/03/2020 12:45:10;3;8362820;5682080;LU;1;'21;'201;';'2;';Y;#A2/2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';ID861359;'26/03/2020 22:29:38;;Y;;;;'09/03/2020 12:45:10
;;;Zoning;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;7574792;'20200405085503;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502056;'20200326222938;2757613;'33860000;'422;Albertlaan;'48;';8300;Knokke-Heist;;'74829,696;'226426,563;';N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;';ID861359;'26/03/2020 22:29:38;;Y;;;;'09/03/2020 12:45:10;4;11079223;5682081;LU;1;'22;'202;';'2;';;;;;;;;';ID861359;'26/03/2020 22:29:38;;Y;;;;'09/03/2020 12:45:10
