File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27552575;'20200327164441;3124037;'44510000;'87;Cour de l'Ane Barré;'3;';7000;Bergen;;'120539,513;'127117,359;';N;IRREG;2;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:23:53;;Y;;;;'27/03/2020 15:19:22;1;11288701;;BU;1;';';';';';N;;;;;;;';IFH_BATCH;'27/03/2020 15:49:09;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27553437;'20200327164440;4586265;'44510000;'42305;Cour du Noir Lévrier;'3;';7000;Bergen;;'120518,598;'127221,694;';Y;NA;3;4;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:23:59;;Y;;;;'27/03/2020 15:19:22;1;11288703;;LU;1;';';';';';N;;;;;;;';;';;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27553648;'20200327164441;4586266;'44510000;'42305;Cour du Noir Lévrier;'9;';7000;Bergen;;'120531,445;'127203,709;';Y;NA;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:01;;Y;;;;'27/03/2020 15:19:22;1;11288704;;LU;1;';';';';';N;;;;;;;';;';;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27577937;'20200327164412;4051941;'44510000;'49927;Esplanade du Dragon;'252;';7000;Bergen;;'120556,471;'127154,893;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:25;;Y;;;;'27/03/2020 15:19:22;1;11289099;;LU;1;';';';';';N;;;;;;;';;';;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;1;11289100;;LU;1;';';';';';N;;;;;;;';;';;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;2;11341700;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:27;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;3;11341701;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:28;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;4;11341702;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:29;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;5;11341703;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:31;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;6;11341704;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:32;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;7;11341705;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:32;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;8;11341706;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:33;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;9;11341707;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:34;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;10;11341708;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:35;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;11;11341709;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:36;;Y;;;;'27/03/2020 15:19:22
;;;Zoning;8523991;'20200324070100;W03-D-Mons-FH01;8523991;'20200324070100;W03-D-Mons-FH01;21511;FTTH-Cu;;';';;;;;;;27578052;'20200327164412;3162656;'44510000;'49927;Esplanade du Dragon;'311;';7000;Bergen;;'120557,706;'127146,986;';N;IRREG;5;;Unknown;Unknown;;None;;;';IFH_BATCH;'27/03/2020 15:24:27;;Y;;;;'27/03/2020 15:19:22;12;11341710;;LU;1;';';';';';;;;;;;;';SSV_IMPORT;'27/03/2020 15:49:37;;Y;;;;'27/03/2020 15:19:22
