File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400502;'20200511175416;662065;'26300000;'23361;Abraham Orteliuslaan;'1;';3500;Hasselt;;'219334,441;'179967,98;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:11:58;;Y;;;;'11/05/2020 17:04:12;1;1152981;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400501;'20200511175416;662064;'26300000;'23361;Abraham Orteliuslaan;'2;';3500;Hasselt;;'219300,561;'179966,482;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:00;;Y;;;;'11/05/2020 17:04:12;1;1164746;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400500;'20200511175415;662063;'26300000;'23361;Abraham Orteliuslaan;'3;';3500;Hasselt;;'219343,972;'180031,604;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:02;;Y;;;;'11/05/2020 17:04:12;1;1171601;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400499;'20200511175415;662062;'26300000;'23361;Abraham Orteliuslaan;'4;';3500;Hasselt;;'219306,839;'180000,385;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:04;;Y;;;;'11/05/2020 17:04:12;1;1176752;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400686;'20200511175411;666215;'26300000;'23361;Abraham Orteliuslaan;'5;';3500;Hasselt;;'219354,535;'180076,095;';N;IRREG;2;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:06;;Y;;;;'11/05/2020 17:04:12;1;1180672;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400498;'20200511175415;662061;'26300000;'23361;Abraham Orteliuslaan;'6;';3500;Hasselt;;'219313,282;'180037,742;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:08;;Y;;;;'11/05/2020 17:04:12;1;1183762;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400684;'20200511175410;666213;'26300000;'23361;Abraham Orteliuslaan;'8;';3500;Hasselt;;'219325,913;'180089,626;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:10;;Y;;;;'11/05/2020 17:04:12;1;1188323;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400687;'20200511175411;666216;'26300000;'23361;Abraham Orteliuslaan;'9;';3500;Hasselt;;'219368,364;'180115,365;';N;IRREG;2;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:12;;Y;;;;'11/05/2020 17:04:12;1;1190219;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;400685;'20200511175410;666214;'26300000;'23361;Abraham Orteliuslaan;'10;';3500;Hasselt;;'219334,077;'180125,183;';N;IRREG;2;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:14;;Y;;;;'11/05/2020 17:04:12;1;1153693;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;388832;'20200511175404;2432827;'26300000;'23361;Abraham Orteliuslaan;'12;';3500;Hasselt;;'219341,244;'180163,437;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:16;;Y;;;;'11/05/2020 17:04:12;1;1156459;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;388833;'20200511175404;2432830;'26300000;'23361;Abraham Orteliuslaan;'18;';3500;Hasselt;;'219351,053;'180180,738;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:18;;Y;;;;'11/05/2020 17:04:12;1;1162654;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;388834;'20200511175404;2432831;'26300000;'23361;Abraham Orteliuslaan;'20;';3500;Hasselt;;'219377,799;'180180,239;';N;IRREG;2;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:20;;Y;;;;'11/05/2020 17:04:12;1;1165319;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;388835;'20200511175404;2432832;'26300000;'23361;Abraham Orteliuslaan;'22;';3500;Hasselt;;'219384,672;'180178,352;';N;IRREG;2;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:22;;Y;;;;'11/05/2020 17:04:12;1;1166781;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;388836;'20200511175404;2432833;'26300000;'23361;Abraham Orteliuslaan;'24;';3500;Hasselt;;'219390,534;'180176,128;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:24;;Y;;;;'11/05/2020 17:04:12;1;1168038;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;388837;'20200511175426;2432835;'26300000;'23361;Abraham Orteliuslaan;'26;';3500;Hasselt;;'219396,396;'180174,107;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:26;;Y;;;;'11/05/2020 17:04:12;1;1169052;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;388838;'20200511175404;2432837;'26300000;'23361;Abraham Orteliuslaan;'28;';3500;Hasselt;;'219403;'180172,085;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:28;;Y;;;;'11/05/2020 17:04:12;1;1170157;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;10522576;'20200511175410;3937568;'26300000;'23361;Abraham Orteliuslaan;'30;';3500;Hasselt;;'219420,318;'180165,078;';N;IRREG;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:30;;Y;;;;'11/05/2020 17:04:12;1;1171981;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;10522576;'20200511175410;3937568;'26300000;'23361;Abraham Orteliuslaan;'30;';3500;Hasselt;;'219420,318;'180165,078;';N;IRREG;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:30;;Y;;;;'11/05/2020 17:04:12;2;10734021;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;10522576;'20200511175410;3937568;'26300000;'23361;Abraham Orteliuslaan;'30;';3500;Hasselt;;'219420,318;'180165,078;';N;IRREG;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:30;;Y;;;;'11/05/2020 17:04:12;3;10734022;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;10522576;'20200511175410;3937568;'26300000;'23361;Abraham Orteliuslaan;'30;';3500;Hasselt;;'219420,318;'180165,078;';N;IRREG;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:30;;Y;;;;'11/05/2020 17:04:12;4;11130924;;LU;1;';';';';';;;;;;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;10522579;'20200511175410;666202;'26300000;'23361;Abraham Orteliuslaan;'32;';3500;Hasselt;;'219429,145;'180161,978;';N;IRREG;3;3;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:12:32;;Y;;;;'11/05/2020 17:04:12;1;1172884;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;33665794;'20200827151838;'Albrecht Rodenbachstraat 20_Casterstraat 77_Zeven-Septemberlaan 15-17;;;;;;;404436;'20200511175418;78243;'26300000;'26262;Albrecht Rodenbachstraat;'20;';3500;Hasselt;;'218442,547;'179728,092;';N;IRREG;4;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:14:22;;Y;;;;'11/05/2020 17:04:12;1;1165326;;BU;1;';';';';';Y;;OFFICE;KANTOORGEBOUW - BATIMENT DE BUREAU;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;33665794;'20200827151838;'Albrecht Rodenbachstraat 20_Casterstraat 77_Zeven-Septemberlaan 15-17;;;;;;;404436;'20200511175418;78243;'26300000;'26262;Albrecht Rodenbachstraat;'20;';3500;Hasselt;;'218442,547;'179728,092;';N;IRREG;4;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:14:22;;Y;;;;'11/05/2020 17:04:12;2;10863067;;SU;1;';';';';';;;;;;;;';;';;Y;;;;'11/05/2020 17:04:12
;;;Zoning;10434939;'20191109094846;W03-D-Hasselt-FH06;10434939;'20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;';';;;;;;;391673;'20200511175423;2445097;'26300000;'32268;Andreas Vesaliuslaan;'1;';3500;Hasselt;;'219220,961;'179821,798;';N;IRREG;3;0;Unknown;Unknown;;None;;;';IFH_BATCH;'11/05/2020 17:19:04;;Y;;;;'11/05/2020 17:04:12;1;1152982;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;Y;;;;'11/05/2020 17:04:12
