File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;';';;;;;;;790843;'20200604203538;1287403;'60370000;'635;Ankerstraat;'1;';9100;Sint-Niklaas;;'134232,041;'206157,122;';N;GLASS;2;9;Unknown;Unknown;;None;;;';IFH_BATCH;'04/06/2020 18:05:32;;Y;;;;'04/06/2020 17:08:52;1;2094254;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;';';;;;;;;792485;'20200604203542;3484793;'60370000;'635;Ankerstraat;'3;';9100;Sint-Niklaas;;'134239,683;'206159,068;';N;IRREG;4;4;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'04/06/2020 17:24:45;;Y;;;;'04/06/2020 17:08:52;2;11095068;6493207;BU;1;'1;'1;';'0;';;;;;;;;';IFH_BATCH;'04/06/2020 19:03:07;;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;';';;;;;;;792485;'20200604203542;3484793;'60370000;'635;Ankerstraat;'3;';9100;Sint-Niklaas;;'134239,683;'206159,068;';N;IRREG;4;4;Unknown;Unknown;D - Facade Box;None;;;';IFH_BATCH;'04/06/2020 17:24:45;;Y;;;;'04/06/2020 17:08:52;1;2110818;6493208;LU;1;'101;'101;';'1;';Y;;HOUSE;WONING - MAISON;NA;;;';IFH_BATCH;'04/06/2020 19:03:10;;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;';';;;;;;;792486;'20200604203542;3484795;'60370000;'635;Ankerstraat;'5;';9100;Sint-Niklaas;;'134245,985;'206162,327;';N;IRREG;4;6;Unknown;Unknown;;None;;;';IFH_BATCH;'04/06/2020 17:24:47;;Y;;;;'04/06/2020 17:08:52;1;2117328;;BU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';IFH_BATCH;'04/06/2020 19:03:12;;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;';';;;;;;;816092;'20200604203509;76381;'60370000;'635;Ankerstraat;'11;';9100;Sint-Niklaas;;'134257,893;'206167,581;';Y;NA;2;7;Unknown;Unknown;;None;;;';IFH_BATCH;'04/06/2020 18:05:36;;Y;;;;'04/06/2020 17:08:52;1;2096527;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;';';;;;;;;816083;'20200604203509;76246;'60370000;'635;Ankerstraat;'13;';9100;Sint-Niklaas;;'134264,08;'206169,39;';Y;NA;4;4;Unknown;Unknown;;None;;;';IFH_BATCH;'04/06/2020 18:05:38;;Y;;;;'04/06/2020 17:08:52;1;2099153;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;';';;;;;;;815507;'20200604203520;68420;'60370000;'635;Ankerstraat;'20;';9100;Sint-Niklaas;;'134311,791;'206212,486;';N;IRREG;3;9;Unknown;Unknown;;None;;;';IFH_BATCH;'04/06/2020 18:04:33;;Y;;;;'04/06/2020 17:08:52;1;2105928;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;';;';;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;11489728;'20200205145629;'Ankerstraat 21-23;;;;;;;792489;'20200604203542;3484804;'60370000;'635;Ankerstraat;'21;';9100;Sint-Niklaas;;'134286,44;'206180,704;';Y;NA;5;4;Unknown;Unknown;C - Precabled ONTP;None;;;';IFH_BATCH;'04/06/2020 17:30:34;;Y;;;;'04/06/2020 17:08:52;1;2106379;6493694;LU;1;'101;'101;';'1;';Y;#A1/2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';IFH_BATCH;'04/06/2020 19:29:30;;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;11489728;'20200205145629;'Ankerstraat 21-23;;;;;;;792489;'20200604203542;3484804;'60370000;'635;Ankerstraat;'21;';9100;Sint-Niklaas;;'134286,44;'206180,704;';Y;NA;5;4;Unknown;Unknown;C - Precabled ONTP;None;;;';IFH_BATCH;'04/06/2020 17:30:34;;Y;;;;'04/06/2020 17:08:52;2;2106391;6493695;LU;1;'201;'201;';'2;';Y;#A2/3/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';IFH_BATCH;'04/06/2020 19:29:33;;Y;;;;'04/06/2020 17:08:52
;;;Zoning;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;6832763;'20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;11489728;'20200205145629;'Ankerstraat 21-23;;;;;;;792489;'20200604203542;3484804;'60370000;'635;Ankerstraat;'21;';9100;Sint-Niklaas;;'134286,44;'206180,704;';Y;NA;5;4;Unknown;Unknown;C - Precabled ONTP;None;;;';IFH_BATCH;'04/06/2020 17:30:34;;Y;;;;'04/06/2020 17:08:52;3;2106402;6493696;LU;1;'301;'301;';'3;';Y;#A3/4/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;';IFH_BATCH;'04/06/2020 19:29:36;;Y;;;;'04/06/2020 17:08:52
