File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1111603;'20000101000000;317465;'9400000;'27985;Allée Verte;'1;';7301;Boussu;Hornu;'112566,453;'125112,495;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3068445;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1111602;'20000101000000;317464;'9400000;'27985;Allée Verte;'2;';7301;Boussu;Hornu;'112561,643;'125130,231;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3068446;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1111602;'20000101000000;317464;'9400000;'27985;Allée Verte;'2;';7301;Boussu;Hornu;'112561,643;'125130,231;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';2;3068448;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1110278;'20000101000000;1912791;'9400000;'27985;Allée Verte;'3;';7301;Boussu;Hornu;'112572,157;'125114,815;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3068452;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1112096;'20000101000000;4274462;'9400000;'27985;Allée Verte;'4;';7301;Boussu;Hornu;'112567,493;'125131,456;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3068453;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1110279;'20000101000000;1912792;'9400000;'27985;Allée Verte;'5;';7301;Boussu;Hornu;'112578,909;'125116,574;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3068455;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1112728;'20000101000000;4534860;'9400000;'27985;Allée Verte;'6;';7301;Boussu;Hornu;'112574,1;'125134,322;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3068456;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1111625;'20000101000000;318640;'9400000;'27985;Allée Verte;'25;';7301;Boussu;Hornu;'112587,692;'125116,604;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3068450;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1112630;'20000101000000;448231;'9400000;'2291;Avenue Biesman;'21;';7301;Boussu;Hornu;'111913,893;'124292,275;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3054959;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;';;';;N;;;;'
;;;Zoning;33458428;'20200813094927;W05-C-Boussu-FH01;33458428;'20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;';';;;;;;;1111706;'20000101000000;3930941;'9400000;'6941;Avenue de la Corderie;'4;';7301;Boussu;Hornu;'112109,239;'125440,022;';NA;NA;;;Unknown;Unknown;;None;;;';;';;;;;;';1;3057765;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;';;';;N;;;;'
